"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",65,60,70,110,70
"Akron",58,107,55,81,82
"Alabama",5,3,9.5,15,2
"Appalachian State",87,27,41,55,46
"Arizona",64,75,117.5,44,80
"Arizona State",31,65,55,40,37
"Arkansas",57,71,55,17,55
"Arkansas State",114,78,109,33,101
"Army",93,77,70,127,92
"Auburn",15,6,41,14,5
"Ball State",106,100,84.5,124,108
"Baylor",25,29,9.5,126,22.5
"Boise State",26,17,9.5,49,10
"Boston College",113,59,95.5,88,96.5
"Bowling Green",111,125,137,28,117.5
"Buffalo",128,124,133,104,128
"BYU",53,32,84.5,13,36
"California",9,104,70,37,51
"Central Michigan",83,81,55,66,79
"Charlotte",121,119,105.5,107,122
"Cincinnati",99,64,70,112,87
"Clemson",12,7,9.5,22,4
"Colorado",18,9,29.5,45,9
"Colorado State",81,56,84.5,57,72
"Connecticut",100,40,105.5,51,78
"Duke",96,31,95.5,31,67
"East Carolina",78,110,117.5,72,106
"Eastern Michigan",88,93,55,84,90
"Florida",41,8,26.5,54,17
"Florida Atlantic",125,121,133,108,126
"Florida International",115,113,105.5,102,116
"Florida State",23,49,41,20,25
"Fresno State",118,114,137,77,123
"Georgia",63,50,70,48,56
"Georgia Southern",98,94,70,117,102
"Georgia State",104,72,117.5,74,99
"Georgia Tech",69,47,70,46,58.5
"Hawaii",75,106,84.5,101,98
"Houston",27,45,29.5,96,28
"Idaho",86,108,84.5,71,100
"Illinois",91,61,117.5,35,84
"Indiana",68,41,95.5,18,57
"Iowa",56,24,55,82,33.5
"Iowa State",82,84,133,25,94
"Kansas",123,117,133,43,120
"Kansas State",67,39,70,59,50
"Kent State",119,80,128,114,112
"Kentucky",66,88,70,24,73
"Louisiana-Lafayette",110,98,95.5,113,110
"Louisiana-Monroe",117,120,117.5,99,124
"Louisiana Tech",40,79,55,119,64
"Louisville",1,30,22.5,32,8
"LSU",34,2,41,21,11
"Marshall",105,123,117.5,109,119
"Maryland",74,38,41,105,54
"Massachusetts",103,109,137,61,113
"Memphis",32,33,41,106,29
"Miami (FL)",60,19,70,41,32
"Miami (OH)",116,85,128,95,111
"Michigan",2,1,9.5,19,1
"Michigan State",71,82,117.5,27,83
"Middle Tennessee",21,89,41,92,49
"Minnesota",62,37,41,73,40
"Mississippi State",46,66,117.5,26,65
"Missouri",39,62,117.5,12,60
"Navy",36,48,26.5,53,27
"Nebraska",44,15,9.5,76,20
"Nevada",126,102,105.5,123,117.5
"New Mexico",45,127,70,122,93
"New Mexico State",101,122,117.5,91,114
"North Carolina",52,36,29.5,47,31
"North Carolina State",72,23,70,29,39
"North Texas",94,76,70,60,85
"Northern Illinois",70,95,128,50,95
"Northwestern",28,25,70,9,22.5
"Notre Dame",54,74,117.5,67,76
"Ohio",108,90,55,125,103
"Ohio State",4,5,22.5,34,3
"Oklahoma",7,68,41,7,24
"Oklahoma State",30,73,41,100,47
"Old Dominion",79,99,70,115,96.5
"Ole Miss",8,51,95.5,8,26
"Oregon",11,86,117.5,11,53
"Oregon State",76,53,117.5,10,71
"Penn State",24,21,41,2,12
"Pittsburgh",19,103,41,62,52
"Purdue",84,116,95.5,78,107
"Rice",120,105,133,56,115
"Rutgers",107,87,128,5,104.5
"San Diego State",77,44,22.5,128,61
"San Jose State",127,115,128,90,125
"SMU",80,52,95.5,23,69
"South Alabama",109,55,95.5,80,91
"South Carolina",112,26,95.5,68,75
"South Florida",22,69,29.5,89,33.5
"Southern Miss",51,111,70,97,86
"Stanford",92,11,70,3,41
"Syracuse",61,91,84.5,42,77
"TCU",59,58,70,87,62
"Temple",38,54,55,65,38
"Tennessee",17,43,41,1,19
"Texas",37,57,95.5,38,48
"Texas A&M",16,14,22.5,30,6
"Texas State",124,128,117.5,116,127
"Texas Tech",6,126,95.5,64,74
"Toledo",29,92,22.5,121,58.5
"Troy",43,34,22.5,103,30
"Tulane",95,63,95.5,93,89
"Tulsa",33,101,41,79,63
"UCF",42,46,70,86,44
"UCLA",49,35,105.5,16,42
"UNLV",90,112,105.5,111,109
"USC",35,18,70,6,21
"Utah",55,42,19,94,35
"Utah State",89,67,95.5,98,88
"UTEP",122,118,117.5,75,121
"UTSA",85,97,95.5,118,104.5
"Vanderbilt",102,20,84.5,63,66
"Virginia",73,70,117.5,39,81
"Virginia Tech",20,13,41,69,15
"Wake Forest",97,16,41,58,45
"Washington",3,12,9.5,120,7
"Washington State",10,22,41,70,14
"West Virginia",50,10,9.5,52,18
"Western Kentucky",14,83,70,36,43
"Western Michigan",13,28,9.5,85,13
"Wisconsin",47,4,41,4,16
"Wyoming",48,96,41,83,68
