Team,Offense....rankings.Offense.Rank,Defense....rankings.Defense.Rank,Record,SoS,Overall
Michigan,2,3,9.5,19,1
Alabama,7,4,9.5,15,2
Ohio State,6,8,22.5,34,3
Clemson,17,11,9.5,22,4
Auburn,15,9,41,14,5
Texas A&M,14,16,22.5,30,6
Washington,4,12,9.5,120,7
Colorado,19,10,29.5,45,8
Louisville,1,42,22.5,32,9
Washington State,10,19,41,70,10
Penn State,27,25,41,2,11
LSU,46,2,41,21,12.5
Virginia Tech,22,14,41,69,12.5
Western Michigan,21,27,9.5,85,14
Boise State,38,20,9.5,49,15
Wisconsin,54,1,41,4,16
USC,23,21,70,6,17
West Virginia,63,5,9.5,52,18
Florida State,24,38,41,20,19
Tennessee,13,54,41,1,20
Nebraska,61,13,9.5,76,21
Baylor,20,47,9.5,126,22
Northwestern,31,36,70,9,23
Florida,73,7,26.5,54,24
Oklahoma,9,77,41,7,25
North Carolina,43,39,29.5,47,26
Houston,29,45,29.5,96,27
Miami (FL),53,17,70,41,28
Ole Miss,5,63,95.5,8,29
Memphis,28,43,41,106,30
Utah,55,33,19,94,31
Stanford,80,6,70,3,32
BYU,47,31,84.5,13,33
Arizona State,30,58,55,40,34
Iowa,52,26,55,82,35
South Florida,16,74,29.5,89,36
Navy,41,60,26.5,53,37
Minnesota,59,32,41,73,38.5
UCLA,39,34,105.5,16,38.5
Troy,58,35,22.5,103,40
Temple,40,48,55,65,41
North Carolina State,72,22,70,29,42
Kansas State,64,24,70,59,43
Arkansas,56,51,55,17,44
UCF,34,49,70,86,45
Pittsburgh,12,94,41,62,46
Wake Forest,93,15,41,58,47
Maryland,69,30,41,105,48
Appalachian State,100,18,41,55,49
Georgia Tech,65,41,70,46,50
Oklahoma State,32,76,41,100,51
Toledo,33,82,22.5,121,52
Georgia,74,37,70,48,53.5
Western Kentucky,18,96,70,36,53.5
California,8,108,70,37,55
TCU,37,71,70,87,56
Indiana,67,46,95.5,18,57
Texas,44,67,95.5,38,58
San Diego State,82,44,22.5,128,59
Tulsa,25,106,41,79,60
Duke,96,23,95.5,31,61
Oregon,11,103,117.5,11,62
Middle Tennessee,45,93,41,92,63
Mississippi State,49,68,117.5,26,64
Vanderbilt,97,29,84.5,63,65
Missouri,26,97,117.5,12,66
Oregon State,68,57,117.5,10,67
Notre Dame,35,78,117.5,67,68
Arizona,57,64,117.5,44,69
Kentucky,60,90,70,24,70
Air Force,77,53,70,110,71
Texas Tech,3,126,95.5,64,72
Louisiana Tech,51,86,55,119,73.5
Wyoming,48,105,41,83,73.5
Syracuse,62,80,84.5,42,75
Akron,36,117,55,81,76
Colorado State,83,62,84.5,57,77.5
Michigan State,66,70,117.5,27,77.5
SMU,89,61,95.5,23,79
Central Michigan,81,83,55,66,80
South Carolina,116,28,95.5,68,81
Illinois,86,56,117.5,35,82
Army,91,52,70,127,83
Virginia,70,73,117.5,39,84
Connecticut,109,40,105.5,51,85
Southern Miss,50,113,70,97,86
North Texas,84,91,70,60,87
Cincinnati,99,65,70,112,88
New Mexico,42,121,70,122,89
South Alabama,107,55,95.5,80,90
Boston College,113,50,95.5,88,91
Utah State,92,69,95.5,98,92
Tulane,106,59,95.5,93,93
Eastern Michigan,103,88,55,84,94
Georgia Southern,95,81,70,117,95
Old Dominion,79,100,70,115,96
Hawaii,71,107,84.5,101,97
Arkansas State,108,75,109,33,98.5
Iowa State,88,85,133,25,98.5
Rutgers,102,79,128,5,100
Ohio,104,87,55,125,101
Northern Illinois,75,101,128,50,102
Idaho,85,109,84.5,71,103
East Carolina,76,102,117.5,72,104
Purdue,78,115,95.5,78,105
UTSA,87,98,95.5,118,106
Georgia State,94,92,117.5,74,107
Ball State,112,84,84.5,124,108
Kent State,115,66,128,114,109
Miami (OH),120,72,128,95,110
UNLV,90,110,105.5,111,111
Louisiana-Lafayette,110,104,95.5,113,112
Massachusetts,98,112,137,61,113
Rice,123,95,133,56,114
Nevada,127,89,105.5,123,115
Kansas,125,99,133,43,116
Bowling Green,101,127,137,28,117
Marshall,105,116,117.5,109,118
Florida International,119,114,105.5,102,119
New Mexico State,111,125,117.5,91,120
Charlotte,121,119,105.5,107,121
Fresno State,114,118,137,77,122
UTEP,124,120,117.5,75,123
Louisiana-Monroe,117,123,117.5,99,124
San Jose State,128,111,128,90,125
Florida Atlantic,118,122,133,108,126
Texas State,122,128,117.5,116,127
Buffalo,126,124,133,104,128
