Team,Score,Rank
Alabama,522.9405296,1
Clemson,421.665987,2
Michigan,391.0498428,3
Louisville,167.1330057,4
Boise State,146.3662237,5
Texas A&M,143.9274692,6
Baylor,125.8093201,7
Nebraska,125.7708154,8
Western Michigan,124.9299089,9
Penn State,115.2221062,10
Ohio State,114.1831116,11
Tennessee,111.2197987,12
West Virginia,109.4975495,13
Washington,94.77278404,14
Virginia Tech,63.58270564,15
Florida,56.00518284,16
Florida State,55.38735765,17
Auburn,51.90661429,18
Navy,51.78496346,19
Utah,50.38809549,20
Toledo,45.02032693,21
Colorado,42.73967867,22
Oklahoma State,41.77150064,23
Troy,40.76525708,24
Wisconsin,40.73073911,25
North Carolina,39.11537109,26
Pittsburgh,38.78012253,27
LSU,35.32864326,28
Wyoming,26.99822903,29
USC,26.31139606,30
Washington State,23.63452762,31
Miami (FL),22.37911677,32
California,21.32947543,33
Arizona State,21.00627679,34
Houston,20.77673758,35
Ole Miss,19.09210442,36
BYU,18.36596091,37
South Florida,18.08230174,38
Oklahoma,18.01570374,39
Air Force,17.38544863,40
Georgia Tech,16.37486717,41
Stanford,15.42147088,42
Wake Forest,12.90443371,43
Minnesota,12.88399231,44
Memphis,12.67746712,45
Appalachian State,10.08557923,46
North Carolina State,8.939483999,47
Tulsa,8.762382797,48
Arkansas,7.358436914,49
TCU,3.869765467,50
Georgia,1.869842938,51
Middle Tennessee,1.302239908,52
Maryland,0.956708059,53
Western Kentucky,-1.040854226,54
Eastern Michigan,-1.68142453,55
Northwestern,-1.725040483,56
SMU,-3.241549511,57
Akron,-3.263999329,58
Iowa,-4.077633879,59
San Diego State,-4.544667383,60
Kansas State,-5.193810184,61
UCF,-5.598014218,62
North Texas,-6.502080182,63
Syracuse,-6.731910732,64
Georgia Southern,-6.950041914,65
Louisiana Tech,-7.711204333,66
Colorado State,-7.801447384,67
Temple,-8.737867766,68
UCLA,-9.125458644,69
Texas Tech,-10.68365601,70
Vanderbilt,-10.83391895,71
Kentucky,-11.04234383,72
Central Michigan,-11.70589518,73
Old Dominion,-14.28891626,74
Missouri,-15.79695489,75
Oregon State,-19.9163349,76
Idaho,-20.06859563,77
Indiana,-20.10251932,78
Tulane,-20.57015347,79
Texas,-21.31564815,80
Utah State,-22.0048243,81
Oregon,-25.57192068,82
Boston College,-25.57958264,83
Cincinnati,-27.87846481,84
Illinois,-30.0607127,85
Hawaii,-34.13544059,86
Ohio,-34.61020888,87
Purdue,-35.78108253,88
Connecticut,-36.76187863,89
Ball State,-36.77524703,90
Rutgers,-38.07578877,91
Arizona,-41.25042925,92
Duke,-43.68505144,93
Southern Miss,-45.78844435,94
Michigan State,-48.86431694,95
Mississippi State,-49.50996184,96
Marshall,-49.72339813,97
Georgia State,-50.66238777,98
New Mexico,-51.18074161,99
Notre Dame,-51.41692113,100
UNLV,-54.57734078,101
South Carolina,-57.02605208,102
Arkansas State,-57.1775778,103
Northern Illinois,-60.36505363,104
East Carolina,-61.16755421,105
Virginia,-65.19559754,106
Charlotte,-67.10098605,107
South Alabama,-74.01545938,108
Kent State,-77.99970908,109
UTSA,-83.45304977,110
Louisiana-Monroe,-84.95685241,111
Miami (OH),-87.82073904,112
Kansas,-91.26430923,113
Iowa State,-117.6810726,114
Nevada,-119.671273,115
Louisiana-Lafayette,-152.6059761,116
Florida International,-157.061269,117
San Jose State,-167.0767958,118
Army,-170.5506485,119
Texas State,-197.6144406,120
Fresno State,-204.4462266,121
Rice,-215.3712442,122
UTEP,-284.4203348,123
Massachusetts,-295.5717244,124
Florida Atlantic,-307.7851605,125
New Mexico State,-341.9069055,126
Bowling Green,-653.5005714,127
Buffalo,-906.0133716,128
