Visitor,Visitor Score,Home,Home Score
 Alcorn St.,6, Louisiana-Monroe,24
 Boston College,31, Central Michigan,24
 Sacramento State,0, Boise State,45
 Eastern Michigan,20, Ball State,38
 Eastern Washington,17, Oregon State,56
 Florida International,6, Middle Tennessee,7
 Minnesota,44, Kent State,0
 Northern Arizona,14, Arizona State,35
 Northwestern,21, Miami (Ohio),3
 Rhode Island,7, Connecticut,52
 South Carolina,15, Mississippi State,0
 Southeastern Louisiana,15, New Mexico State,30
 Stephen F. Austin,7, Tulsa,45
 Temple,3, Buffalo,9
 UTEP,34, San Diego State,27
 Toledo,43, Iowa State,45
 Nevada,19, Fresno State,28
 Akron,16, Penn State,34
 Alabama St.,0, Troy,38
 UAB,17, Oklahoma,24
 Appalachian State,10, North Carolina State,23
 BYU,13, Arizona,16
 California,18, Tennessee,35
 Citadel,3, Texas A&M,35
 East Carolina,23, Navy,28
 Eastern Illinois,17, Illinois,42
 Eastern Kentucky,0, Cincinnati,31
 Florida Atlantic,6, Clemson,54
 Hawai'i,17, Alabama,25
 Houston,31, Rice,30
 Idaho State,10, UNLV,54
 Idaho,17, Michigan State,27
 Illinois State,23, Kansas State,24
 Indiana State,35, Purdue,60
 Louisiana Tech,10, Nebraska,49
 Marshall,10, West Virginia,42
 McNeese State,10, South Florida,41
 Montana State,19, Colorado,10
 Montana,7, Iowa,41
 Murray State,7, Missouri,47
 North Texas,7, Texas,56
 Northeastern,0, Virginia Tech,38
 Northern Illinois,12, Ohio State,35
 Northwestern State,18, Kansas,49
 Notre Dame,14, Georgia Tech,10
 Portland State,17, New Mexico,6
 Richmond,13, Duke,0
 Rutgers,21, North Carolina,16
 San Jose State,29, Washington,35
 USC,50, Arkansas,14
 SMU,3, Texas Tech,35
 Southern Mississippi,7, Florida,34
 Missouri State,10, Oklahoma State,52
 Louisiana-Lafayette,3, LSU,45
 Stanford,10, Oregon,48
 Syracuse,10, Wake Forest,20
 Tennessee-Martin,3, Ohio,29
 Army,6, Arkansas State,14
 Utah State,7, Wyoming,38
 Utah,10, UCLA,31
 Vanderbilt,7, Michigan,27
 Villanova,16, UCF,35
 Virginia,13, Pittsburgh,38
 Washington State,14, Auburn,40
 Weber State,6, Colorado State,30
 Western Kentucky,12, Georgia,48
 Western Michigan,20, Indiana,39
 William & Mary,14, Maryland,27
 Wisconsin,35, Bowling Green,14
 Kentucky,28, Louisville,59
 Memphis,25, Mississippi,28
 TCU,17, Baylor,7
 Florida State,13, Miami (Florida),10
 Oregon State,14, Boise State,42
 Pittsburgh,33, Cincinnati,15
 Akron,20, North Carolina State,17
 Arizona,3, LSU,45
 Auburn,34, Mississippi State,0
 Buffalo,40, Bowling Green,48
 UC Davis,13, TCU,46
 UCF,0, Florida,42
 Central Michigan,17, Michigan,41
 Clemson,33, Boston College,34
 Colorado,10, Colorado State,14
 Duke,13, Wake Forest,14
 East Carolina,12, UAB,17
 Eastern Michigan,20, Michigan State,52
 Eastern Washington,3, West Virginia,52
 Florida A&M,10, Miami (Florida),51
 Florida Atlantic,0, Kansas State,45
 Florida International,20, South Florida,21
 Georgia,18, South Carolina,0
 Hofstra,31, Marshall,54
 Idaho,10, Washington State,56
 Illinois,0, Rutgers,33
 Indiana,24, Ball State,23
 Iowa,20, Syracuse,13
 Kent State,14, Army,17
 Louisville,62, Temple,0
 Massachusetts,20, Navy,21
 Miami (Ohio),31, Purdue,38
 Middle Tennessee,10, Maryland,24
 Minnesota,17, California,42
 Mississippi,7, Missouri,34
 UNLV,10, Iowa State,16
 Nevada,21, Arizona State,52
 New Hampshire,34, Northwestern,17
 New Mexico,34, New Mexico State,28
