Visitor,Visitor Score,Home,Home Score
 Eastern Washington,24, Nevada,49
 Florida A&M,0, Miami (FL),45
 Florida Atlantic,32, UAB,31
 Hampton,0, Central Michigan,33
 Marshall,7, Ohio State,45
 Minnesota,24, Middle Tennessee,17
 Murray State,10, Kent State,41
 Norfolk State,0, Rutgers,31
 North Dakota,0, Idaho,45
 Northern Illinois,10, Iowa State,27
 Pittsburgh,24, Utah,27
 Rhode Island,0, Buffalo,31
 Southeast Missouri State,10, Ball State,27
 Southeastern Louisiana,21, Tulane,27
 USC,49, Hawai'i,36
Southern Miss,13, South Carolina,41
 Towson,17, Indiana,51
 Presbyterian,13, Wake Forest,53
 Arizona,41, Toledo,2
 Villanova,24, Temple,31
 Arkansas State,26, Auburn,52
 Bowling Green,27, Troy,30
 Sacramento State,17, Stanford,52
 UC Davis,3, California,52
 UCLA,22, Kansas State,31
 Cincinnati,14, Fresno State,28
 Coastal Carolina,0, West Virginia,31
 Colorado,24, Colorado State,3
 Connecticut,10, Michigan,30
 Eastern Illinois,7, Iowa,37
 Illinois,13, Missouri,23
 Jacksonville State,49,Ole Miss,48
 Kentucky,23, Louisville,16
 LSU,30, North Carolina,24
 Louisiana Tech,20, Grambling,6
 Memphis,7, Mississippi State,49
 Miami (OH),12, Florida,34
 New Mexico,0, Oregon,72
 Nicholls State,0, San Diego State,47
 North Dakota State,6, Kansas,3
 North Texas,10, Clemson,35
 Northwestern State,21, Air Force,65
 Northwestern,23, Vanderbilt,21
 Oregon State,21, TCU,30
 Portland State,9, Arizona State,54
 Purdue,12, Notre Dame,23
 Richmond,13, Virginia,34
 Sam Houston State,3, Baylor,34
 Samford,6, Florida State,59
 San Jose State,3, Alabama,48
 South Carolina State,10, Georgia Tech,41
 South Dakota,7, UCF,38
 Southern Utah,20, Wyoming,28
 Texas State,28, Houston,68
 Louisiana-Lafayette,7, Georgia,55
 Stephen F. Austin,7, Texas A&M,48
 Stony Brook,14, South Florida,59
 Syracuse,29, Akron,3
 Tennessee Tech,3, Arkansas,44
 Tennessee-Martin,0, Tennessee,50
 Texas,34, Rice,17
 Army,31, Eastern Michigan,27
 Utah State,24, Oklahoma,31
 Washington State,17, Oklahoma State,65
 Washington,17, BYU,23
 Weber State,20, Boston College,38
 Western Carolina,7, North Carolina State,48
 Western Kentucky,10, Nebraska,49
 Western Michigan,14, Michigan State,38
 Wisconsin,41, UNLV,21
 Youngstown State,14, Penn State,44
 Elon,27, Duke,41
 Ark.-Pine Bluff,10, UTEP,31
 Wofford,10, Ohio,33
 SMU,27, Texas Tech,35
 Tulsa,49, East Carolina,51
 Boise State,33, Virginia Tech,30
 Navy,14, Maryland,17
 Auburn,17, Mississippi State,14
 Central Michigan,10, Temple,13
 UTEP,24, Houston,54
 West Virginia,24, Marshall,21
 UAB,7, SMU,28
 Arkansas State,24, Louisiana-Lafayette,31
 Arkansas,31, Louisiana-Monroe,7
 Austin Peay,33, Middle Tennessee,56
 Bowling Green,20, Tulsa,33
 BYU,14, Air Force,35
 Buffalo,6, Baylor,34
 Citadel,6, Arizona,52
 Colorado State,6, Nevada,51
 Colorado,7, California,52
 Duke,48, Wake Forest,54
 Eastern Kentucky,13, Louisville,23
 Eastern Michigan,21, Miami (OH),28
 Florida State,17, Oklahoma,47
 Georgia Southern,7, Navy,13
 Georgia Tech,25, Kansas,28
 Georgia,6, South Carolina,17
 Hawai'i,31, Army,28
 Idaho State,17, Utah State,38
 Idaho,17, Nebraska,38
 Illinois State,3, Northwestern,37
 Indiana State,7, Cincinnati,40
 Iowa State,7, Iowa,35
 James Madison,21, Virginia Tech,16
 Kent State,13, Boston College,26
 Liberty,27, Ball State,23
 LSU,27, Vanderbilt,3
 Louisiana Tech,16, Texas A&M,48
 McNeese State,6, Missouri,50
 Memphis,27, East Carolina,49
 Miami (FL),24, Ohio State,36
 Michigan State,30, Florida Atlantic,17
 Michigan,28, Notre Dame,24
Ole Miss,27, Tulane,13
 Montana State,22, Washington State,23
 Morgan State,3, Maryland,62
 UNLV,10, Utah,38
