"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Air Force",140,69,27,20,0.670676837923633,0.329323162076367,0.842488312211182,0.157511687788818,0.982557525002033,0.377222467870531,0.365845076752538,0.154112495084428,121,0.67168343164229,31
"Akron",191,188,31,27,0.581130590891018,0.418869409108982,0.509379042853841,0.490620957146159,0.984925005858917,0.433676046026074,0.442778450140042,0.319221915521677,100,0.47983462704428,90
"Alabama",220,65,82,49,0.77211818871378,0.227881811286221,0.947329899577675,0.0526701004223254,1.025,0.496761651750665,0.462973119308338,0.50372798474587,54,0.805524580475093,2
"Appalachian State",116,113,17,3,0.983873040676166,0.0161269593238337,0.515519918427233,0.484480081572767,0.975,0.561101682230607,0.588322277786386,0.691902862061684,23,0.526292687258277,73
"Arizona",146,147,52,80,0.26484132033945,0.73515867966055,0.495955703899044,0.504044296100955,1.02160816194681,0.487068040578457,0.518295936266554,0.475377141896235,67,0.514280049642817,77
"Arizona State",215,178,71,82,0.415475922888969,0.584524077111031,0.610064919634915,0.389935080365085,1.02160816194681,0.437813686806814,0.449591502792649,0.331323247157437,97,0.568600317075936,61
"Arkansas",180,116,24,45,0.18395136951161,0.81604863048839,0.739100568087913,0.260899431912087,1.025,0.502764760244449,0.494636828622967,0.521285237919435,48,0.674052971306255,29
"Arkansas State",67,144,0,0,0.75,0.75,0.140235421660069,0.859764578339931,0.975,0.542579035669363,0.655786251442203,0.637729795648343,29,0.304283555797761,123
"Army",145,64,0,0,0.75,0.75,0.8741659286127,0.1258340713873,1.00931274900398,0.382426391650825,0.293205276926245,0.169332377817046,117,0.686849819021437,26
"Auburn",156,82,34,42,0.377352084645129,0.622647915354871,0.821161130464122,0.178838869535878,1.025,0.588253955999658,0.580383193470177,0.771314944201269,11,0.759424363586127,8
"Ball State",147,123,24,31,0.352843828433304,0.647156171566696,0.604068959881812,0.395931040118188,0.984925005858917,0.345843704965167,0.287167241276375,0.0623392270894799,127,0.490921148166063,85
"Baylor",213,96,80,66,0.61204617057668,0.38795382942332,0.868613764512832,0.131386235487168,1.0199203187251,0.36402336978965,0.304978317935096,0.115509177002017,124,0.694295746111493,21
"Boise State",135,72,21,10,0.853008093340153,0.146991906659846,0.81604863048839,0.18395136951161,0.982557525002033,0.491044743569899,0.48444793203957,0.487007779804765,60,0.693209135468365,24
"Boston College",117,86,14,66,0.0247247284233101,0.97527527157669,0.674706325202653,0.325293674797347,1.00947282299374,0.449168853104318,0.39373576551943,0.364533629698358,92,0.586553650773536,56
"Bowling Green",86,249,25,28,0.433253530101065,0.566746469898935,0.0744982579431355,0.925501742056865,0.984925005858917,0.571179350683063,0.721329767058637,0.721376954792516,17,0.285735373109561,126
"Buffalo",56,115,0,0,0.75,0.75,0.153760575761635,0.846239424238365,0.984925005858917,0.488331578356161,0.603930156067913,0.479072602786286,64,0.299237061489788,124
"BYU",138,141,0,0,0.75,0.75,0.487260331330914,0.512739668669086,1.00931274900398,0.614934088819036,0.688222319388456,0.849346158712761,5,0.559409230033418,65
"California",210,193,69,74,0.45864423292064,0.54135576707936,0.549851100672467,0.450148899327533,1.02160816194681,0.518965756513121,0.560620883626989,0.568668188510387,39,0.565399871692006,63
"Central Michigan",168,149,10,49,0.022610133281308,0.977389866718692,0.570634873401859,0.429365126598141,0.984925005858917,0.503951600440943,0.53067110879473,0.524756381882264,47,0.548912118998688,67
"Charlotte",117,221,17,52,0.0660055302108685,0.933994469789131,0.181340260970455,0.818659739029545,0.982247931351517,0.498425494064825,0.579256901745264,0.50859421376386,50,0.30840536195944,121
"Cincinnati",129,132,36,85,0.115459999233362,0.884540000766638,0.486382079168683,0.513617920831317,0.995521759117377,0.452202519961247,0.505003882101627,0.373406175831167,91,0.490383413061755,86
"Clemson",176,80,68,43,0.747663403943792,0.252336596056208,0.866301292510058,0.133698707489942,1.00947282299374,0.567917511899958,0.641395552802266,0.711837075680613,21,0.798828867323147,4
"Colorado",216,103,88,44,0.837909980755396,0.162090019244604,0.852595174023345,0.147404825976655,1.02160816194681,0.489775258088848,0.449745271219444,0.48329492370462,62,0.733833272370727,19
"Colorado State",118,148,17,38,0.129389937245638,0.870610062754362,0.36891587684513,0.63108412315487,0.982557525002033,0.458156821496245,0.521896898124886,0.390820683603261,85,0.412585288767213,99
"Connecticut",99,132,14,42,0.0688999602722054,0.931100039727795,0.33585822723678,0.66414177276322,0.995521759117377,0.490806504076248,0.505875140282601,0.486311002275208,61,0.390772685311163,106
"Duke",134,123,34,58,0.219981275867798,0.780018724132202,0.550577277683956,0.449422722316044,1.00947282299374,0.487482495054166,0.447028680488815,0.476589294261376,66,0.520949633870624,74
"East Carolina",146,158,29,47,0.241520997685182,0.758479002314818,0.453335565534203,0.546664434465797,0.995521759117377,0.498112234662539,0.548423473468799,0.507678025985374,52,0.482859446797027,89
"Eastern Michigan",174,143,28,25,0.566746469898935,0.433253530101065,0.614204212610481,0.38579578738952,0.984925005858917,0.390269208465303,0.315085379918002,0.192270214197691,114,0.506741881689898,79
"Florida",142,58,86,51,0.775281266746262,0.224718733253738,0.893028895497498,0.106971104502502,1.025,0.481299372341298,0.416910689600224,0.458505554647899,69,0.7526808975367,9
"Florida Atlantic",113,195,31,33,0.463024314801676,0.536975685198324,0.215328595695318,0.784671404304682,0.982247931351517,0.491658452465771,0.582710947487609,0.488802690303359,58,0.331792919370231,117
"Florida International",87,180,33,31,0.536975685198324,0.463024314801676,0.151471588550168,0.848528411449832,0.982247931351517,0.53774330181419,0.560712485851153,0.623586755644456,32,0.282774662778041,127
"Florida State",207,177,55,100,0.195152157982251,0.804847842017749,0.591717182447262,0.408282817552738,1.00947282299374,0.530881622491013,0.606593937656209,0.603518445835032,36,0.602328307938193,49
"Fresno State",119,191,20,45,0.127649327793672,0.872350672206328,0.245758113759507,0.754241886240493,0.982557525002033,0.489112104823337,0.589345017403551,0.48135540357309,63,0.354002783227244,111
"Georgia",132,154,73,106,0.292357474484062,0.707642525515938,0.409668218560469,0.590331781439531,1.025,0.577189683236495,0.641409326532977,0.738955336127322,16,0.499088135915087,82
"Georgia Southern",132,79,47,30,0.743456501003492,0.256543498996508,0.771473323872813,0.228526676127187,0.975,0.432334228632522,0.382810047507229,0.315297510737775,101,0.625870925957178,44
"Georgia State",55,119,3,17,0.0161269593238337,0.983873040676166,0.138340394375045,0.861659605624955,0.975,0.617142876824561,0.699974080417762,0.855806186923128,3,0.317412832479552,118
"Georgia Tech",118,92,45,75,0.22958487107056,0.77041512892944,0.643338445112829,0.356661554887171,1.00947282299374,0.534977836976762,0.597896778194252,0.615498618249706,33,0.634141967066505,40
"Hawaii",141,214,38,17,0.870610062754362,0.129389937245638,0.271148727443154,0.728851272556846,0.982557525002033,0.481257702958707,0.513534921226342,0.458383684470058,70,0.34580534876342,114
"Houston",221,56,82,30,0.915528463395499,0.0844715366045009,0.962800900799067,0.0371990992009329,0.995521759117377,0.419962391747384,0.327086320198807,0.279113678205119,105,0.74753334725137,13
"Idaho",86,196,13,34,0.0929155561255122,0.907084443874488,0.12429966449964,0.875700335500361,0.975,0.560723291762134,0.689723051834102,0.690796185868789,24,0.304954773770849,122
"Illinois",101,116,16,31,0.172571021997087,0.827428978002913,0.418685195534852,0.581314804465148,1.02003770631759,0.541226965446954,0.60132545036166,0.633775404481191,30,0.489174668727433,87
"Indiana",116,87,24,21,0.578463577852174,0.421536422147826,0.66414177276322,0.33585822723678,1.02003770631759,0.47216574943395,0.459010704415023,0.431792505909524,75,0.607702509074968,47
"Iowa",153,92,45,45,0.5,0.5,0.769501570650017,0.230498429349983,1.02003770631759,0.422577890794357,0.371152062440957,0.286763211607769,104,0.649476777578188,34
"Iowa State",129,163,62,86,0.315291714360113,0.684708285639887,0.36483662987838,0.63516337012162,1.0199203187251,0.54343778569786,0.626746394841927,0.640241376386679,28,0.461146655481094,94
"Kansas",102,141,19,55,0.07453280867424,0.92546719132576,0.31704713913313,0.68295286086687,1.0199203187251,0.464949887546009,0.567888040421311,0.410688320608984,79,0.408642063192587,104
"Kansas State",127,50,16,17,0.464141578927818,0.535858421072182,0.901075210753099,0.0989247892469014,1.0199203187251,0.460482120355555,0.362714830576077,0.39762147036555,84,0.735996685966882,17
"Kent State",103,158,27,31,0.418869409108982,0.581130590891018,0.266189467490622,0.733810532509378,0.984925005858917,0.429103124866956,0.431323980937331,0.305847522135894,103,0.316391700035786,119
"Kentucky",127,175,30,89,0.070618287326502,0.929381712673498,0.318685485680074,0.681314514319926,1.025,0.585814488010711,0.661175789746625,0.76418024771276,12,0.443670143378148,95
"Louisiana-Lafayette",138,168,59,60,0.490043098878772,0.509956901121228,0.385515241276514,0.614484758723486,0.975,0.4526908126154,0.494150103680998,0.374834282246474,90,0.411183690526058,101
"Louisiana-Monroe",83,161,21,23,0.446307052178037,0.553692947821963,0.172177034411643,0.827822965588357,0.975,0.515886422440399,0.562634236117384,0.559662079762433,41,0.294771199105717,125
"Louisiana Tech",180,149,62,45,0.681249162305103,0.318750837694897,0.610152904993372,0.389847095006628,0.982247931351517,0.43665927321076,0.474834284051328,0.327946941066364,98,0.555015950239971,66
"Louisville",290,132,161,90,0.798730602902015,0.201269397097985,0.865922477855923,0.134077522144077,1.00947282299374,0.516676965935709,0.490383364645513,0.561974177287616,40,0.74775969862926,12
"LSU",126,74,78,45,0.786441882719047,0.213558117280953,0.779259077231795,0.220740922768205,1.025,0.571110913759203,0.637197275996612,0.721176797757227,18,0.750202772073902,11
"Marshall",155,167,0,0,0.75,0.75,0.455932683431542,0.544067316568458,0.982247931351517,0.476449924663654,0.497750669994608,0.444322405914784,72,0.461530812067797,93
"Maryland",173,58,50,7,0.990619407363532,0.00938059263646831,0.930218537054037,0.0697814629459634,1.02003770631759,0.370014073972031,0.305657934611603,0.133030151365036,122,0.73649952812013,16
"Massachusetts",94,141,0,0,0.75,0.75,0.276687567824497,0.723312432175503,0.984925005858917,0.559150241759785,0.611902944076134,0.686195496546828,26,0.38257050650018,107
"Memphis",183,75,0,0,0.75,0.75,0.892259875074057,0.107740124925943,0.995521759117377,0.36090179921505,0.305032988636656,0.106379539426059,125,0.693398406094516,23
"Miami (FL)",188,44,35,21,0.77041512892944,0.22958487107056,0.968986798507067,0.0310132014929329,1.00947282299374,0.434263799586771,0.340999977963984,0.320940914616812,99,0.766853962753765,7
"Miami (OH)",89,141,7,17,0.108814444636669,0.891185555363331,0.251525502854383,0.748474497145617,0.984925005858917,0.495827321150111,0.578263309959736,0.500995353989867,56,0.355004502898377,110
"Michigan",222,62,63,17,0.957078546286886,0.0429214537131136,0.953604073451392,0.0463959265486083,1.02003770631759,0.604668278609096,0.633456769224421,0.819321808982227,8,0.863858004522652,1
"Michigan State",91,95,27,54,0.162090019244604,0.837909980755396,0.474534253200007,0.525465746799993,1.02003770631759,0.534434510798703,0.566172756976029,0.613909555637578,34,0.51520107427062,76
"Middle Tennessee",188,115,68,47,0.705864644919637,0.294135355080363,0.762217998406464,0.237782001593536,0.982247931351517,0.380340621001652,0.287759306848574,0.163232137685212,119,0.593341696075482,53
"Minnesota",145,104,26,29,0.435658146746553,0.564341853253447,0.687327062980436,0.312672937019564,1.02003770631759,0.405734014591012,0.318041395324954,0.237500034166854,110,0.575537752342149,59
"Mississippi State",114,93,47,37,0.638064732514857,0.361935267485143,0.618345006836576,0.381654993163425,1.025,0.513927073330357,0.47623827966606,0.553931583900826,43,0.58525050022423,58
"Missouri",185,117,34,70,0.152974536190376,0.847025463809625,0.747607195796445,0.252392804203555,1.025,0.525177685807309,0.508925179210867,0.586836178548762,37,0.684747686691283,27
"Navy",115,82,0,0,0.75,0.75,0.690309049372297,0.309690950627703,1.00931274900398,0.463493161429838,0.47147110539426,0.406427843015975,81,0.623112415343329,45
"Nebraska",185,88,55,29,0.820079844056944,0.179920155943056,0.853329233760719,0.146670766239281,1.02003770631759,0.507781460531102,0.461765492490527,0.535957549292763,46,0.737291400831568,15
