"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",62,32,34,121,42.5
"Akron",16,118,50.5,100,62
"Alabama",8,4,10.5,54,3
"Appalachian State",95,17,67.5,23,50
"Arizona",38,67,121,67,60
"Arizona State",23,64,23.5,97,34
"Arkansas",56,45,50.5,48,41
"Arkansas State",102,86,125,29,102
"Army",94,54,67.5,117,81
"Auburn",27,6,50.5,11,8
"Ball State",107,63,85.5,127,97
"Baylor",44,61,10.5,124,42.5
"Boise State",59,15,10.5,60,22
"Boston College",99,51,85.5,92,83.5
"Bowling Green",117,126,132.5,17,124
"Buffalo",122,123,125,64,126
"BYU",36,42,85.5,5,33
"California",20,104,85.5,39,59
"Central Michigan",72,93,50.5,47,74
"Charlotte",120,121,114.5,50,122
"Cincinnati",92,79,85.5,91,93
"Clemson",11,5,10.5,21,2
"Colorado",21,12,50.5,62,11
"Colorado State",88,71,85.5,85,90
"Connecticut",113,35,85.5,61,79
"Duke",96,48,85.5,66,75.5
"East Carolina",43,90,114.5,52,75.5
"Eastern Michigan",116,89,50.5,114,104
"Florida",81,10,34,69,35
"Florida Atlantic",105,117,132.5,58,120
"Florida International",119,108,114.5,32,117
"Florida State",15,40,50.5,36,20
"Fresno State",109,124,132.5,63,125
"Georgia",47,37,50.5,16,31
"Georgia Southern",84,75,67.5,101,85
"Georgia State",90,78,125,3,92
"Georgia Tech",68,23,85.5,33,44
"Hawaii",78,107,76.5,70,95
"Houston",18,34,23.5,105,21
"Idaho",93,102,85.5,24,96
"Illinois",97,98,125,30,106
"Indiana",58,57,67.5,75,57
"Iowa",64,30,50.5,104,47
"Iowa State",77,101,132.5,28,100
"Kansas",124,72,125,79,108
"Kansas State",33,20,67.5,84,29
"Kent State",111,58,114.5,103,101
"Kentucky",71,99,85.5,12,83.5
"Louisiana-Lafayette",75,120,101.5,90,107
"Louisiana-Monroe",101,115,125,41,113.5
"Louisiana Tech",67,88,85.5,98,89
"Louisville",2,49,34,40,12
"LSU",46,3,67.5,18,19
"Marshall",98,116,125,72,118.5
"Maryland",61,38,34,122,48
"Massachusetts",106,82,132.5,26,105
"Memphis",14,33,34,125,23
"Miami (FL)",24,16,34,99,14.5
"Miami (OH)",125,66,173.5,56,116
"Michigan",1,2,10.5,8,1
"Michigan State",80,46,101.5,34,63
"Middle Tennessee",83,92,34,119,87
"Minnesota",86,28,67.5,110,58
"Mississippi State",30,74,101.5,43,56
"Missouri",32,68,101.5,37,54
"Navy",39,59,34,81,40
"Nebraska",48,18,10.5,46,17
"Nevada",127,91,94,118,118.5
"New Mexico",79,127,101.5,128,113.5
"New Mexico State",110,125,101.5,88,121
"North Carolina",42,52,50.5,93,45.5
"North Carolina State",69,19,34,82,36
"North Texas",115,106,85.5,94,111
"Northern Illinois",73,105,132.5,55,103
"Northwestern",52,29,101.5,2,38
"Notre Dame",41,83,114.5,78,73
"Ohio",89,87,50.5,106,91
"Ohio State",7,7,10.5,73,4
"Oklahoma",17,69,67.5,4,32
"Oklahoma State",57,62,50.5,76,55
"Old Dominion",54,81,50.5,113,66
"Ole Miss",4,39,67.5,22,16
"Oregon",10,85,114.5,20,52
"Oregon State",51,96,101.5,31,78
"Penn State",31,44,50.5,10,24
"Pittsburgh",19,94,50.5,68,51
"Purdue",112,113,67.5,109,110
"Rice",121,114,173.5,15,127
"Rutgers",108,80,114.5,19,98
"San Diego State",65,77,34,123,67
"San Jose State",126,119,132.5,83,128
"SMU",118,100,114.5,49,112
"South Alabama",114,41,67.5,71,80
"South Carolina",123,14,114.5,25,72
"South Florida",22,47,23.5,102,26.5
"Southern Miss",40,110,50.5,116,77
"Stanford",63,9,67.5,1,25
"Syracuse",74,103,114.5,65,99
"TCU",37,73,50.5,89,53
"Temple",60,65,85.5,120,70
"Tennessee",12,43,23.5,7,9
"Texas",29,109,101.5,44,71
"Texas A&M",9,26,10.5,53,7
"Texas State",100,128,101.5,45,115
"Texas Tech",3,122,67.5,115,65
"Toledo",26,76,34,126,49
"Troy",49,24,34,86,30
"Tulane",104,50,67.5,107,82
"Tulsa",70,111,34,96,88
"UCF",25,53,67.5,74,37
"UCLA",45,21,76.5,9,28
"UNLV",103,95,114.5,111,109
"USC",35,27,85.5,6,26.5
"Utah",76,31,23.5,95,45.5
"Utah State",91,70,114.5,77,94
"UTEP",128,112,132.5,27,123
"UTSA",85,56,101.5,112,86
"Vanderbilt",82,55,101.5,14,68
"Virginia",66,60,101.5,42,64
"Virginia Tech",13,8,34,57,6
"Wake Forest",87,25,23.5,35,39
"Washington",5,13,10.5,108,5
"Washington State",6,22,67.5,80,14.5
"West Virginia",55,11,10.5,38,13
"Western Kentucky",34,97,101.5,51,69
"Western Michigan",28,36,10.5,59,18
"Wisconsin",50,1,34,13,10
"Wyoming",53,84,50.5,87,61
