Visitor.Team,Visitor.Score,Home.Team,Home.Score
UC Davis,22,Wyoming,45
North Dakota St,23,Iowa,21
Louisiana Tech,45,Texas Tech,59
Idaho State,7,Oregon State,37
Kansas,7,Memphis,43
North Carolina A&T,21,Tulsa,58
Delaware,21,Wake Forest,38
San Diego State,42,Northern Illinois,28
Iowa State,20,TCU,41
Florida State,20,Louisville,63
Army,66,UTEP,14
Monmouth,7,Kent State,27
South Alabama,23,Louisiana-Lafayette,28
Oregon,32,Nebraska,35
Boston College,0,Virginia Tech,49
Troy,37,Southern Miss,31
Ohio State,45,Oklahoma,24
Alabama,48,Ole Miss,43
Florida Atlantic,7,Kansas State,63
Old Dominion,22,North Carolina State,49
Portland State,3,Washington,41
USC,10,Stanford,27
Duke,13,Northwestern,24
Hawaii,28,Arizona,47
Utah,34,San Jose State,17
UCLA,17,BYU,14
Buffalo,14,Nevada,38
Texas,43,California,50
Clemson,26,Georgia Tech,7
Wyoming,24,Eastern Michigan,27
TCU,33,SMU,3
New Mexico State,6,Troy,52
W Illinois,28,Northern Illinois,23
Penn State,10,Michigan,49
Delaware State,0,Missouri,79
North Texas,42,Rice,35
Louisiana Tech,34,Middle Tennessee,38
BYU,32,West Virginia,35
Florida State,55,South Florida,35
Iowa,14,Rutgers,7
Syracuse,31,Connecticut,24
San Jose State,10,Iowa State,44
Miami (OH),20,Cincinnati,27
Boise State,38,Oregon State,24
Houston,64,Texas State,3
Nicholls,40,South Alabama,41
Appalachian State,45,Akron,38
Pittsburgh,36,North Carolina,37
Central Michigan,35,Virginia,49
Kent State,0,Alabama,48
Florida,28,Tennessee,38
LSU,13,Auburn,18
Vanderbilt,31,Western Kentucky,30
Wake Forest,33,Indiana,28
UCF,53,Florida International,14
South Carolina,10,Kentucky,17
Gardner-Webb,21,Ohio,37
Tulsa,48,Fresno State,41
USC,27,Utah,31
Cent Arkansas,28,Arkansas State,23
Colorado State,24,Minnesota,31
Colorado,41,Oregon,38
Oklahoma State,24,Baylor,35
Nebraska,24,Northwestern,13
Georgia Southern,31,Western Michigan,49
Mississippi State,47,Massachusetts,35
Charlotte,20,Temple,48
Wagner,10,Boston College,42
East Carolina,17,Virginia Tech,54
UTSA,19,Old Dominion,33
Army,20,Buffalo,23
Missouri State,0,Kansas State,35
Duke,38,Notre Dame,35
Ball State,31,Florida Atlantic,27
Wisconsin,30,Michigan State,6
Georgia,14,Ole Miss,45
Nevada,14,Purdue,24
Idaho,33,UNLV,30
Bowling Green,3,Memphis,77
California,41,Arizona State,51
Louisiana-Lafayette,39,Tulane,41
Washington,35,Arizona,28
Air Force,27,Utah State,20
Southern Miss,34,UTEP,7
Louisville,59,Marshall,28
Arkansas,24,Texas A&M,45
Stanford,22,UCLA,13
Kansas,19,Texas Tech,55
Connecticut,14,Houston,42
Eastern Michigan,28,Bowling Green,25
Oklahoma,52,TCU,46
North Carolina,37,Florida State,35
Florida Atlantic,31,Florida International,33
Louisiana-Monroe,7,Auburn,58
Oregon State,6,Colorado,47
Purdue,7,Maryland,50
Toledo,53,BYU,55
Missouri,7,LSU,42
Western Michigan,49,Central Michigan,10
Kentucky,6,Alabama,34
Texas,31,Oklahoma State,49
Georgia State,3,Appalachian State,17
Texas A&M,24,South Carolina,13
Alcorn State,10,Arkansas,52
Northwestern,38,Iowa,31
Northern Illinois,31,Ball State,24
Memphis,28,Ole Miss,48
South Florida,45,Cincinnati,20
Kansas State,16,West Virginia,17
Navy,14,Air Force,28
SMU,20,Temple,45
Wake Forest,16,North Carolina State,33
Wisconsin,7,Michigan,14
Middle Tennessee,30,North Texas,13
Marshall,27,Pittsburgh,43
Tulane,31,Massachusetts,24
Virginia,34,Duke,20
UCF,47,East Carolina,29
UTEP,7,Louisiana Tech,28
Akron,31,Kent State,27
Buffalo,3,Boston College,35
Utah,23,California,28
Rutgers,0,Ohio State,58
Illinois,16,Nebraska,31
Miami (FL),35,Georgia Tech,21
Ohio,17,Miami (OH),7
Baylor,45,Iowa State,42
Stanford,6,Washington,44
Troy,34,Idaho,13
Notre Dame,50,Syracuse,33
Minnesota,26,Penn State,29
Tennessee,34,Georgia,31
Incarnate Word,17,Texas State,48
Florida,13,Vanderbilt,6
Rice,28,Southern Miss,44
Old Dominion,52,Charlotte,17
San Jose State,41,New Mexico,48
Louisiana-Lafayette,31,New Mexico State,37
Arizona State,20,USC,41
Utah State,10,Boise State,21
Wyoming,38,Colorado State,17
Michigan State,21,Indiana,24
Oregon,33,Washington State,51
Nevada,17,Hawaii,38
Fresno State,20,UNLV,45
Louisville,36,Clemson,42
San Diego State,24,South Alabama,42
Arizona,24,UCLA,45
Georgia Southern,26,Arkansas State,27
Western Kentucky,52,Louisiana Tech,55
Temple,27,Memphis,34
Clemson,56,Boston College,10
Boise State,49,New Mexico,21
SMU,40,Tulsa,43
Massachusetts,16,Old Dominion,36
Indiana,17,Ohio State,38
Notre Dame,3,North Carolina State,10
Alabama,49,Arkansas,30
Auburn,38,Mississippi State,14
Army,6,Duke,13
TCU,24,Kansas,23
Purdue,34,Illinois,31
Houston,40,Navy,46
Northern Illinois,30,Western Michigan,45
Fresno State,22,Nevada,27
Florida State,20,Miami (FL),19
Toledo,35,Eastern Michigan,20
Air Force,26,Wyoming,35
Tennessee,38,Texas A&M,45
Utah State,24,Colorado State,31
Iowa,14,Minnesota,7
Texas Tech,38,Kansas State,44
Maryland,14,Penn State,38
Texas,40,Oklahoma,45
Washington State,42,Stanford,16
Iowa State,31,Oklahoma State,38
Michigan,78,Rutgers,0
Ball State,21,Central Michigan,24
East Carolina,22,South Florida,38
California,44,Oregon State,47
Bowling Green,24,Ohio,30
Kent State,44,Buffalo,20
UNLV,7,San Diego State,26
Texas State,21,Georgia State,41
UCLA,20,Arizona State,23
Idaho,34,Louisiana-Monroe,31
Syracuse,9,Wake Forest,28
Vanderbilt,13,Kentucky,20
Washington,70,Oregon,21
Colorado,17,USC,21
Georgia Tech,34,Pittsburgh,37
Southern Miss,32,UTSA,55
Arizona,23,Utah,36
Cincinnati,9,Connecticut,20
BYU,31,Michigan State,14
Hawaii,34,San Jose State,17
Virginia Tech,34,North Carolina,3
Marshall,21,North Texas,38
Miami (OH),13,Akron,35
Florida International,35,UTEP,21
Charlotte,28,Florida Atlantic,23
Georgia,28,South Carolina,14
Appalachian State,24,Louisiana-Lafayette,0
Duke,14,Louisville,24
Mississippi State,21,BYU,28
North Carolina,20,Miami (FL),13
Ole Miss,30,Arkansas,34
Connecticut,27,South Florida,42
Wake Forest,6,Florida State,17
Northwestern,54,Michigan State,40
Texas State,34,Louisiana-Monroe,40
Kansas State,17,Oklahoma,38
USC,48,Arizona,14
Southern Miss,10,LSU,45
West Virginia,48,Texas Tech,17
Louisiana Tech,56,Massachusetts,28
Utah,19,Oregon State,14
North Carolina State,17,Clemson,24
Missouri,14,Florida,40
Nebraska,27,Indiana,22
Kent State,14,Miami (OH),18
San Diego State,17,Fresno State,3
Alabama,49,Tennessee,10
Bowling Green,35,Toledo,42
Ball State,31,Buffalo,21
Lafayette,7,Army,62
Illinois,24,Rutgers,7
Western Kentucky,44,Middle Tennessee,43
Tulsa,31,Houston,38
Georgia Southern,24,Georgia Tech,35
Iowa State,6,Texas,27
Stanford,17,Notre Dame,10
New Mexico,45,Air Force,40
Vanderbilt,17,Georgia,16
Central Michigan,34,Northern Illinois,28
Virginia Tech,17,Syracuse,31
South Alabama,7,Arkansas State,17
Pittsburgh,45,Virginia,31
Iowa,49,Purdue,35
UTSA,14,Rice,13
Florida International,27,Charlotte,26
Kansas,7,Baylor,49
Georgia State,21,Troy,31
Minnesota,31,Maryland,10
Memphis,24,Tulane,14
Temple,26,UCF,25
New Mexico State,23,Idaho,55
Western Michigan,41,Akron,0
Eastern Michigan,27,Ohio,20
Florida Atlantic,21,Marshall,27
UCLA,21,Washington State,27
Colorado State,23,Boise State,28
Arizona State,16,Colorado,40
Ohio State,30,Wisconsin,23
UNLV,41,Hawaii,38
Nevada,10,San Jose State,14
Miami (FL),16,Virginia Tech,37
Troy,28,South Alabama,21
BYU,27,Boise State,28
South Florida,30,Temple,46
Texas,21,Kansas State,24
Central Michigan,17,Toledo,31
Colorado State,42,UNLV,23
Colorado,10,Stanford,5
Wisconsin,17,Iowa,9
Ohio,14,Kent State,10
Akron,35,Ball State,25
UCF,24,Connecticut,16
Oregon,49,California,52
Tulane,27,Tulsa,50
Eastern Michigan,31,Western Michigan,45
San Jose State,3,San Diego State,42
Purdue,14,Nebraska,27
Indiana,14,Northwestern,24
Middle Tennessee,51,Missouri,45
