Team,Conference,Score2011,Score2012,Score2013,Score2014,Score2015,Score,Score
Miami (FL),ACC,1675,1600,1774.79241,1741.514112,1761.027483,,1736.587771
Miami (OH),Mid-American,1100,1000,919.3816855,1261.518679,1349.955239,,1208.704229
Michigan,Big Ten,1870.350556,1854.568734,1908.600152,1622.05591,1949.917224,,1842.88978
Michigan State,Big Ten,1850.150023,1791.986916,2185.178464,2013.377602,2048.640575,,2023.456414
Middle Tennessee,Conference USA,1174.341615,1527.725453,1505.669343,1491.152601,1495.503549,,1482.452208
Minnesota,Big Ten,1510.670817,1582.82607,1802.905768,1783.492294,1623.218057,,1683.591905
Mississippi State,SEC,1749.819338,1733.635055,1792.663223,1972.413663,1827.794297,,1846.289569
Missouri,SEC,1851.02216,1746.389225,2079.247315,1933.109509,1624.030263,,1802.070116
Navy,Independent,1590.594222,1544.736724,1669.113582,1582.458053,1940.30536,,1743.270608
Nebraska,Big Ten,1808.365485,1857.400916,1730.788301,1841.517746,1760.245271,,1789.741217
Nevada,Mountain West,1621.865258,1527.483105,1445.862828,1575.775069,1389.926835,,1474.353157
New Mexico,Mountain West,1167.308578,1348.686478,1265.34036,1413.789265,1360.399816,,1348.044604
New Mexico State,Sun Belt,1386.124963,1011.657851,929.5913833,1030.731979,1250.078519,,1123.81594
North Carolina,ACC,1659.64444,1678.216092,1699.073698,1576.796874,1938.310527,,1763.356121
North Carolina State,ACC,1654.930876,1511.554392,1400.584942,1667.829729,1678.151145,,1612.850121
North Texas,Conference USA,1343.957185,1334.128168,1639.409455,1313.066332,1149.988735,,1299.772812
Northern Illinois,Mid-American,1710.474359,1769.757642,1845.218532,1580.365082,1632.999101,,1671.129656
Northwestern,Big Ten,1608.5078,1828.867984,1733.512661,1596.053559,1840.870912,,1746.000886
Notre Dame,Independent,1793.33973,2029.47943,1841.758163,1793.186608,2076.602173,,1945.069658
Ohio,Mid-American,1606.630383,1502.170542,1428.547018,1331.024071,1591.619071,,1488.667655
Ohio State,Big Ten,1690.002009,2021.876275,2073.061065,2179.407231,2116.247122,,2093.681625
Oklahoma,Big 12,2035.747673,1909.529155,1903.840951,1895.880835,2152.756046,,2014.093757
Oklahoma State,Big 12,2172.592082,1841.488879,2094.508767,1667.635544,1953.862749,,1900.430308
Old Dominion,Conference USA,1200,1200,1210.083126,1386.991971,1244.28756,,1269.447879
Ole Miss,SEC,1436.604772,1700,1800,2001.700507,1942.073858,,1883.247272
Oregon,Pac-12,2131.122008,2204.022053,2039.394902,2287.629526,1905.611141,,2070.546715
Oregon State,Pac-12,1564.34047,1904.079937,1738.009173,1570.663715,1422.322525,,1569.390875
Penn State,Big Ten,1766.390473,1838.067217,1721.783037,1633.012843,1790.099076,,1741.775307
Pittsburgh,ACC,1660.508815,1706.376199,1659.649868,1729.708717,1800.026539,,1742.156143
Purdue,Big Ten,1611.664992,1579.2165,1329.800711,1443.675056,1353.149867,,1410.688123
Rice,Conference USA,1461.493913,1491.197076,1633.540229,1642.276369,1289.959136,,1467.134931
Rutgers,Big Ten,1717.308126,1704.245456,1499.345747,1685.441664,1540.843308,,1598.831108
San Diego State,Mountain West,1563.14711,1640.730978,1563.254482,1522.997894,1629.194594,,1588.57467
San Jose State,Mountain West,1486.900737,1835.181779,1518.982998,1332.812044,1369.717969,,1438.737751
SMU,American Athletic,1667.834031,1609.002439,1528.534337,1111.27019,1413.69695,,1386.177288
South Alabama,Sun Belt,1208.612367,1166.372219,1558.044112,1432.080333,1366.109086,,1384.461237
South Carolina,SEC,1940.187952,2042.70039,1992.127708,1743.391937,1541.989926,,1739.728997
South Florida,American Athletic,1635.008959,1482.998763,1309.567292,1246.112807,1808.71338,,1538.41997
Southern Miss,Conference USA,1927.836011,1500,1500,1374.202994,1566.240777,,1517.304063
Stanford,Pac-12,2008.820904,1965.854444,2137.161479,1889.239679,2012.487604,,1994.63755
Syracuse,ACC,1515.01407,1737.358723,1667.582944,1502.957605,1545.730919,,1572.269249
TCU,Big 12,1854.922624,1743.780258,1652.556857,2136.921515,1984.902098,,1940.209372
Temple,American Athletic,1627.098994,1460.372766,1453.167922,1481.329592,1906.975058,,1661.568248
Tennessee,SEC,1736.118076,1658.47781,1726.491398,1800.488287,1943.382087,,1830.634001
Texas,Big 12,1802.638916,1840.496602,1823.807665,1784.493806,1724.34882,,1772.22709
Texas A&M,SEC,1896.531044,2081.896754,1964.516359,1850.376588,1817.536345,,1881.370912
Texas State,Sun Belt,705.0657243,1350.117022,1275.512368,1428.61433,1221.430208,,1270.860536
Texas Tech,Big 12,1581.302562,1717.803442,1691.548575,1577.385451,1834.69971,,1718.741058
Toledo,Mid-American,1696.687988,1653.134745,1643.754835,1521.133996,1865.872903,,1708.782904
Troy,Sun Belt,1180.247668,1457.160514,1410.646361,1253.721741,1391.820795,,1354.193834
Tulane,American Athletic,1085.215243,1244.599848,1528.399331,1285.04363,1264.535787,,1300.058809
Tulsa,American Athletic,1752.089148,1672.366837,1374.204078,1233.617131,1509.46684,,1445.434496
UCF,American Athletic,1550.437927,1741.863336,1831.238113,1661.668764,1093.70969,,1451.889488
UCLA,Pac-12,1597.953708,1801.06884,1952.982414,1945.749065,1783.716858,,1845.132569
UNLV,Mountain West,1204.137935,1291.970265,1513.651871,1213.694561,1243.796896,,1281.467477
USC,Pac-12,1912.125725,1816.651827,1864.783363,1859.456854,1867.198674,,1861.823849
Utah,Pac-12,1682.034524,1624.850266,1695.307407,1846.851112,1870.830619,,1800.976726
Utah State,Mountain West,1561.395117,1925.508812,1643.276056,1703.882797,1538.232702,,1640.395606
UTEP,Conference USA,1425.692427,1250.125041,1144.808864,1528.19931,1216.031437,,1301.558797
UTSA,Conference USA,1200,1392.983093,1546.355919,1397.772331,1294.430867,,1366.807502
Vanderbilt,SEC,1720.92875,1807.547243,1823.823527,1420.092316,1580.643366,,1608.058017
Virginia,ACC,1569.689927,1470.174346,1429.500179,1709.225338,1583.966003,,1579.810204
Virginia Tech,ACC,1751.717593,1641.104444,1815.082973,1716.05864,1679.081562,,1710.111637
Wake Forest,ACC,1554.837548,1470.397858,1592.513017,1329.21485,1437.519951,,1443.12664
Washington,Pac-12,1687.543088,1747.45156,1899.317793,1798.942174,1766.380062,,1789.797419
Washington State,Pac-12,1446.90009,1389.257291,1731.945118,1548.59015,1795.606346,,1659.423765
West Virginia,Big 12,1793.380206,1695.846461,1362.069,1772.647136,1850.881552,,1733.766748
Western Kentucky,Conference USA,1468.077562,1475.199977,1494.187327,1583.399471,1739.930047,,1617.761959
Western Michigan,Mid-American,1581.967515,1372.28108,1029.845168,1505.586164,1656.969416,,1484.197438
Wisconsin,Big Ten,1952.627548,1875.335272,2026.114934,1928.183552,1818.101428,,1893.019583
Wyoming,Mountain West,1467.998378,1426.804642,1301.114674,1391.410671,1170.74629,,1291.998703
