,Visitor Team,Visitor Score,Visitor Win %,,Home Team,Home Score,Home %,,Visitor Team,Visitor Score,Visitor Win %,Home Team,Home Score,Home %
,Stanford,29.07825651,51.64,,California,28.39403411,48.36,,[](#f/) **Stanford**,**29.0782565094774**,**51.64**,[](#f/) California,28.39403411,48.36
,Old Dominion,42.55607143,84.142,,Florida Atlantic,19.91450779,15.858,,[](#f/) **Old Dominion**,**42.5560714329619**,**84.142**,[](#f/) Florida Atlantic,19.91450779,15.858
,Buffalo,7.825589666,0.764,,Western Michigan,63.44797004,99.236,,[](#f/) Buffalo,7.825589666,0.764,[](#f/) **Western Michigan**,**63.4479700423155**,**99.236**
,Marshall,30.94116053,56.144,,Florida International,28.00352006,43.856,,[](#f/) **Marshall**,**30.9411605340068**,**56.144**,[](#f/) Florida International,28.00352006,43.856
,Arkansas,31.0926239,44.573,,Mississippi State,34.97481814,55.427,,[](#f/) Arkansas,31.0926239,44.573,[](#f/) **Mississippi State**,**34.9748181420556**,**55.427**
,Hawaii,30.00886829,67.452,,Fresno State,20.6021391,32.548,,[](#f/) **Hawaii**,**30.0088682917658**,**67.452**,[](#f/) Fresno State,20.6021391,32.548
,South Florida,44.1523249,69.141,,SMU,31.54335396,30.859,,[](#f/) **South Florida**,**44.1523248996413**,**69.141**,[](#f/) SMU,31.54335396,30.859
,Tulsa,28.68276375,40.269,,UCF,33.93741491,59.731,,[](#f/) Tulsa,28.68276375,40.269,[](#f/) **UCF**,**33.9374149132206**,**59.731**
,Temple,32.34250507,69.487,,Tulane,21.15198112,30.513,,[](#f/) **Temple**,**32.342505070457**,**69.487**,[](#f/) Tulane,21.15198112,30.513
,Ohio State,55.01311923,97.625,,Michigan State,10.23949722,2.375,,[](#f/) **Ohio State**,**55.0131192299148**,**97.625**,[](#f/) Michigan State,10.23949722,2.375
,Texas,51.33164569,97.672,,Kansas,11.84491229,2.328,,[](#f/) **Texas**,**51.3316456913697**,**97.672**,[](#f/) Kansas,11.84491229,2.328
,Clemson,33.03395427,88.076,,Wake Forest,9.769412582,11.924,,[](#f/) **Clemson**,**33.0339542692499**,**88.076**,[](#f/) Wake Forest,9.769412582,11.924
,Missouri,24.89102729,25.721,,Tennessee,39.11028877,74.279,,[](#f/) Missouri,24.89102729,25.721,[](#f/) **Tennessee**,**39.1102887732673**,**74.279**
,USC,24.60402136,60.514,,UCLA,20.28892413,39.486,,[](#f/) **USC**,**24.6040213564889**,**60.514**,[](#f/) UCLA,20.28892413,39.486
,Oklahoma State,33.88977341,47.675,,TCU,34.06735339,52.325,,[](#f/) Oklahoma State,33.88977341,47.675,[](#f/) **TCU**,**34.0673533875161**,**52.325**
,Penn State,53.96156357,97.279,,Rutgers,9.276198207,2.721,,[](#f/) **Penn State**,**53.9615635726132**,**97.279**,[](#f/) Rutgers,9.276198207,2.721
,Oregon,34.89217463,39.297,,Utah,42.61546851,60.703,,[](#f/) Oregon,34.89217463,39.297,[](#f/) **Utah**,**42.6154685085283**,**60.703**
,Air Force,40.25449642,76.765,,San Jose State,22.34647578,23.235,,[](#f/) **Air Force**,**40.2544964205578**,**76.765**,[](#f/) San Jose State,22.34647578,23.235
,Utah State,28.61726735,75.934,,Nevada,17.14849293,24.066,,[](#f/) **Utah State**,**28.6172673521673**,**75.934**,[](#f/) Nevada,17.14849293,24.066
,Navy,45.01742118,70.463,,East Carolina,30.66007068,29.537,,[](#f/) **Navy**,**45.017421184858**,**70.463**,[](#f/) East Carolina,30.66007068,29.537
,Florida,9.575204075,27.694,,LSU,18.68274112,72.306,,[](#f/) Florida,9.575204075,27.694,[](#f/) **LSU**,**18.6827411248283**,**72.306**
,Maryland,15.54014516,18.419,,Nebraska,33.28373165,81.581,,[](#f/) Maryland,15.54014516,18.419,[](#f/) **Nebraska**,**33.283731651756**,**81.581**
,Georgia Southern,17.73838836,33.52,,Georgia State,25.96075294,66.48,,[](#f/) Georgia Southern,17.73838836,33.52,[](#f/) **Georgia State**,**25.960752942877**,**66.48**
