Team,Expected.Wins,Games,Average.Expected.Wins,SoS.Rank,Points.For,Points.Against,Py.Wins,Py.Losses,Wins.Over,Rank
Oregon,5.159592947,12,0.429966079,58,425,497,5.164579361,6.835420639,0.004986414,69
Vanderbilt,5.757796346,13,0.442907411,62,299,312,5.709455913,7.290544087,-0.048340433,70
Boston College,6.656270923,13,0.51202084,119,265,325,6.599491483,6.400508517,-0.056779441,71
Oregon State,5.105473064,12,0.425456089,53,314,366,5.048338558,6.951661442,-0.057134506,72
Wake Forest,6.380909359,13,0.490839181,101,265,288,6.315456695,6.684543305,-0.065452664,73
Indiana,6.217274808,13,0.478251908,97,335,354,6.002722985,6.997277015,-0.214551823,74
Idaho,7.255036302,13,0.558079716,149,400,407,6.804254629,6.195745371,-0.450781672,75
Missouri,5.551191072,12,0.462599256,80,377,378,5.094313688,6.905686312,-0.456877384,76
Duke,5.333999529,12,0.444499961,64,280,338,4.859664371,7.140335629,-0.474335159,77
Maryland,6.631169195,13,0.510089938,117,335,384,6.154265925,6.845734075,-0.47690327,78
Michigan State,5.367697042,12,0.447308087,67,289,333,4.882515743,7.117484257,-0.485181299,79
Iowa State,5.384526286,12,0.448710524,69,332,376,4.799895812,7.200104188,-0.584630474,80
Southern Miss,7.792097642,13,0.599392126,176,427,384,7.165597621,5.834402379,-0.626500021,81
New Mexico,8.066541721,13,0.620503209,187,477,409,7.427750685,5.572249315,-0.638791036,82
Syracuse,5.012731529,12,0.417727627,44,308,463,4.354393586,7.645606414,-0.658337943,83
Arizona State,5.503142259,12,0.458595188,78,400,478,4.82907052,7.17092948,-0.674071739,84
Eastern Michigan,7.05262226,13,0.542509405,137,385,388,6.330743963,6.669256037,-0.721878297,85
Georgia Southern,6.543044683,12,0.545253724,140,319,318,5.768200625,6.231799375,-0.774844059,86
UTSA,7.630269993,13,0.586943846,167,379,363,6.729549877,6.270450123,-0.900720117,87
Army,8.494792565,13,0.653445582,192,389,258,7.526758027,5.473241973,-0.968034537,88
South Carolina,6.146615512,13,0.472816578,92,270,344,5.152748264,7.847251736,-0.993867248,89
Utah State,5.690821516,12,0.474235126,93,287,352,4.670556566,7.329443434,-1.02026495,90
Miami (OH),7.260629304,13,0.558509946,150,297,309,6.157070729,6.842929271,-1.103558575,91
SMU,6.109048145,12,0.509087345,114,332,435,4.982865495,7.017134505,-1.12618265,92
Central Michigan,6.92125983,13,0.532404602,129,342,394,5.763260945,7.236739055,-1.157998885,93
Arizona,5.025532935,12,0.418794411,45,297,460,3.852455502,8.147544498,-1.173077433,94
Virginia,4.966061179,12,0.413838432,42,270,405,3.633933745,8.366066255,-1.332127434,95
Middle Tennessee,8.341676652,13,0.641667435,191,516,465,6.993427792,6.006572208,-1.34824886,96
Louisiana-Lafayette,7.605323452,13,0.585024881,165,307,329,6.218874224,6.781125776,-1.386449229,97
South Alabama,7.438584362,13,0.572198797,157,330,351,5.920676546,7.079323454,-1.517907816,98
Bowling Green,6.339561263,12,0.528296772,125,298,460,4.647086788,7.352913212,-1.692474474,99
Illinois,5.372057731,12,0.447671478,68,236,383,3.648019921,8.351980079,-1.72403781,100
Akron,6.576602419,12,0.548050202,143,329,403,4.843070659,7.156929341,-1.73353176,101
Ball State,7.223985938,12,0.601998828,177,324,361,5.445194872,6.554805128,-1.778791066,102
Kent State,6.370560637,12,0.530880053,128,247,344,4.538582691,7.461417309,-1.831977945,103
East Carolina,6.10543901,12,0.508786584,113,324,433,4.211724935,7.788275065,-1.893714076,104
Purdue,5.909245051,12,0.492437088,103,295,459,3.875076939,8.124923061,-2.034168112,105
Hawaii,8.13868081,14,0.581334344,161,396,522,6.073928378,7.926071622,-2.064752432,106
Tulane,6.587674492,12,0.548972874,144,289,332,4.514494552,7.485505448,-2.07317994,107
Cincinnati,6.344844486,12,0.52873704,126,232,323,4.165781044,7.834218956,-2.179063441,108
Rutgers,5.12852392,12,0.427376993,54,188,450,2.833737405,9.166262595,-2.294786515,109
Georgia State,6.545429387,12,0.545452449,141,239,319,4.23493299,7.76506701,-2.310496397,110
Kansas,5.552900094,12,0.462741675,82,243,448,3.165110856,8.834889144,-2.387789238,111
San Jose State,6.659511761,12,0.554959313,148,293,416,4.253069395,7.746930605,-2.406442366,112
UNLV,7.023180688,12,0.585265057,166,379,441,4.5347115,7.4652885,-2.488469188,113
Massachusetts,6.353449239,12,0.529454103,127,280,426,3.821389387,8.178610613,-2.532059852,114
New Mexico State,6.323569623,12,0.526964135,124,298,466,3.727789162,8.272210838,-2.595780461,115
Nevada,7.665535891,12,0.638794658,189,305,348,5.063622532,6.936377468,-2.601913359,116
Charlotte,7.276764608,12,0.606397051,179,302,415,4.639922789,7.360077211,-2.636841819,117
Marshall,6.894602381,12,0.574550198,158,317,423,4.221305901,7.778694099,-2.67329648,118
North Texas,7.677334852,13,0.590564219,170,322,424,4.990467472,8.009532528,-2.68686738,119
Louisiana-Monroe,6.62409938,12,0.552008282,147,280,469,3.887561969,8.112438031,-2.736537411,120
Florida Atlantic,7.128041362,12,0.594003447,172,317,477,4.181129971,7.818870029,-2.946911391,121
Florida International,7.077677225,12,0.589806435,169,288,418,4.127965924,7.872034076,-2.949711301,122
Fresno State,6.471035745,12,0.539252979,134,212,371,3.366442807,8.633557193,-3.104592937,123
Connecticut,6.73883775,12,0.561569813,153,178,337,3.540987991,8.459012009,-3.19784976,124
Rice,7.006697807,12,0.583891484,163,303,448,3.76216072,8.23783928,-3.244537087,125
UTEP,6.788901973,11,0.617172907,183,274,409,3.415642118,7.584357882,-3.373259855,126
Buffalo,6.804421343,12,0.567035112,155,198,388,2.912396794,9.087603206,-3.892024548,127
Texas State,6.62111166,12,0.551759305,146,223,493,2.262010027,9.737989973,-4.359101633,128
