Team,score.2010
Eastern Washington,5.407694
Florida A&M,5.407694
Florida Atlantic,3.999991
Hampton,5.407694
Marshall,5.148981
Minnesota,18.688526
Murray State,5.407694
Norfolk State,5.407694
North Dakota,3.682859
Northern Illinois,21.723112
Pittsburgh,25.348317
Rhode Island,5.407694
Southeast Missouri State,5.407694
Southeastern Louisiana,3.682859
USC,32.032806
Southern Miss,16.476938
Towson,5.407694
Presbyterian,3.682859
Arizona,42.116521
Villanova,5.407694
Arkansas State,4.778504
Bowling Green,3.199852
Sacramento State,5.407694
UC Davis,5.5648
UCLA,14.035131
Cincinnati,12.463197
Coastal Carolina,5.407694
Colorado,25.446036
Connecticut,20.783313
Eastern Illinois,5.407694
Illinois,23.103359
Jacksonville State,7.707364
Kentucky,13.97706
LSU,116.77882
Louisiana Tech,4.224569
Memphis,2.700176
Miami (OH),15.443753
New Mexico,2.418101
Nicholls State,3.682859
North Dakota State,7.653108
North Texas,3.396138
Northwestern State,5.407694
Northwestern,23.900809
Oregon State,24.362121
Portland State,3.682859
Purdue,8.750251
Richmond,5.407694
Sam Houston State,5.407694
Samford,5.407694
San Jose State,3.111873
South Carolina State,5.407694
South Dakota,7.757957
Southern Utah,3.682859
Texas State,5.407694
Louisiana-Lafayette,3.106668
Stephen F. Austin,5.407694
Stony Brook,5.407694
Syracuse,20.403475
Tennessee Tech,3.682859
Tennessee-Martin,5.407694
Texas,42.266026
Army,8.020287
Utah State,5.526122
Washington State,8.198406
Washington,55.441635
Weber State,3.682859
Western Carolina,5.407694
Western Kentucky,2.897264
Western Michigan,7.574225
Wisconsin,136.927311
Youngstown State,5.407694
Elon,5.407694
Ark.-Pine Bluff,5.407694
Wofford,5.407694
SMU,13.318257
Tulsa,41.645828
Boise State,116.765588
Navy,24.719145
Auburn,755.009873
Central Michigan,5.357826
UTEP,8.160114
West Virginia,32.419178
UAB,5.339022
Arkansas,112.91717
Austin Peay,3.682859
BYU,13.608403
Buffalo,4.476666
Citadel,5.407694
Colorado State,3.082019
Duke,8.308548
Eastern Kentucky,5.407694
Eastern Michigan,2.747579
Florida State,49.385693
Georgia Southern,5.407694
Georgia Tech,10.484886
Georgia,9.850254
Hawaii,82.249332
Idaho State,3.682859
Idaho,6.800454
Illinois State,5.407694
Indiana State,5.407694
Iowa State,25.041173
James Madison,38.419343
Kent State,8.706734
Liberty,8.089087
McNeese State,3.682859
Miami (FL),28.811176
Michigan State,131.268023
Michigan,17.252324
Ole Miss,6.559129
Montana State,5.407694
Morgan State,5.407694
UNLV,3.05148
New Hampshire,5.407694
North Carolina State,41.700175
Northern Arizona,5.407694
Oregon,275.249796
Penn State,17.727125
Prairie View,5.407694
Rice,6.355851
Rutgers,7.558375
San Diego State,19.104385
South Florida,14.326139
Southern Illinois,5.407694
Missouri State,5.407694
Stanford,180.504664
Texas Southern,5.407694
Texas Tech,50.990607
Toledo,9.676913
Troy,9.407128
Virginia,8.973353
Western Illinois,5.407694
Wyoming,4.74731
Gardner-Webb,7.189488
California,19.059188
Kansas,5.360872
Akron,2.500987
Alabama,111.064223
Arizona State,17.000835
Ball State,5.86858
Baylor,16.676084
Fresno State,10.863105
UCF,21.096099
Clemson,18.263993
East Carolina,19.347006
Florida International,7.453488
Florida,21.625704
Furman,5.407694
Houston,10.060562
Indiana,6.006806
Iowa,82.248465
Louisville,17.231046
Maine,5.407694
Maryland,30.005482
Massachusetts,5.407694
Middle Tennessee,5.599129
Mississippi State,19.731504
Nebraska,134.767442
New Mexico State,2.398912
Louisiana-Monroe,5.713182
Notre Dame,30.143222
Ohio,12.237903
Air Force,19.150991
Utah,25.773925
Vanderbilt,3.412878
Wake Forest,4.343454
TCU,186.474678
Charleston So.,3.682859
Colgate,5.407694
North Carolina,19.456321
Nevada,144.985217
Northern Colorado,5.407694
Northern Iowa,5.407694
Oklahoma,170.019244
South Carolina,82.032739
South Dakota State,5.407694
Temple,13.718705
Tulane,5.707779
Virginia Military,3.682859
Virginia Tech,59.326242
Central Arkansas,5.407694
Texas A&M,118.314545
Alcorn St.,5.407694
Cal Poly,5.407694
Ohio State,146.252208
Tennessee,8.865723
Oklahoma State,110.673151
Boston College,11.39893
Kansas State,22.270671
Missouri,139.441086
William & Mary,5.407694
Chattanooga,5.407694
Georgia State,5.407694
Appalachian State,5.407694
Charlotte,1
Old Dominion,3
UTSA,3
South Alabama,3
