Team,score.2012
Sacramento State,1.9287129
UCLA,30.6408107
UCF,8.7639788
Eastern Michigan,1.624949
Eastern Washington,2.0234067
Massachusetts,0.8487292
McNeese State,3.5750143
Minnesota,33.751685
Northern Arizona,2.0003578
Northern Colorado,1.8755006
South Carolina,227.7863029
Southeast Missouri State,1.8755006
Southern Utah,1.2760302
Towson,1.2760302
Washington State,4.9989141
Boise State,12.8357913
San Jose State,17.0976631
Tennessee,6.4143683
Villanova,1.8755006
Wagner,1.8755006
Appalachian State,1.8755006
Arkansas State,15.6682225
Austin Peay,1.2760302
Bowling Green,5.3242463
Buffalo,1.9905593
Clemson,67.2209353
Colorado State,1.227838
Eastern Kentucky,1.8755006
Florida International,1.1618141
Hawaii,1.4874101
Idaho State,1.2760302
Indiana State,1.8755006
Iowa,11.8337593
Jackson State,1.8755006
Jacksonville State,1.2760302
Lamar,1.2760302
Liberty,1.8755006
Marshall,1.8463513
Miami (OH),2.7852708
Miami (FL),11.8860546
Michigan,23.3761842
Murray State,1.8755006
Nevada,2.5630971
North Texas,2.473696
Northern Iowa,1.2760302
Northwestern State,1.2760302
Northwestern,31.7956904
Notre Dame,207.6042943
Ohio,11.4699502
Oklahoma,31.3141178
Richmond,1.8755006
Rutgers,83.4922356
San Diego State,7.3734818
Savannah State,1.2760302
South Dakota State,1.8755006
Southeastern Louisiana,1.2760302
Southern Miss,0.7573211
Southern University,1.8755006
Missouri State,1.2760302
Texas State,1.5537238
Chattanooga,1.8755006
Tennessee-Martin,2.0621437
UTSA,3.50698
Toledo,31.4651616
Troy,1.7803225
Tulsa,10.2757741
Weber State,1.2760302
Western Michigan,8.3794505
William & Mary,1.8755006
Wyoming,1.1666636
Youngstown State,19.808373
Central Arkansas,1.8755006
Elon,1.8755006
Kentucky,16.1677947
SMU,7.1350692
Georgia Tech,19.9307985
Pittsburgh,35.4158308
Utah,6.7568748
Akron,1.2249496
Arkansas,5.5691141
Auburn,2.036582
Ball State,13.6565378
Fresno State,5.90268
UC Davis,1.8755006
Duke,5.5200743
East Carolina,2.9668881
Eastern Illinois,1.8755006
Florida A&M,1.8755006
Florida Atlantic,2.6895223
Florida,493.9113772
Georgia State,1.2760302
Georgia,259.664695
Grambling,1.8755006
Howard,1.8755006
Idaho,0.8442378
Illinois State,2.9119803
Illinois,2.7616191
Indiana,2.7987382
Iowa State,16.100657
Kent State,37.7695693
Louisiana Tech,5.0947667
Maine,1.8755006
Maryland,3.1639969
Memphis,1.5250214
Michigan State,17.2500873
Morgan State,1.2760302
North Carolina,11.7088851
Nebraska,40.1165386
New Hampshire,1.8755006
New Mexico State,1.5079397
New Mexico,1.9496628
Nicholls State,1.0706933
North Carolina State,18.8364676
North Dakota State,2.839876
Oklahoma State,17.139058
Penn State,25.6271035
Purdue,3.6168596
Rice,3.4386167
South Florida,8.3848733
USC,55.7404644
Southern Illinois,1.8755006
Louisiana-Lafayette,4.8057944
Stephen F. Austin,1.2760302
Texas Southern,1.8755006
Texas Tech,11.4257768
UTEP,0.963426
Tulane,1.1300271
Air Force,2.3368366
Army,1.2254375
Vanderbilt,11.2896694
Washington,51.3607326
Western Carolina,1.2760302
Western Kentucky,5.391107
Wisconsin,31.8484187
Presbyterian,1.2760302
Alabama,456.4541828
UAB,1.3962408
Arizona State,10.3528121
Charleston So.,1.8755006
Bethune-Cookman,1.8755006
Boston College,1.7050453
BYU,22.0724803
Cal Poly,2.6273315
California,8.8039338
Colorado,0.8959904
Connecticut,60.3891415
Delaware State,1.8755006
Furman,1.8755006
Houston,2.3764542
James Madison,1.8755006
Middle Tennessee,7.1554674
Mississippi State,7.9845441
N.C. Central,1.8755006
North Dakota,1.8755006
Louisiana-Monroe,4.1116454
Northern Illinois,30.6052665
Portland State,1.8755006
Sam Houston State,1.2760302
South Alabama,0.9969683
South Carolina State,1.2760302
Stony Brook,2.2259318
Tennessee Tech,1.8755006
Texas A&M,322.4366636
TCU,17.2672214
Texas,23.2382484
Navy,3.8165274
Utah State,35.3960733
Virginia Tech,16.4504026
Virginia,8.1533971
Wake Forest,3.6499063
Western Illinois,1.8755006
Baylor,32.6916685
Alcorn St.,1.8755006
Arizona,31.9311478
Central Michigan,3.4053759
Citadel,1.8755006
Coastal Carolina,1.8755006
Kansas State,45.0752906
Kansas,1.4874951
LSU,204.6770705
Louisville,308.5287446
Ole Miss,11.39444
Missouri,6.3408724
Norfolk State,1.8755006
Oregon State,28.1439008
South Dakota,1.8755006
Syracuse,173.7419487
Temple,7.2970244
Virginia Military,1.8755006
Gardner-Webb,1.8755006
Stanford,151.3404073
Florida State,75.2666631
UNLV,1.2035828
Ohio State,97.3112072
Oregon,148.8209328
Rhode Island,1.8755006
West Virginia,11.4656828
Fordham,1.8755006
Cincinnati,82.6122694
Alabama A&M,1.8755006
Georgia Southern,1.8755006
Samford,1.8755006
Wofford,1.8755006
Old Dominion,3
Charlotte,1
