Team,score.2014
Abilene Christian,1.3819594
Texas A&M,38.5674619
Wake Forest,11.8204354
Eastern Illinois,0.8851089
Howard,0.8851089
Presbyterian,0.7425449
Chattanooga,0.8851089
Idaho State,0.8851089
Cal Poly,1.3016105
Boise State,144.2714784
Tulane,2.2244428
Rutgers,13.0254192
North Dakota,1.3016105
Weber State,1.3016105
Temple,10.6593337
BYU,11.1736124
Villanova,1.3016105
Jacksonville State,1.3016105
Bowling Green,3.4111711
Colorado State,12.9755036
UTSA,2.4744379
UNLV,1.3203433
Penn State,8.7879209
UCLA,177.2764721
Delaware,1.3016105
Appalachian State,3.5172852
North Dakota State,2.425994
Youngstown State,1.3016105
Indiana State,2.1499713
Northern Iowa,0.8851089
Ohio State,190.6717667
Western Michigan,3.0609915
Troy,0.834596
Tennessee-Martin,0.8851089
Wofford,1.3016105
Georgia Southern,3.7283146
Colgate,1.3016105
Nicholls State,0.7425449
Southern Utah,0.8851089
Boston College,28.8623052
James Madison,1.3016105
Florida Atlantic,2.7909201
California,4.8425909
West Virginia,71.663393
Duquesne,1.3016105
Hampton,1.3016105
Rice,3.6539946
Marshall,21.3383267
South Dakota State,1.3016105
Montana,1.3016105
Portland State,0.8851089
UC Davis,0.8851089
Arkansas,52.2414243
William & Mary,1.3016105
Clemson,50.9178922
Elon,1.3016105
Liberty,2.2699251
Ohio,2.3220958
Morgan State,1.3016105
New Hampshire,1.3016105
Savannah State,0.7425449
Bethune-Cookman,1.6052708
Northern Arizona,1.3016105
Austin Peay,1.3016105
Western Carolina,0.8851089
Louisiana Tech,11.541594
Samford,0.8851089
Central Arkansas,1.3016105
Montana State,1.3016105
Southern University,1.3016105
Ark.-Pine Bluff,1.3016105
Stephen F. Austin,1.3016105
Fresno State,6.6229865
Southern Miss,1.368983
UTEP,2.2918974
North Texas,1.3958651
N.C. Central,1.3016105
Florida State,137.9468411
Wisconsin,30.9426727
Washington,8.1284943
South Dakota,1.3016105
Utah State,29.0747759
SMU,0.7300921
Miami (FL),59.2149556
Arizona,401.3220496
Pittsburgh,32.7330526
Washington State,5.7576116
Arkansas State,7.0746004
Buffalo,3.5690904
McNeese State,1.3016105
Missouri,49.4794845
Oklahoma,26.2712925
Stony Brook,1.3016105
Kansas State,22.6973753
Western Kentucky,14.1077162
Akron,7.4397145
Central Michigan,3.3204424
Western Illinois,0.8851089
South Carolina State,1.3016105
Navy,6.7845617
South Alabama,2.1290225
UAB,3.1090689
New Mexico State,1.0854909
Sacramento State,1.3016105
Colorado,0.8003979
Eastern Washington,1.3016105
USC,69.1783341
Eastern Kentucky,1.429873
Virginia Military,0.8851089
Northern Illinois,5.9890382
Maryland,5.5328289
Ball State,2.9854278
Middle Tennessee,3.2912198
Missouri State,1.3016105
Richmond,1.3016105
Georgia Tech,113.1332221
Eastern Michigan,1.5259925
Ole Miss,135.7227525
Campbell,1.3016105
Old Dominion,2.987025
Wagner,1.3016105
Michigan State,50.7684579
Gardner-Webb,1.3016105
Southeast Missouri State,1.3016105
Murray State,0.8851089
Florida A&M,1.3016105
Duke,50.5393163
East Carolina,33.4478602
Arizona State,70.1555316
San Jose State,1.9538158
Rhode Island,1.3016105
Alcorn St.,1.3016105
Idaho,0.6284384
Lamar,1.3016105
Sam Houston State,1.3016105
Citadel,1.3016105
Towson,1.3016105
Northwestern State,3.7987615
Michigan,4.2850028
Virginia Tech,100.6031878
San Diego State,19.9856271
Grambling,1.3016105
Northern Colorado,1.3016105
Memphis,11.0647803
Air Force,58.984543
Oregon State,18.9249668
Texas Tech,1.5048682
Houston,6.0925719
Toledo,3.5863834
Baylor,134.4872763
Indiana,7.280326
Kent State,1.3445027
UCF,11.6395066
Syracuse,3.4971107
Massachusetts,1.3701912
Louisville,31.6541876
Wyoming,10.5230272
Alabama A&M,1.3016105
Kansas,1.8657037
Miami (OH),0.6832842
North Carolina State,16.7946813
Iowa State,2.1700326
Georgia,94.1770139
Louisiana-Lafayette,4.8844773
Mississippi State,42.5826845
Minnesota,11.3509092
Illinois,7.3583023
Army,2.3092974
Tulsa,0.7234032
Louisiana-Monroe,3.015682
Kentucky,7.0023265
Purdue,2.2992285
Southeastern Louisiana,1.3016105
Tennessee,16.2886649
Nebraska,20.6402235
Nevada,7.9179552
Auburn,56.1111839
Connecticut,3.1572103
Iowa,10.4430244
Southern Illinois,1.3016105
Maine,1.3016105
Delaware State,1.3016105
Hawaii,1.8630886
Norfolk State,1.3016105
Florida,41.8847641
North Carolina,57.8371146
Virginia,19.3452322
Utah,54.8465641
Texas State,3.3040708
Georgia State,1.0630426
South Carolina,34.3856673
New Mexico,1.641836
Oregon,742.499186
Northwestern,10.2630058
TCU,158.1663924
South Florida,0.9105814
Vanderbilt,1.1388446
Florida International,2.4430965
Texas,19.0023317
Stanford,79.2138858
Cincinnati,14.5227748
Notre Dame,21.9367353
Alabama,124.1546894
LSU,30.5964648
Oklahoma State,4.7096353
Charleston So.,0.8851089
Furman,1.3016105
Fordham,1.3016105
Charlotte,2
