"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",65,78,43.5,118,73
"Akron",81,120,87.5,87,105
"Alabama",5,1,6,4,1
"Appalachian State",92,30,43.5,66,59
"Arizona",57,95,131.5,12,81
"Arizona State",29,81,78.5,38,56
"Arkansas",43,50,61,2,32
"Arkansas State",89,71,69,103,80
"Army",104,61,78.5,123,90
"Auburn",26,8,43.5,16,11
"Ball State",96,103,98,124,110
"Baylor",40,70,53.5,111,61
"Boise State",34,37,15,72,21
"Boston College",115,51,98,59,85.5
"Bowling Green",102,125,131.5,39,118
"Buffalo",125,121,131.5,114,127
"BYU",59,25,61,54,34.5
"California",13,113,98,11,66
"Central Michigan",87,85,78.5,82,87
"Charlotte",116,116,98,107,121
"Cincinnati",114,47,98,79,85.5
"Clemson",16,11,15,45,4
"Colorado",24,7,21,48,7.5
"Colorado State",83,60,78.5,74,74
"Connecticut",124,45,115.5,62,95
"Duke",77,31,98,26,60
"East Carolina",70,102,115.5,88,100
"Eastern Michigan",90,98,61,91,93
"Florida",84,10,32.5,65,33
"Florida Atlantic",118,124,115.5,116,124
"Florida International",117,111,115.5,85,120
"Florida State",20,33,43.5,25,14
"Fresno State",122,109,137.5,70,123
"Georgia",78,28,61,21,51
"Georgia Southern",100,79,98,98,101
"Georgia State",121,83,131.5,92,112
"Georgia Tech",52,46,61,51,50
"Hawaii",94,110,106.5,75,108
"Houston",30,43,26.5,100,28.5
"Idaho",91,91,61,93,91
"Illinois",88,72,115.5,33,82
"Indiana",53,56,78.5,43,57.5
"Iowa",60,14,61,36,30
"Iowa State",85,75,131.5,32,88
"Kansas",119,105,137.5,34,117
"Kansas State",55,36,69,50,45
"Kent State",107,59,115.5,84,96
"Kentucky",61,82,78.5,23,72
"Louisiana-Lafayette",110,96,89.5,122,111
"Louisiana-Monroe",95,126,98,106,114
"Louisiana Tech",22,88,34,126,55
"Louisville",1,35,15,63,10
"LSU",50,2,53.5,13,16
"Marshall",112,104,115.5,104,116
"Maryland",69,52,78.5,35,64
"Massachusetts",93,112,131.5,90,113
"Memphis",27,48,61,94,36
"Miami (FL)",46,17,61,49,26
"Miami (OH)",105,74,87.5,110,99
"Michigan",2,5,15,27,3
"Michigan State",48,44,115.5,37,57.5
"Middle Tennessee",66,114,61,113,92
"Minnesota",63,32,43.5,97,49
"Mississippi State",44,68,98,15,62
"Missouri",54,97,115.5,41,78.5
"Navy",42,64,32.5,53,42
"Nebraska",64,18,26.5,29,24
"Nevada",127,90,115.5,121,119
"New Mexico",67,108,43.5,127,84
"New Mexico State",106,127,125,67,122
"North Carolina",31,38,43.5,57,25
"North Carolina State",80,26,78.5,52,54
"North Texas",113,99,98,68,109
"Northern Illinois",82,80,115.5,60,89
"Northwestern",33,16,78.5,5,18
"Notre Dame",32,49,98,30,44
"Ohio",99,67,43.5,125,78.5
"Ohio State",3,4,15,22,2
"Oklahoma",9,53,26.5,24,15
"Oklahoma State",21,66,26.5,78,31
"Old Dominion",74,92,43.5,115,77
"Ole Miss",7,63,78.5,1,27
"Oregon",12,106,115.5,17,68
"Oregon State",58,57,131.5,8,69
"Penn State",14,24,26.5,9,7.5
"Pittsburgh",10,93,61,19,46.5
"Purdue",72,119,115.5,81,106
"Rice",128,118,131.5,101,126
"Rutgers",103,89,131.5,18,104
"San Diego State",56,34,15,128,37
"San Jose State",120,101,115.5,77,115
"SMU",79,84,78.5,44,76
"South Alabama",111,62,89.5,96,94
"South Carolina",109,23,78.5,31,67
"South Florida",11,87,26.5,86,38.5
"Southern Miss",75,115,78.5,105,103
"Stanford",68,6,43.5,6,22
"Syracuse",73,94,98,46,83
"TCU",41,42,69,69,41
"Temple",49,40,43.5,95,40
"Tennessee",17,69,43.5,14,28.5
"Texas",39,55,78.5,20,46.5
"Texas A&M",23,21,43.5,42,13
"Texas State",123,128,125,109,128
"Texas Tech",8,117,98,47,71
"Toledo",38,76,26.5,120,53
"Troy",45,54,19.5,108,43
"Tulane",108,65,115.5,73,98
"Tulsa",15,86,43.5,64,48
"UCF",47,41,61,99,52
"UCLA",51,22,106.5,7,34.5
"UNLV",71,122,98,117,107
"USC",28,9,43.5,10,12
"Utah",36,27,26.5,71,20
"Utah State",98,77,115.5,55,97
"UTEP",126,123,125,89,125
"UTSA",86,100,78.5,119,102
"Vanderbilt",97,29,98,40,70
"Virginia",76,58,131.5,28,75
"Virginia Tech",37,19,43.5,61,19
"Wake Forest",101,20,61,58,63
"Washington",4,12,15,102,5
"Washington State",6,15,26.5,83,9
"West Virginia",62,13,19.5,56,23
"Western Kentucky",19,73,43.5,76,38.5
"Western Michigan",18,39,6,112,17
"Wisconsin",35,3,26.5,3,6
"Wyoming",25,107,43.5,80,65
