Team,WinScore,LossScore,WinRank,LossRank,Score,Rank
Kent State,28.47085818,78.45554588,87,105,-88.09348433,105
Rutgers,23.26126615,73.49774389,98,101,-88.86252998,106
UTSA,31.04581864,81.0033146,81,109,-89.95907025,107
Army,43.63484925,116.7308513,67,122,-91.80181538,108
Iowa State,11.53381967,69.39562731,128,98,-97.25956667,109
Virginia,28.73808737,92.19585983,86,115,-98.92762109,110
Ball State,16.90548577,80.16891476,118,107,-101.8791299,111
Massachusetts,12.94226412,78.32961519,127,104,-102.5119418,112
Texas State,27.29257334,102.6645535,90,117,-102.5934083,113
San Jose State,19.45854265,81.45958651,108,111,-103.7666194,114
Akron,28.38544212,111.5249148,88,120,-104.8309493,115
Marshall,23.27090803,93.24986858,97,116,-105.504937,116
Florida International,15.18186783,81.42974785,121,110,-106.9331577,117
Bowling Green,17.67763046,88.8805566,112,113,-107.7678048,118
Charlotte,23.01935667,102.6796738,99,118,-107.9767616,119
New Mexico State,25.07936388,112.2368042,93,121,-109.2471642,120
Georgia State,13.35654844,90.55133463,126,114,-113.1990234,121
Nevada,17.19806309,104.3946389,116,119,-114.9081918,122
Florida Atlantic,17.33924858,119.9839852,115,123,-119.2075526,123
UTEP,16.05787514,129.7902071,119,125,-122.7091993,124
Buffalo,18.86985423,157.4539867,110,128,-123.22763,125
Kansas,13.69925033,124.0065043,125,124,-123.9576875,126
Rice,14.29142444,132.3865614,122,126,-125.5857866,127
Fresno State,13.69925033,148.3649903,124,127,-127.2880973,128
