"Team","Previous.Score","Score","Rank"
"Air Force",1689.800326084,1689.800326084,50
"Akron",1551.30840575313,1551.30840575313,81
"Alabama",2265.06311648783,2265.06311648783,1
"Appalachian State",1771.90975631649,1771.90975631649,28
"Arizona",1507.92201740195,1507.92201740195,94
"Arizona State",1600.46807237227,1600.46807237227,71
"Arkansas",1679.72194839158,1679.72194839158,51
"Arkansas State",1587.44167388218,1587.44167388218,73
"Army",1503.39487967579,1503.39487967579,95
"Auburn",1824.08930736433,1824.08930736433,20
"Ball State",1480.56559059508,1480.56559059508,100
"Baylor",1666.56520850825,1666.56520850825,53
"Boise State",1840.80981136783,1840.80981136783,15
"Boston College",1551.60596328816,1551.60596328816,80
"Bowling Green",1394.69231242518,1394.69231242518,115
"Buffalo",1305.89762314259,1305.89762314259,124
"BYU",1749.67635274574,1749.67635274574,35
"California",1604.52926181164,1604.52926181164,69
"Central Michigan",1514.31792011303,1514.31792011303,91
"Charlotte",1449.78045979922,1449.78045979922,108
"Cincinnati",1490.16420028051,1490.16420028051,98
"Clemson",1944.96443164384,1944.96443164384,5
"Colorado",1855.11064531146,1855.11064531146,13
"Colorado State",1628.45733384651,1628.45733384651,63
"Connecticut",1436.01856364582,1436.01856364582,109
"Duke",1538.64137696538,1538.64137696538,85
"East Carolina",1421.95856749147,1421.95856749147,110
"Eastern Michigan",1559.86002423502,1559.86002423502,78
"Florida",1755.28672308867,1755.28672308867,33
"Florida Atlantic",1410.93944268769,1410.93944268769,112
"Florida International",1384.01864657902,1384.01864657902,117
"Florida State",1828.63192657269,1828.63192657269,18
"Fresno State",1170.46531046346,1170.46531046346,128
"Georgia",1644.79112421099,1644.79112421099,61
"Georgia Southern",1496.72151729129,1496.72151729129,96
"Georgia State",1365.52582697756,1365.52582697756,118
"Georgia Tech",1646.04444933567,1646.04444933567,60
"Hawaii",1462.27825309774,1462.27825309774,106
"Houston",1778.60281739984,1778.60281739984,25
"Idaho",1555.71089213637,1555.71089213637,79
"Illinois",1456.65532447522,1456.65532447522,107
"Indiana",1612.2718699376,1612.2718699376,66
"Iowa",1727.03121657147,1727.03121657147,41
"Iowa State",1476.71021395034,1476.71021395034,102
"Kansas",1250.85764739687,1250.85764739687,126
"Kansas State",1646.20402637158,1646.20402637158,59
"Kent State",1525.4431018272,1525.4431018272,87
"Kentucky",1601.63770795729,1601.63770795729,70
"Louisiana-Lafayette",1479.50599197398,1479.50599197398,101
"Louisiana-Monroe",1471.75436787241,1471.75436787241,103
"Louisiana Tech",1710.63676588358,1710.63676588358,45
"Louisville",1994.92421674108,1994.92421674108,4
"LSU",1863.23013706408,1863.23013706408,11
"Marshall",1414.28092923784,1414.28092923784,111
"Maryland",1620.11816035511,1620.11816035511,65
"Massachusetts",1350.35783024687,1350.35783024687,120
"Memphis",1634.44138924703,1634.44138924703,62
"Miami (FL)",1780.45599098608,1780.45599098608,24
"Miami (OH)",1568.08486854365,1568.08486854365,76
"Michigan",2110.93366019433,2110.93366019433,2
"Michigan State",1518.52815262229,1518.52815262229,89
"Middle Tennessee",1539.42944889631,1539.42944889631,84
"Minnesota",1731.32865895521,1731.32865895521,40
"Mississippi State",1647.53738845691,1647.53738845691,57
"Missouri",1511.95760195683,1511.95760195683,93
"Navy",1694.7391583881,1694.7391583881,48
"Nebraska",1826.19727882024,1826.19727882024,19
"Nevada",1349.04018975739,1349.04018975739,121
"New Mexico",1606.14889774517,1606.14889774517,68
"New Mexico State",1321.183895651,1321.183895651,123
"North Carolina",1717.0388232108,1717.0388232108,43
"North Carolina State",1743.54108176173,1743.54108176173,39
"North Texas",1466.61777466767,1466.61777466767,105
"Northern Illinois",1560.03090539182,1560.03090539182,77
"Northwestern",1753.85289079509,1753.85289079509,34
"Notre Dame",1651.17320926047,1651.17320926047,56
"Ohio",1661.21485108333,1661.21485108333,54
"Ohio State",2036.08286400519,2036.08286400519,3
"Oklahoma",1798.73583840763,1798.73583840763,22
"Oklahoma State",1762.03734699153,1762.03734699153,31
"Old Dominion",1666.72300353909,1666.72300353909,52
"Ole Miss",1714.24895120341,1714.24895120341,44
"Oregon",1625.37878730755,1625.37878730755,64
"Oregon State",1513.8719645375,1513.8719645375,92
"Penn State",1896.70702632799,1896.70702632799,9
"Pittsburgh",1697.79647633681,1697.79647633681,47
"Purdue",1396.24380957012,1396.24380957012,114
"Rice",1276.03197221164,1276.03197221164,125
"Rutgers",1392.70592594373,1392.70592594373,116
"San Diego State",1773.19808245793,1773.19808245793,27
"San Jose State",1352.14060280212,1352.14060280212,119
"SMU",1571.26388994603,1571.26388994603,74
"South Alabama",1482.4943437027,1482.4943437027,99
"South Carolina",1525.53239454964,1525.53239454964,86
"South Florida",1749.33197312394,1749.33197312394,36
"Southern Miss",1523.85198644942,1523.85198644942,88
"Stanford",1794.81898992418,1794.81898992418,23
"Syracuse",1515.86585936769,1515.86585936769,90
"TCU",1694.66502613433,1694.66502613433,49
"Temple",1746.32318983366,1746.32318983366,38
"Tennessee",1832.06905161166,1832.06905161166,16
"Texas",1646.21860798531,1646.21860798531,58
"Texas A&M",1860.21024119559,1860.21024119559,12
"Texas State",1192.07627466372,1192.07627466372,127
"Texas Tech",1594.51119000504,1594.51119000504,72
"Toledo",1799.69887663283,1799.69887663283,21
"Troy",1829.12547770664,1829.12547770664,17
"Tulane",1468.36787774842,1468.36787774842,104
"Tulsa",1755.7498454047,1755.7498454047,32
"UCF",1705.53555501624,1705.53555501624,46
"UCLA",1658.23685752021,1658.23685752021,55
"UNLV",1399.14811179342,1399.14811179342,113
"USC",1853.74944784592,1853.74944784592,14
"Utah",1770.67525324906,1770.67525324906,29
"Utah State",1546.26876012919,1546.26876012919,82
"UTEP",1333.87206846974,1333.87206846974,122
"UTSA",1570.88279854871,1570.88279854871,75
"Vanderbilt",1539.96439505451,1539.96439505451,83
"Virginia",1494.97352334223,1494.97352334223,97
"Virginia Tech",1722.16921116652,1722.16921116652,42
"Wake Forest",1610.11425698619,1610.11425698619,67
"Washington",1897.36624009882,1897.36624009882,8
"Washington State",1893.23034166091,1893.23034166091,10
"West Virginia",1777.84874784808,1777.84874784808,26
"Western Kentucky",1763.27369458746,1763.27369458746,30
"Western Michigan",1940.06048472668,1940.06048472668,6
"Wisconsin",1910.61493268852,1910.61493268852,7
"Wyoming",1748.12057187193,1748.12057187193,37
