"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Wins.Over","Rank"
"Air Force",6.15120266957557,10,0.615120266957557,172,344,262,6.53610954367709,3.46389045632291,0.384906874101515,62
"Akron",5.94129725343228,11,0.540117932130207,130,326,394,4.77417069844345,6.22582930155655,-1.16712655498883,101
"Alabama",3.30420966430213,10,0.330420966430213,19,412,122,9.12433188781259,0.875668112187405,5.82012222351046,1
"Appalachian State",5.23676628222672,10,0.523676628222672,119,270,180,6.98436871392705,3.01563128607295,1.74760243170033,26
"Arizona",3.50183836897679,10,0.350183836897679,23,224,383,2.9946640018865,7.0053359981135,-0.507174367090295,80
"Arizona State",4.21905139780473,10,0.421905139780473,54,347,378,4.47460139027736,5.52539860972264,0.255549992472636,65
"Arkansas",3.84297144194208,10,0.384297144194208,41,288,299,5.02533200262834,4.97466799737166,1.18236056068626,39
"Arkansas State",4.96465671460697,9,0.551628523845219,143,234,225,4.74983554301869,4.25016445698131,-0.214821171588281,76
"Army",6.38354572685323,10,0.638354572685323,188,270,207,5.2865896240609,4.7134103759391,-1.09695610279233,100
"Auburn",3.86024115956638,10,0.386024115956638,42,320,157,6.60319412514461,3.39680587485539,2.74295296557822,12
"Ball State",6.29457565028655,10,0.629457565028655,183,285,303,4.80321237244842,5.19678762755158,-1.49136327783813,103
"Baylor",5.26997427001882,9,0.585552696668758,160,342,245,5.87333044195038,3.12666955804962,0.603356171931551,52
"Boise State",5.06200176368935,10,0.506200176368935,107,365,220,7.26039528443558,2.73960471556442,2.19839352074624,16
"Boston College",4.76340360581683,10,0.476340360581683,88,182,281,4.38006626498298,5.61993373501702,-0.383337340833852,77
"Bowling Green",4.73801025234035,10,0.473801025234035,85,229,434,2.96425005331073,7.03574994668927,-1.77376019902962,112
"Buffalo",6.0240429803539,10,0.60240429803539,165,179,323,2.60934618782759,7.39065381217241,-3.41469679252631,128
"BYU",4.70094649970913,10,0.470094649970913,82,281,214,6.37565228750721,3.62434771249279,1.67470578779808,27
"California",3.74590970615095,10,0.374590970615095,34,378,456,4.14852564410301,5.85147435589699,0.402615937952064,60
"Central Michigan",5.42103231832532,10,0.542103231832532,133,284,293,4.69920359909149,5.30079640090851,-0.721828719233824,89
"Charlotte",6.09432626178769,10,0.609432626178769,171,257,344,4.14240003031964,5.85759996968036,-1.95192623146804,115
"Cincinnati",5.21795959106646,10,0.521795959106646,117,188,249,3.68876745395515,6.31123254604485,-1.52919213711131,104
"Clemson",4.00061185461341,10,0.400061185461341,45,389,184,7.60074332875656,2.39925667124344,3.60013147414315,4
"Colorado",4.98532357227277,11,0.453211233842979,72,372,189,8.39587826896441,2.6041217310356,3.41055469669163,5
"Colorado State",5.16729441411084,10,0.516729441411084,114,297,272,5.43192921136689,4.56807078863311,0.264634797256059,64
"Connecticut",5.04699779409894,10,0.504699779409894,106,165,269,3.46803230921143,6.53196769078857,-1.57896548488751,105
"Duke",4.6749935277657,10,0.46749935277657,81,245,242,4.64517843905015,5.35482156094985,-0.0298150887155506,72
"East Carolina",5.09111391590639,10,0.509111391590639,111,283,330,4.02569006799176,5.97430993200824,-1.06542384791463,99
"Eastern Michigan",5.37025769139834,10,0.537025769139834,127,315,312,4.96036730083244,5.03963269916756,-0.409890390565891,78
"Florida",4.83517555778392,9,0.537241728642658,128,236,120,6.92456476499196,2.07543523500804,2.08938920720804,19
"Florida Atlantic",6.44127443343411,10,0.644127443343411,189,237,358,3.65156579936471,6.34843420063529,-2.7897086340694,124
"Florida International",5.60123144235378,10,0.560123144235378,151,229,362,2.98321031141372,7.01678968858628,-2.61802113094006,122
"Florida State",3.77698100967072,10,0.377698100967072,37,347,266,6.41898870006867,3.58101129993133,2.64200769039795,13
"Fresno State",4.99172437626773,10,0.499172437626773,102,185,341,2.48870283054681,7.51129716945319,-2.50302154572092,121
"Georgia",4.31421141424751,10,0.431421141424751,57,226,240,5.04920768000559,4.95079231999441,0.734996265758081,49
"Georgia Southern",5.52053383587707,10,0.552053383587707,144,267,264,4.80708374651134,5.19291625348866,-0.713450089365727,87
"Georgia State",5.37580723423889,10,0.537580723423889,129,197,258,3.54086909676884,6.45913090323116,-1.83493813747006,113
"Georgia Tech",4.7875283276156,10,0.47875283276156,89,275,256,5.36193840826017,4.63806159173983,0.574410080644567,54
"Hawaii",5.82472901592958,11,0.529520819629961,124,284,434,4.22932127566173,6.77067872433827,-1.59540774026784,107
"Houston",5.73201617433502,10,0.573201617433502,155,376,213,7.09770834932508,2.90229165067492,1.36569217499006,33
"Idaho",5.24574341746121,10,0.524574341746121,122,264,314,4.6350727617077,5.3649272382923,-0.610670655753513,85
"Illinois",4.32922146456567,10,0.432922146456567,59,215,313,3.48592990177205,6.51407009822795,-0.843291562793613,91
"Indiana",4.51493747335489,10,0.451493747335489,71,275,284,4.84063296578444,5.15936703421556,0.325695492429551,63
"Iowa",4.00844925755532,10,0.400844925755532,46,253,205,5.84799311011344,4.15200688988656,1.83954385255812,24
"Iowa State",4.65123971524917,10,0.465123971524917,80,247,317,3.71543105518396,6.28456894481604,-0.935808660065214,97
"Kansas",4.60072823038162,10,0.460072823038162,77,200,393,2.38550238277374,7.61449761722626,-2.21522584760788,117
"Kansas State",4.38177202864824,9,0.486863558738693,94,280,216,4.92925743842803,4.07074256157197,0.547485409779796,56
"Kent State",4.90490241546325,10,0.490490241546325,96,219,271,4.24012942431994,5.75987057568006,-0.664772991143312,86
"Kentucky",4.6434222258585,10,0.46434222258585,78,282,323,4.68168427963921,5.31831572036079,0.0382620537807101,69
"Louisiana-Lafayette",5.61308414639556,9,0.623676016266173,179,211,244,4.02269281135569,4.97730718864431,-1.59039133503987,106
"Louisiana-Monroe",6.03242393045721,10,0.603242393045721,167,260,397,3.77837987020536,6.22162012979464,-2.25404406025185,120
"Louisiana Tech",7.23907074857307,11,0.65809734077937,192,504,328,7.8375640708648,3.1624359291352,0.598493322291729,53
"Louisville",4.99218399827279,10,0.499218399827279,103,496,203,8.3869627774084,1.6130372225916,3.39477877913561,6
"LSU",3.73929405461401,9,0.415477117179334,52,247,125,5.94776930761796,3.05223069238204,2.20847525300395,15
"Marshall",5.75600243797562,10,0.575600243797562,156,297,332,4.08512627034814,5.91487372965186,-1.67087616762748,110
"Maryland",4.58509473138784,10,0.458509473138784,74,267,307,4.83765403310548,5.16234596689452,0.252559301717639,66
"Massachusetts",5.31301251761923,10,0.531301251761923,125,231,329,3.38732246371397,6.61267753628603,-1.92569005390526,114
"Memphis",5.4388261272974,10,0.54388261272974,134,392,273,6.31147216884611,3.68852783115389,0.872646041548712,48
"Miami (FL)",4.74511588609712,10,0.474511588609712,87,348,193,6.69144238061372,3.30855761938628,1.9463264945166,22
"Miami (OH)",6.03384133444907,11,0.54853103040446,140,260,272,5.1640531456545,5.8359468543455,-0.869788188794565,93
"Michigan",4.39876330439626,10,0.439876330439626,65,445,110,8.64598554222142,1.35401445777858,4.24722223782516,3
"Michigan State",4.58871701664973,10,0.458871701664973,75,261,271,4.37659022836303,5.62340977163697,-0.2121267882867,75
