TEAM,Points.For,Points.Against,Conf.Points.For,Conf.Points.Against,CONF.W,CONF.L,OVERALL.W,OVERALL.L,ConferenceOffset,Adjusted.SoS,First.Pass.SoS,SoS.Score,SoS.Ranking,Value,Rank
UNLV,379,441,244,309,0.363609904,0.636390096,0.411183368,0.588816632,0.982557525,0.444258464,0.434059889,0.288925677,116,0.411503812,98
Nevada,305,348,213,244,0.420182012,0.579817988,0.42248488,0.57751512,0.982557525,0.420473232,0.399665906,0.174672146,123,0.407642046,99
Georgia State,227,282,144,174,0.389716622,0.610283378,0.374212224,0.625787776,0.975,0.471055316,0.495945263,0.417645671,90,0.404420156,100
Boston College,229,295,96,275,0.076262804,0.923737196,0.354295548,0.645704452,1.009472823,0.480289636,0.47519662,0.46200318,76,0.398333843,101
East Carolina,324,433,176,256,0.291517881,0.708482119,0.334637025,0.665362975,0.995521759,0.490062036,0.506692905,0.508945384,68,0.390233564,102
North Texas,291,386,194,282,0.291833475,0.708166525,0.338595724,0.661404276,0.982247931,0.479411804,0.500150984,0.457786473,78,0.385480723,103
Cincinnati,232,323,136,256,0.182563008,0.817436992,0.31340067,0.68659933,0.995521759,0.498454399,0.53006386,0.549258512,62,0.383894827,104
Arizona,297,460,203,393,0.172840175,0.827159825,0.261756002,0.738243998,1.021608162,0.553969053,0.587473306,0.815925877,24,0.378330554,105
Virginia,270,405,165,276,0.22806683,0.77193317,0.276687568,0.723312432,1.009472823,0.539575768,0.565022145,0.746787028,28,0.376330554,106
Marshall,317,423,162,256,0.252661566,0.747338434,0.335441606,0.664558394,0.982247931,0.463624694,0.464327964,0.381952314,99,0.371686277,107
Syracuse,308,463,191,337,0.206572862,0.793427138,0.275663203,0.724336797,1.009472823,0.532024209,0.552659563,0.710512744,41,0.371481278,108
Charlotte,302,415,202,246,0.385316767,0.614683233,0.320100918,0.679899082,0.982247931,0.457329826,0.468755375,0.351714606,107,0.363090309,109
Kent State,247,344,171,217,0.36248052,0.63751948,0.313228135,0.686771865,0.984925006,0.467082053,0.474700591,0.398559907,95,0.361518976,110
San Jose State,293,416,190,258,0.326278136,0.673721864,0.303493912,0.696506088,0.982557525,0.476591933,0.486672513,0.44424108,82,0.358194731,111
Illinois,236,383,151,298,0.166427854,0.833572146,0.240934758,0.759065242,1.020037706,0.547045901,0.565518133,0.782670179,26,0.356124965,112
Purdue,295,459,206,383,0.186976602,0.813023398,0.259663663,0.740336337,1.020037706,0.509954614,0.519024099,0.604500358,55,0.353052535,113
Hawaii,344,487,195,250,0.356897976,0.643102024,0.304943792,0.695056208,0.982557525,0.458576256,0.46789699,0.357701894,106,0.352995115,114
Florida International,288,418,234,269,0.418154267,0.581845733,0.292582434,0.707417566,0.982247931,0.469723495,0.473431783,0.411248203,93,0.346601457,115
Rice,303,448,197,294,0.279107863,0.720892137,0.283571692,0.716428308,0.982247931,0.463199827,0.484291555,0.379911442,101,0.344256598,116
Bowling Green,298,460,237,239,0.495021144,0.504978856,0.263298345,0.736701655,0.984925006,0.495021998,0.520417018,0.532770804,66,0.343743328,117
Massachusetts,280,426,9,51,0.016126959,0.983873041,0.270010384,0.729989616,0.984925006,0.476295795,0.486289941,0.442818569,83,0.33694636,118
Florida Atlantic,317,477,235,315,0.333059544,0.666940456,0.275196164,0.724803836,0.982247931,0.456982745,0.475158862,0.350047385,109,0.335781845,119
UTEP,274,409,215,280,0.348409171,0.651590829,0.279007251,0.720992749,0.982247931,0.459552363,0.461463009,0.362390669,104,0.333793226,120
New Mexico State,270,431,164,248,0.272863471,0.727136529,0.248166289,0.751833711,0.975,0.492957054,0.508624196,0.522851744,67,0.326610951,121
Kansas,243,448,160,362,0.126194346,0.873805654,0.19003168,0.80996832,1.019920319,0.539500498,0.575072262,0.746425462,29,0.324720743,122
Louisiana-Monroe,277,439,198,242,0.383294129,0.616705871,0.251365633,0.748634367,0.975,0.474204645,0.495884411,0.432773626,86,0.324550095,123
Fresno State,212,371,113,225,0.163522528,0.836477472,0.209773801,0.790226199,0.982557525,0.464357368,0.48277039,0.385471746,96,0.295526445,124
Rutgers,188,450,86,360,0.032506663,0.967493337,0.112191452,0.887808548,1.020037706,0.567246426,0.599949858,0.87970439,9,0.2802835,125
Connecticut,178,337,93,217,0.118355518,0.881644482,0.180528711,0.819471289,0.995521759,0.473800755,0.467921228,0.430833521,87,0.275088762,126
Buffalo,198,388,142,273,0.175210799,0.824789201,0.16876718,0.83123282,0.984925006,0.459840351,0.488118486,0.363774035,103,0.271068712,127
Texas State,209,457,99,280,0.078419514,0.921580486,0.135384332,0.864615668,0.975,0.455512071,0.466145147,0.342982929,110,0.239496988,128
