TEAM,WIN.PERC,WIN.MULT,SoS.MULT,SIM.WINS,SIM.LOSSES,SIM.PERC,RANK.SCORE,RANK,SIMURANK,ALT.RANK.SCORE,ALT.RANK
Alabama,0.949631177,0.974815588,0.981651211,29945,1805,0.943149606,0.902527118,1,2,0.935854265,1
Ohio State,0.931692743,0.965846371,0.972999504,30095,1655,0.947874016,0.890781706,2,1,0.920315723,2
Michigan,0.943491107,0.971745553,0.96106848,29553,2197,0.93080315,0.869290113,3,3,0.914774092,3
Wisconsin,0.85091784,0.92545892,0.977542699,25858,5892,0.814425197,0.736790612,4,8,0.82601408,4
Auburn,0.848609829,0.924304915,0.965338526,26060,5690,0.820787402,0.732361631,5,7,0.819726309,5
Clemson,0.883698366,0.941849183,0.904651174,27206,4544,0.85688189,0.730101903,6,5,0.818586473,6
Washington,0.898480338,0.949240169,0.864488956,27548,4202,0.867653543,0.712003129,7,4,0.807035401,7
LSU,0.785161267,0.892580634,0.992946621,24838,6912,0.782299213,0.693339998,9,13,0.780515222,8
Colorado,0.813091431,0.906545716,0.929070741,25750,6000,0.811023622,0.683080671,10,9,0.77395418,9
Penn State,0.75506583,0.877532915,0.95457006,26584,5166,0.837291339,0.701371028,8,6,0.759605936,10
Louisville,0.82836139,0.914180695,0.888059867,25602,6148,0.806362205,0.654642887,12,10,0.759210405,11
Miami (FL),0.80688395,0.903441975,0.914597191,24452,7298,0.770141732,0.636356941,14,16,0.748696441,12
Western Michigan,0.881797952,0.940898976,0.806193136,24296,7454,0.765228346,0.580461128,22,17,0.729009087,13
Western Kentucky,0.800447116,0.900223558,0.868704644,25082,6668,0.789984252,0.617790109,16,12,0.726896169,14
USC,0.71850804,0.85925402,0.975185885,24654,7096,0.776503937,0.650657801,13,14,0.725953912,15
Oklahoma,0.717596135,0.858798068,0.957025461,25364,6386,0.798866142,0.656581384,11,11,0.724127228,16
Florida,0.765133191,0.882566596,0.92828386,22786,8964,0.717669291,0.58796659,19,25,0.712730292,17
Texas A&M,0.718847243,0.859423622,0.926368374,24639,7111,0.776031496,0.617831937,15,15,0.702622067,18
Virginia Tech,0.768750735,0.884375368,0.874745536,23917,7833,0.753291339,0.582748745,21,20,0.699404629,19
Washington State,0.718411236,0.859205618,0.913039545,24284,7466,0.764850394,0.600016496,17,18,0.692242043,20
Boise State,0.74437382,0.87218691,0.883524442,24087,7663,0.758645669,0.584611179,20,19,0.691330199,21
Florida State,0.704800416,0.852400208,0.934726211,23501,8249,0.740188976,0.589753574,18,22,0.685926607,22
Houston,0.774393245,0.887196623,0.867412551,22538,9212,0.709858268,0.546282423,27,26,0.684431703,23
Iowa,0.721095738,0.860547869,0.921510346,22059,9691,0.694771654,0.550956537,24,27,0.674588673,24
West Virginia,0.693576224,0.846788112,0.910249297,23370,8380,0.736062992,0.567348731,23,23,0.666239178,25
Appalachian State,0.78118341,0.890591705,0.845354219,21422,10328,0.674708661,0.507964844,31,30,0.665154015,26
Oklahoma State,0.718503982,0.859251991,0.874840173,23256,8494,0.732472441,0.550605511,25,24,0.663208245,27
Memphis,0.711298568,0.855649284,0.860294989,23611,8139,0.743653543,0.547411398,26,21,0.655835577,28
Temple,0.808542226,0.904271113,0.830788031,19397,12353,0.610929134,0.458965165,39,44,0.651461181,29
BYU,0.737130148,0.868565074,0.862954038,20179,11571,0.635559055,0.476371683,34,35,0.635925977,30
Stanford,0.654711593,0.827355797,0.959225059,20565,11185,0.647716535,0.514041064,29,32,0.634582689,31
Troy,0.76243087,0.881215435,0.81918723,19750,12000,0.622047244,0.449043733,42,40,0.623731503,32
