"Team","Score","Rank"
"Hawaii",-121.494321589749,94
"Appalachian State",1.79585159991483,28
"Indiana",-55.4470635182559,61
"Oregon State",-104.131087410431,85
"Rice",-290.211357181086,119
"South Carolina",-73.7467793889979,71
"Tulane",-108.891759636461,89
"Charlotte",-147.116270869359,101
"Ball State",-120.611276542692,93
"Colorado State",-31.9070932964341,49
"Kansas State",-29.2170318495846,47
"Toledo",1.93199990926571,26
"Army",-104.703170838569,86
"Boise State",150.653067057398,7
"Bowling Green",-144.56951561922,100
"BYU",-23.5794478573316,40
"Fresno State",-901.604188371551,126
"UCLA",-114.269442276245,91
"Clemson",258.552156535786,1
"Georgia Tech",-15.8104458366674,37
"Georgia",-43.4366772805482,56
"Kent State",-204.880648966991,111
"LSU",1.92250766745206,27
"Louisiana Tech",-37.259044346401,52
"Massachusetts",-669.967524404466,125
"Miami (OH)",-79.2560238952903,74
"Missouri",-123.182877560905,95
"New Mexico State",-276.263512386373,118
"Northern Illinois",-67.7785083040319,67
"Oklahoma",111.469986546783,12
"Rutgers",-664.68023375636,123
"San Jose State",-159.553483599104,104
"South Alabama",-106.722493731392,87
"USC",1.70221538428537,29
"SMU",-82.5045398099037,79
"Southern Miss",-97.378254835944,82
"Texas State",-1131.17626746373,128
"Western Michigan",56.0247321879676,16
"Notre Dame",-93.7728714719783,80
"Ole Miss",-80.1496700457536,75
"Louisville",38.7998340050958,17
"Maryland",-64.4061403397008,64
"Akron",-94.0049379502752,81
"Arkansas State",-66.9170045649227,66
"Arkansas",-37.7197021314966,54
"Boston College",-77.5679316614665,73
"California",-82.4502965489968,78
"UCF",-47.6563990109082,59
"Central Michigan",-77.3840984779367,72
"Cincinnati",-161.190268600041,105
"Connecticut",-263.906210115488,117
"Eastern Michigan",-71.2207359417811,68
"Florida Atlantic",-242.04202054484,116
"Georgia Southern",-123.453469240959,96
"Georgia State",-207.57472033646,112
"Idaho",-40.6835693149494,55
"Iowa State",-158.628291626462,103
"Kentucky",-46.9690174994476,58
"Middle Tennessee",-80.9497594828617,76
"North Carolina",-24.2159893243632,42
"UNLV",-214.708011341534,114
"Nevada",-167.693302842495,107
"New Mexico",-29.156393270172,46
"North Carolina State",-49.1578730388865,60
"Louisiana-Monroe",-124.807173890129,97
"Ohio",-36.9420457930529,50
"Old Dominion",-17.0775827333917,38
"Penn State",149.915326740699,8
"Texas Tech",-113.259782560357,90
"UTEP",-366.102597560025,121
"UTSA",-82.326442275008,77
"Troy",78.6579253564015,15
"Tulsa",2.17054583610259,25
"Utah State",-164.996702744037,106
"Virginia Tech",16.2384732169347,20
"Virginia",-648.177957051892,122
"Wake Forest",-65.022159030267,65
"Washington State",-2.61106457562901,33
"Western Kentucky",3.0116789010205,24
"Wyoming",-37.0222675273161,51
"Houston",12.7135820448327,21
"Alabama",184.609438903243,4
"Arizona State",-116.684875621863,92
"Baylor",-73.1475997702629,70
"Colorado",184.364195520398,5
"East Carolina",-226.253945197607,115
"Florida International",-132.00580006032,99
"Florida State",18.5289624896961,18
"Kansas",-666.481367148018,124
"Miami (FL)",-0.481636656416903,32
"Michigan State",-150.159629011223,102
"Mississippi State",-63.9544973754931,63
"North Texas",-181.932638365616,108
"Ohio State",221.707893568363,3
"Oregon",-101.07347623369,83
"Pittsburgh",-26.4271484784408,43
"San Diego State",-31.2170188005561,48
"South Florida",100.217332533635,13
"Temple",-14.1858932820844,36
"Texas A&M",-4.65376376631166,34
"Navy",120.43910882336,10
"Vanderbilt",-58.4316669931224,62
"Buffalo",-1023.33364410363,127
"Duke",-101.51691888766,84
"Texas",-71.3459157749993,69
"Utah",-28.1147443283293,45
"Florida",17.6100521004044,19
"Iowa",-9.22242855352522,35
"Nebraska",9.35585829255171,23
"Oklahoma State",96.7613211497099,14
"Syracuse",-124.867663368768,98
"TCU",-44.8968568369133,57
"Wisconsin",173.533802693978,6
"Louisiana-Lafayette",-108.334419124481,88
"Stanford",11.5744622420154,22
"Air Force",-23.9179666612109,41
"Washington",245.20703365488,2
"Illinois",-182.330681078559,109
"Marshall",-291.48337045216,120
"Memphis",-27.6107183214526,44
"Minnesota",-20.1956849018658,39
"Northwestern",-37.3624663673201,53
"Purdue",-213.047352433729,113
"Tennessee",1.06538430712496,31
"Arizona",-204.540963790496,110
"Auburn",1.20926080434905,30
"Michigan",123.78607431384,9
"West Virginia",118.770724561029,11
