TEAM,CONF W,CONF L,OVERALL W,OVERALL L,
Florida State,5,3,8,5,
Boston College,5,3,9,3,
Clemson,4,4,8,4,
North Carolina State,3,5,7,5,
Maryland,3,5,5,6,
Wake Forest,3,5,4,7,
Virginia Tech,7,1,11,2,
Miami (FL),6,2,9,3,
Georgia Tech,5,3,7,5,
North Carolina,4,4,5,6,
Virginia,3,5,7,5,
Duke,0,8,1,10,
Colorado,5,3,7,6,
Nebraska,4,4,8,4,
Iowa State,4,4,7,5,
Missouri,4,4,7,5,
Kansas,3,5,7,5,
Kansas State,2,6,5,6,
Texas,8,0,13,0,
Texas Tech,6,2,9,3,
Oklahoma,6,2,8,4,
Texas A&M,3,5,5,6,
Baylor,2,6,5,6,
Oklahoma State,1,7,4,7,
West Virginia,7,0,11,1,
Louisville,5,2,9,3,
Rutgers,4,3,7,5,
South Florida,4,3,6,6,
Pittsburgh,4,3,5,6,
Connecticut,2,5,5,6,
Cincinnati,2,5,4,7,
Syracuse,0,7,1,10,
Penn State,7,1,11,1,
Ohio State,7,1,10,2,
Wisconsin,5,3,10,3,
Northwestern,5,3,7,5,
Michigan,5,3,7,5,
Iowa,5,3,7,5,
Minnesota,4,4,7,5,
Purdue,3,5,5,6,
Michigan State,2,6,5,6,
Indiana,1,7,4,7,
Illinois,0,8,2,9,
UCF,7,1,8,5,
Southern Miss,5,3,7,5,
Memphis,5,3,7,5,
East Carolina,4,4,5,6,
UAB,3,5,5,6,
Marshall,3,5,4,7,
Tulsa,6,2,9,4,
UTEP,5,3,8,4,
Houston,4,4,6,6,
SMU,4,4,5,6,
Tulane,1,7,2,9,
Rice,1,7,1,10,
Notre Dame,0,0,9,3,
Navy,0,0,8,4,
Army,0,0,4,7,
Temple,0,0,0,11,
Miami (OH),5,3,7,4,
Bowling Green,5,3,6,5,
Akron,5,3,7,6,
Ohio,3,5,4,7,
Buffalo,1,7,1,10,
Kent State,0,8,1,10,
Toledo,6,2,9,3,
Northern Illinois,6,2,7,5,
Western Michigan,5,3,7,4,
Central Michigan,5,3,6,5,
Ball State,4,4,4,7,
Eastern Michigan,3,5,4,7,
USC,8,0,12,1,
Oregon,7,1,10,2,
UCLA,6,2,10,2,
California,4,4,8,4,
Arizona State,4,4,7,5,
Stanford,4,4,5,6,
Oregon State,3,5,5,6,
Arizona,2,6,3,8,
Washington State,1,7,4,7,
Washington,1,7,2,9,
Georgia,6,2,10,3,
Florida,5,3,9,3,
South Carolina,5,3,7,5,
Tennessee,3,5,5,6,
Vanderbilt,3,5,5,6,
Kentucky,2,6,3,8,
LSU,7,1,11,2,
Auburn,7,1,9,3,
Alabama,6,2,10,2,
Arkansas,2,6,4,7,
Ole Miss,1,7,3,8,
Mississippi State,1,7,3,8,
Arkansas State,5,2,6,6,
Louisiana-Lafayette,5,2,6,5,
Louisiana-Monroe,5,2,5,6,
Florida International,3,4,5,6,
Troy,3,4,4,7,
Middle Tennessee,3,4,4,7,
Florida Atlantic,2,5,2,9,
North Texas,2,5,2,9,
Nevada,7,1,9,3,
Boise State,7,1,9,4,
Louisiana Tech,6,2,7,4,
Fresno State,6,2,8,5,
Hawaii,4,4,5,7,
San Jose State,2,6,3,8,
Utah State,2,6,3,8,
Idaho,2,6,2,9,
New Mexico State,0,8,0,12,
New Hampshire,7,1,11,2,
Massachusetts,6,2,7,4,
Hofstra,6,3,8,4,
Maine,3,5,5,6,
Northeastern,3,6,3,9,
Rhode Island,2,6,4,7,
Richmond,7,1,9,4,
James Madison,5,3,7,4,
Towson,4,5,7,5,
Delaware,3,5,6,5,
William & Mary,3,6,5,7,
Villanova,2,6,4,7,
Montana,5,2,8,4,
Montana State,5,2,7,4,
Eastern Washington,5,2,7,5,
Portland State,4,3,6,5,
Weber State,4,3,6,5,
Idaho State,3,4,5,6,
Northern Arizona,1,6,3,8,
Sacramento State,1,6,2,9,
Savannah State,0,0,0,11,
Coastal Carolina,3,1,9,2,
Charleston Southern,3,1,7,4,
Gardner-Webb,2,2,5,6,
Virginia Military Institute,2,2,3,8,
Liberty,0,4,1,10,
Cal Poly,4,1,9,4,
UC Davis,4,1,6,5,
North Dakota State,3,2,7,4,
South Dakota State,3,2,6,5,
Southern Utah,1,4,1,9,
Northern Colorado,0,5,4,7,
Brown,6,1,9,1,
Harvard,5,2,7,3,
Princeton,5,2,7,3,
Cornell,4,3,6,4,
Yale,4,3,4,6,
Pennsylvania,3,4,5,5,
Dartmouth,1,6,2,8,
Columbia,0,7,2,8,
Duquesne,4,0,7,3,
Marist,3,1,7,4,
La Salle,2,2,4,7,
Iona,1,3,3,7,
St. Peter's,0,4,1,9,
Hampton,8,0,11,1,
South Carolina State,7,1,9,2,
Delaware State,6,2,7,4,
Florida A&M,5,3,6,5,
Bethune-Cookman,4,4,7,4,
Norfolk State,2,6,4,7,
North Carolina A&T,2,6,3,8,
Howard,1,7,4,7,
Morgan State,1,7,2,9,
Northern Iowa,5,2,11,4,
Youngstown State,5,2,8,3,
Southern Illinois,5,2,9,4,
Illinois State,4,3,7,4,
Western Kentucky,4,3,6,5,
Western Illinois,3,4,5,6,
Missouri State,2,5,4,6,
Indiana State,0,7,0,11,
Central Connecticut State,5,2,7,4,
Stony Brook,5,2,6,5,
Monmouth,4,3,6,4,
Albany,4,3,5,6,
Wagner,3,4,6,5,
Sacred Heart,3,4,4,6,
St. Francis U,3,4,3,8,
Robert Morris,1,6,2,8,
Eastern Illinois,8,0,9,3,
Eastern Kentucky,7,1,7,4,
Jacksonville State,6,2,6,5,
Tennessee,Martin,4,4,6,5
Samford,4,4,5,6,
Tennessee Tech,3,5,4,7,
Southeast Missouri State,2,6,2,9,
Tennessee State,1,6,2,9,
Murray State,0,7,2,9,
Colgate,5,1,8,4,
Lafayette,5,1,8,4,
Lehigh,4,2,8,3,
Holy Cross,3,3,6,5,
Georgetown,2,4,4,7,
Fordham,2,4,2,10,
Bucknell,0,6,1,10,
San Diego,4,0,11,1,
Dayton,7,1,9,1,
Morehead State,5,1,8,4,
Drake,4,2,6,4,
Jacksonville,3,2,4,4,
Davidson,2,4,4,6,
Austin Peay,1,5,2,9,
Valparaiso,1,6,3,8,
Butler,0,6,0,11,
Appalachian State,7,1,12,3,
Georgia Southern,5,2,8,4,
Furman,5,3,11,3,
Western Carolina,4,3,5,4,
Wofford,3,4,6,5,
Chattanooga,3,4,6,5,
Citadel,2,5,4,7,
Elon,0,7,3,8,
Texas State,5,1,11,3,
Nicholls State,5,1,6,4,
McNeese State,3,3,5,4,
Northwestern State,3,3,5,5,
Southeastern Louisiana,2,4,4,6,
Sam Houston State,2,4,3,7,
Stephen F. Austin,1,5,5,6,
Grambling State,9,0,11,1,
Southern University,4,5,4,5,
Prairie View A&M,3,6,5,6,
Arkansas-Pine Bluff,3,6,3,8,
Texas Southern,1,8,1,10,
Alabama A&M,7,2,9,3,
Alabama State,6,3,6,5,
Alcorn State,5,4,6,5,
Mississippi Valley State,5,4,6,5,
Jackson State,2,7,2,9,
