Visitor,Visitor Score,Home Team,Home Score
 Buffalo,0, Connecticut,38
 UCF,15, South Carolina,24
 Eastern Michigan,26, Cincinnati,28
 Idaho,26, Washington State,38
 Minnesota,41, Tulsa,10
 Northwestern State,27, Louisiana-Monroe,23
 Oregon,38, Houston,24
 Temple,16, Arizona State,63
 Vanderbilt,24, Wake Forest,20
 Western Illinois,14, Toledo,62
 William & Mary,24, Marshall,36
 Arizona,24, Utah,27
 Indiana,20, Central Michigan,13
 UAB,10, Tennessee,17
 Ball State,0, Iowa,56
 Baylor,28, SMU,23
 Boise State,13, Georgia,48
 Boston College,20, BYU,3
 Bowling Green,42, Wisconsin,56
 Cal Poly,10, Troy,27
 Sacramento State,3, California,41
 UCLA,44, San Diego State,21
 Colorado State,28, Colorado,31
 Duke,21, East Carolina,24
 Eastern Washington,24, San Jose State,35
 Florida Atlantic,19, Kansas,30
 Florida International,21, Kansas State,35
 Georgia Tech,23, Auburn,14
 Illinois State,21, Iowa State,32
 Kent State,14, Michigan State,49
 Maine,7, Nebraska,25
 Maryland,23, Navy,20
 Miami (OH),14, Ohio State,34
 Middle Tennessee,7, Alabama,26
 Missouri,44, Arkansas State,17
 Montana State,10, Oklahoma State,15
 Murray State,6, Mississippi State,38
 Northern Illinois,17, Michigan,33
 Notre Dame,42, Pittsburgh,21
 Ohio,14, Northwestern,38
 Portland State,14, Oregon State,41
 Rutgers,30, Illinois,33
 South Florida,13, Penn State,23
 USC,63, Hawaii,17
 Missouri State,17, Arkansas,49
 Louisiana-Lafayette,3, Texas,60
 Texas A&M,24, Clemson,25
 TCU,17, Oklahoma,10
 UTEP,34, New Mexico State,17
 Washington,17, Air Force,20
 Western Michigan,19, Virginia,31
 Wyoming,14, Florida,32
 Louisville,31, Kentucky,24
 Virginia Tech,20, North Carolina State,16
 West Virginia,15, Syracuse,7
 Miami (FL),7, Florida State,10
 Ole Miss,10, Memphis,6
 UNLV,22, New Mexico,24
 Oklahoma State,23, Florida Atlantic,3
 Pittsburgh,10, Ohio,16
 Washington State,55, Nevada,21
 Akron,24, Purdue,49
 UAB,27, Troy,7
 Appalachian State,8, Kansas,36
 Boise State,27, Oregon State,30
 Bowling Green,40, Ball State,31
 Buffalo,0, Syracuse,31
 California,56, Washington,17
 Central Michigan,38, Miami (OH),37
 Cincinnati,24, Penn State,42
 Citadel,10, Florida State,62
 Clemson,28, Maryland,24
 Colorado State,24, Minnesota,56
 Eastern Illinois,10, BYU,45
 Florida A&M,3, South Florida,37
 Florida International,3, Texas Tech,56
 Hawaii,14, Michigan State,42
 Idaho State,29, Kentucky,41
 Idaho,31, UNLV,34
 Iowa,3, Iowa State,23
 Kansas State,21, Marshall,19
 Liberty,0, Connecticut,59
 LSU,35, Arizona State,31
 Louisiana Tech,3, Florida,41
 Mississippi State,0, Auburn,28
 Montana,14, Oregon,47
 North Carolina,21, Georgia Tech,27
 New Mexico State,0, Colorado,39
 New Mexico,45, Missouri,35
 Nicholls State,31, Indiana,35
 North Texas,14, Middle Tennessee,7
 Louisiana-Monroe,0, Wyoming,38
 Northern Arizona,12, Arizona,31
 Northern Illinois,37, Northwestern,38
 Notre Dame,17, Michigan,10
 Rice,21, UCLA,63
 Sam Houston State,10, Houston,31
 Samford,14, Baylor,48
 San Diego State,29, Air Force,41
 San Jose State,19, Illinois,40
 South Carolina,15, Georgia,17
 Southeast Missouri State,12, Kent State,33
 Southern Miss,21, Alabama,30
 Louisiana-Lafayette,10, Eastern Michigan,31
 Stanford,41, Navy,38
 Temple,0, Wisconsin,65
 Tennessee-Martin,7, Arkansas State,56
 TCU,10, SMU,21
 Texas,25, Ohio State,22
 Tulsa,15, Oklahoma,31
 Army,7, Boston College,44
 Utah State,7, Utah,31
 Vanderbilt,28, Arkansas,24
 Villanova,6, Rutgers,38
 Virginia Tech,45, Duke,0
 Wake Forest,3, Nebraska,31
 Weber State,17, Fresno State,55
 Western Michigan,23, Toledo,56
 Wofford,7, West Virginia,35
 Utah,20, TCU,23
 Houston,41, UTEP,44
 Akron,17, Middle Tennessee,7
 Alabama,37, South Carolina,14
 Arkansas State,10, Oklahoma State,20
 Arkansas,17, USC,70
 Ball State,3, Auburn,63
 Baylor,20, Army,10
 Fresno State,34, Oregon,37
 UC Davis,20, Stanford,17
 UCF,14, South Florida,31
 Central Michigan,3, Penn State,40
 Connecticut,13, Georgia Tech,28
 East Carolina,34, Wake Forest,44
 Eastern Kentucky,10, North Carolina State,54
 Eastern Michigan,0, Michigan,55
 Florida Atlantic,7, Minnesota,46
 Florida State,28, Boston College,17
 Grambling,7, Washington State,48
 Idaho,6, Washington,34
 Illinois,20, California,35
 Jacksonville State,28, UAB,35
 Kentucky,14, Indiana,38
 Louisiana Tech,14, Kansas,34
 McNeese State,20, Southern Miss,48
 Miami (OH),27, Kent State,10
 Miami (FL),36, Clemson,30
 Michigan State,44, Notre Dame,41
 Mississippi State,21, Tulane,14
 Ole Miss,23, Vanderbilt,31
 UNLV,14, Nevada,22
 New Mexico State,21, New Mexico,38
 Louisiana-Monroe,7, Georgia,44
 Northern Iowa,21, Iowa,45
 Northwestern State,28, Louisiana-Lafayette,49
 Northwestern,21, Arizona State,52
 Ohio,0, Virginia Tech,45
 Oklahoma,24, UCLA,41
 Oregon State,27, Louisville,63
 Pittsburgh,6, Nebraska,7
 Purdue,31, Arizona,24
 Rice,10, Texas,51
 Rutgers,17, Buffalo,3
 Sam Houston State,21, Texas Tech,80
 San Diego State,6, Ohio State,27
 Southern Illinois,28, Western Michigan,34
 SMU,8, Texas A&M,66
 Tennessee Tech,3, Northern Illinois,42
 Chattanooga,14, Memphis,59
 Tennessee,7, Florida,16
 Toledo,42, Temple,17
 Troy,21, Missouri,52
 Tulsa,54, North Texas,2
 Virginia Military,14, Duke,40
 Virginia,27, Syracuse,24
 West Virginia,31, Maryland,19
 Western Carolina,3, Cincinnati,7
 Wisconsin,14, North Carolina,5
 Wyoming,29, Air Force,28
 Bowling Green,20, Boise State,48
 Louisiana-Monroe,28, Florida Atlantic,21
 Texas State,31, Texas A&M,44
 Air Force,35, Utah,38
 California,41, New Mexico State,13
 Iowa State,28, Army,21
 Arizona State,42, Oregon State,24
 Arkansas,13, Alabama,24
 Boston College,16, Clemson,13
 Colorado,3, Miami (FL),23
 Duke,7, Virginia,38
 East Carolina,15, West Virginia,20
 Eastern Michigan,23, Central Michigan,20
 Florida International,24, Arkansas State,66
 Florida,49, Kentucky,28
 Georgia Tech,7, Virginia Tech,51
 Georgia,23, Mississippi State,10
 Hawaii,24, Idaho,0
 Indiana State,7, Texas Tech,63
 Iowa,6, Ohio State,31
 Kent State,32, Ohio,35
 Louisville,14, South Florida,45
 Marshall,13, UCF,23
 Maryland,22, Wake Forest,12
 Memphis,31, Tulsa,37
 Michigan State,61, Illinois,14
 Michigan,20, Wisconsin,23
 North Carolina,31, North Carolina State,24
 UNLV,24, Utah State,31
 Nevada,21, Colorado State,42
 New Mexico,13, UTEP,21
 North Texas,7, Kansas State,54
 Northern Illinois,42, Akron,48
 Notre Dame,36, Washington,17
 Penn State,34, Northwestern,29
 Purdue,35, Minnesota,42
 Richmond,13, Vanderbilt,37
 San Jose State,21, San Diego State,52
 USC,45, Oregon,13
 TCU,51, BYU,50
 Troy,20, South Carolina,45
 Tulane,31, SMU,10
