"Team","Score","Rank"
"Hawaii",-77.9827813195228,106
"Appalachian State",12.441168371074,39
"Indiana",-20.544792939079,72
"Oregon State",-45.2367476638587,88
"Rice",-402.947334112632,127
"South Carolina",-20.3835600004407,71
"Tulane",-38.6632684820592,87
"Charlotte",-50.3055107308275,92
"Ball State",-63.9777962373295,97
"Colorado State",-6.60922965734903,56
"Kansas State",-4.96363781739982,52
"Toledo",23.3027431459008,31
"Army",-64.9831398261068,98
"Boise State",79.9288812860935,14
"Bowling Green",-1034.05956212001,128
"BYU",8.88177790331973,43
"Fresno State",-365.358953578882,126
"UCLA",-22.9427070931342,75
"Clemson",375.672778273904,3
"Georgia Tech",-8.10680724632297,59
"Georgia",-1.76981456362194,49
"Kent State",-73.2134921918046,103
"LSU",19.7079553755405,35
"Louisiana Tech",-4.86960984749215,51
"Massachusetts",-101.011293775356,109
"Miami (OH)",-79.85874793408,107
"Missouri",-47.6112815252351,89
"New Mexico State",-314.897483839768,124
"Northern Illinois",-53.7664701103453,94
"Oklahoma",40.4216178905344,21
"Rutgers",-55.8349094579886,95
"San Jose State",-152.431694629138,119
"South Alabama",-66.6132752643087,100
"USC",17.8195946518646,36
"SMU",-5.60416390956012,54
"Southern Miss",-35.2151197673697,82
"Texas State",-228.011058355378,123
"Western Michigan",96.5254836347064,11
"Notre Dame",-48.8691424468967,91
"Ole Miss",6.53915078471995,45
"Louisville",118.459493243537,8
"Maryland",-14.7992410996676,65
"Akron",-138.376863864075,116
"Arkansas State",-31.660036277347,80
"Arkansas",34.0037109454698,23
"Boston College",-27.442734504819,79
"California",-18.1391608452465,69
"UCF",-10.1484335874727,61
"Central Michigan",-50.7665467250059,93
"Cincinnati",-56.6132837939188,96
"Connecticut",-84.4948100212866,108
"Eastern Michigan",-24.2681391305933,78
"Florida Atlantic",-151.511884012693,118
"Georgia Southern",-20.0720986406097,70
"Georgia State",-104.292808818555,113
"Idaho",-15.8732403788125,68
"Iowa State",-173.659030881969,121
"Kentucky",-10.4770622962931,62
"Middle Tennessee",-22.3504844367284,74
"North Carolina",32.575709663097,24
"UNLV",-102.868690993105,111
"Nevada",-155.767650055185,120
"New Mexico",-34.7693545539013,81
"North Carolina State",-6.72506898860417,58
"Louisiana-Monroe",-75.903860713732,105
"Ohio",-12.4958003283315,64
"Old Dominion",-5.72563818028576,55
"Penn State",201.577964974112,5
"Texas Tech",-6.72505119629765,57
"UTEP",-210.502568777424,122
"UTSA",-36.3784373624263,83
"Troy",27.506712032426,27
"Tulsa",21.1167247643411,34
"Utah State",-36.3923938110374,84
"Virginia Tech",67.5041711927092,18
"Virginia",-103.367195790238,112
"Wake Forest",-10.9345504602909,63
"Washington State",14.3382731380683,37
"Western Kentucky",2.85165580707404,48
"Wyoming",77.5293842816661,15
"Houston",29.1468326161711,25
"Alabama",458.737071495102,2
"Arizona State",-8.73073554216661,60
"Baylor",86.0294545177751,12
"Colorado",28.5628903968187,26
"East Carolina",-48.392474923318,90
"Florida International",-102.371512642544,110
"Florida State",35.5168252509678,22
"Kansas",-145.632358051591,117
"Miami (FL)",23.644075651326,30
"Michigan State",-72.9834769685351,102
"Mississippi State",7.96426491754507,44
"North Texas",-37.2880082741737,86
"Ohio State",247.205054463022,4
"Oregon",-23.4878889131841,76
"Pittsburgh",22.9107575066044,32
"San Diego State",-3.49930244577659,50
"South Florida",26.7770244859003,28
"Temple",11.2087879021052,40
"Texas A&M",104.105896212791,10
"Navy",21.9017467092111,33
"Vanderbilt",-24.0092340147067,77
"Buffalo",-330.960296051218,125
"Duke",-70.3582971818096,101
"Texas",-5.37814545927413,53
"Utah",10.1139877473813,41
"Florida",24.9806385744942,29
"Iowa",-14.9593736509661,66
"Nebraska",77.4308306321597,16
"Oklahoma State",109.148827788924,9
"Syracuse",-15.4664438476701,67
"TCU",60.9827949529788,19
"Wisconsin",44.6811713666464,20
"Louisiana-Lafayette",-134.185153330491,115
"Stanford",12.4792505467436,38
"Air Force",5.82608200469134,46
"Washington",121.469943466986,6
"Illinois",-36.9905922815536,85
"Marshall",-132.4406525831,114
"Memphis",9.23810599280392,42
"Minnesota",4.0067858661633,47
"Northwestern",-20.5948184865849,73
"Purdue",-65.5560766444442,99
"Tennessee",72.5123344609598,17
"Arizona",-74.6243077446275,104
"Auburn",83.4447061403879,13
"Michigan",484.900754517972,1
"West Virginia",119.57017489034,7
