"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Air Force",0.676716278948508,0.838358139474254,0.817377216783164,6185,6515,0.487007874015748,0.333724504107669,69,69,0.531090937097777,55
"Akron",0.396164024364284,0.698082012182142,0.866690738519164,4444,8256,0.34992125984252,0.211709785674057,91,91,0.34554154718151,96
"Alabama",0.93277495425746,0.96638747712873,1,12077,623,0.950944881889764,0.918981225297927,1,3,0.938831596801562,1
"Appalachian State",0.757870332283946,0.878935166141973,0.857641111965771,8085,4615,0.636614173228346,0.479886724032411,32,37,0.645525227413363,26
"Arizona",0.228748390392055,0.614374195196027,0.931738972698384,3552,9148,0.279685039370079,0.160101891892314,104,104,0.235317539970228,115
"Arizona State",0.48541878375602,0.74270939187801,0.912816748988247,6475,6225,0.509842519685039,0.345651597021879,64,65,0.465346437285679,71
"Arkansas",0.537317644277825,0.768658822138912,0.981149304920829,7357,5343,0.579291338582677,0.436883609535074,43,53,0.544556334997482,49
"Arkansas State",0.470105093932687,0.735052546966343,0.862921421384752,5480,7220,0.431496062992126,0.273694754774907,82,81,0.414274524901779,80
"Army",0.758195441152907,0.879097720576454,0.792013307813514,3336,9364,0.262677165354331,0.182890839695519,99,106,0.487892974662537,65
"Auburn",0.862953916061844,0.931476958030922,0.975120868292111,11430,1270,0.9,0.817472358098286,4,4,0.860989581284202,4
"Ball State",0.473897275365916,0.736948637682958,0.793496448851511,3280,9420,0.258267716535433,0.151026212324301,108,109,0.336779775593985,98
"Baylor",0.750081990372372,0.875040995186186,0.797743704705184,8270,4430,0.651181102362205,0.454562467903344,39,33,0.615975824675598,32
"Boise State",0.733911048352514,0.866955524176257,0.88469951907649,9495,3205,0.747637795275591,0.573434551942378,21,17,0.682073099440125,20
"Boston College",0.329877619008638,0.664938809504319,0.880805423476563,3297,9403,0.259606299212598,0.152046661169506,107,108,0.280240763675095,107
"Bowling Green",0.143420167635788,0.571710083817894,0.929927238134846,1987,10713,0.156456692913386,0.0831800097942416,123,123,0.141065777892719,126
"Buffalo",0.187201324059988,0.593600662029994,0.834621233252419,2170,10530,0.170866141732283,0.0846525059077441,121,121,0.16111684721305,124
"BYU",0.59622134878281,0.798110674391405,0.928817058496078,7952,4748,0.626141732283465,0.464158120370955,37,41,0.577900950353831,45
"California",0.433020721711324,0.716510360855662,0.95202505012724,7632,5068,0.600944881889764,0.409926025101496,55,45,0.475146010158826,70
"Central Michigan",0.481523382361969,0.740761691180984,0.86452065980074,4229,8471,0.332992125984252,0.213249418193464,89,93,0.388521983480786,86
"Charlotte",0.323790599081223,0.661895299540612,0.838561908685972,2954,9746,0.23259842519685,0.129101473122474,112,112,0.258545116919033,110
"Cincinnati",0.386057572447399,0.693028786223699,0.852652692892551,3801,8899,0.299291338582677,0.176855101102241,100,97,0.319212465366783,103
"Clemson",0.89419620091761,0.947098100458805,0.908140020023768,11020,1680,0.867716535433071,0.746320985891713,5,7,0.830609082348688,5
"Colorado",0.830889607718634,0.915444803859317,0.918965987698111,10266,2434,0.808346456692913,0.680031672867797,10,10,0.778488344914472,10
"Colorado State",0.569626235434214,0.784813117717107,0.86649886811522,6374,6326,0.501889763779528,0.341304953444399,65,67,0.496350246761496,62
"Connecticut",0.238962645768949,0.619481322884474,0.887807479049082,3666,9034,0.288661417322835,0.158758050056836,105,102,0.237655688525631,114
"Duke",0.505485930155947,0.752742965077973,0.933350357881034,5551,7149,0.437086614173228,0.307085216997796,74,79,0.46022585393433,74
