"TEAM","ELO","GAMES","RANK"
"Hawaii",1087.08881645229,9,107
"Appalachian State",1644.79916947536,9,35
"Indiana",1332.42768447161,9,79
"Oregon State",1470.66891000462,9,58
"Rice",573.462149833882,8,128
"South Carolina",1386.69642335391,9,71
"Tulane",1112.57055084919,8,104
"Charlotte",961.81568839219,9,119
"Ball State",1100.70607341516,8,106
"Colorado State",1404.10764524487,8,69
"Kansas State",1596.51860845317,9,40
"Toledo",1627.93044465622,9,36
"Army",1213.64557438582,9,93
"Boise State",1986.38880203657,9,7
"Bowling Green",957.543086211857,9,121
"BYU",1520.3357832106,9,52
"Fresno State",705.395675959404,9,127
"UCLA",1547.98884721185,10,44
"Clemson",2131.80399618335,8,4
"Georgia Tech",1536.82280164568,9,47
"Georgia",1545.33424653359,8,45
"Kent State",1131.240828927,9,100
"LSU",1736.61598649127,7,24
"Louisiana Tech",1387.85850395032,9,70
"Massachusetts",1018.45440103726,10,112
"Miami (OH)",1016.74023175874,9,113
"Missouri",1314.69968940974,9,82
"New Mexico State",980.036745815835,8,116
"Northern Illinois",1152.97859691034,8,99
"Oklahoma",1674.91990614449,9,31
"Rutgers",1314.54004396795,9,83
"San Jose State",960.339351239575,10,120
"South Alabama",1326.80049358691,8,80
"USC",1673.7170187988,9,32
"SMU",1277.138563397,9,87
"Southern Miss",1376.30811848264,9,74
"Texas State",1014.4882959445,8,114
"Western Michigan",1896.35058388423,9,12
"Notre Dame",1210.37542727151,9,94
"Ole Miss",1603.0008663477,9,39
"Louisville",1940.02691723525,9,9
"Maryland",1627.51131971193,9,37
"Akron",1458.98293324819,9,61
"Arkansas State",1239.57171499664,7,91
"Arkansas",1585.63560411088,9,41
"Boston College",1361.10904929803,9,75
"California",1492.30928768584,9,55
"UCF",1418.96272146532,8,65
"Central Michigan",1483.59714578814,10,57
"Cincinnati",1318.70516377248,8,81
"Connecticut",1205.27176990592,10,95
"Eastern Michigan",1278.80737071257,9,86
"Florida Atlantic",747.242062638992,8,126
"Georgia Southern",1405.89080272097,9,68
"Georgia State",888.682682895223,8,124
"Idaho",1307.81031545649,9,84
"Iowa State",1108.64306397253,9,105
"Kentucky",1381.78859172631,9,73
"Middle Tennessee",1499.35316598305,9,53
"North Carolina",1570.81284911349,8,42
"UNLV",1038.82512912696,9,111
"Nevada",976.05858169113,9,117
"New Mexico",1115.45443986721,9,103
"North Carolina State",1531.68865693774,9,49
"Louisiana-Monroe",1063.42769929889,8,109
"Ohio",1275.10852968663,10,88
"Old Dominion",1336.41611697553,9,78
"Penn State",1769.17799395159,9,21
"Texas Tech",1496.83431609611,8,54
"UTEP",896.572980170161,8,123
"UTSA",1153.60276910387,8,98
"Troy",1713.41037499959,8,29
"Tulsa",1671.71436299719,9,33
"Utah State",1346.79907016491,9,76
"Virginia Tech",1728.6389887121,9,26
"Virginia",1123.02035406718,9,101
"Wake Forest",1489.47796837224,9,56
"Washington State",1856.54073904745,8,17
"Western Kentucky",1412.49919249276,9,66
"Wyoming",1536.78232675131,9,48
"Houston",1753.94726254451,9,22
"Alabama",2244.19954798607,9,2
"Arizona State",1738.38557397458,8,23
"Baylor",1716.91801639162,7,28
"Colorado",1872.2647308364,10,16
"East Carolina",1154.5630264029,8,97
"Florida International",966.933688452698,10,118
"Florida State",1777.7076035962,8,20
"Kansas",906.015915090081,8,122
"Miami (FL)",1778.64230893861,9,19
"Michigan State",1253.92530244493,9,89
"Mississippi State",1338.5955147027,9,77
"North Texas",1060.86917745925,9,110
"Ohio State",2198.03446662855,9,3
"Oregon",1523.25236948107,9,51
"Pittsburgh",1725.71292410411,9,27
"San Diego State",1610.97126865235,8,38
"South Florida",1527.41670318789,9,50
"Temple",1469.65041440588,10,59
"Texas A&M",2010.73591737356,8,6
"Navy",1455.18194736615,8,62
"Vanderbilt",1411.53852822874,9,67
"Buffalo",785.955992542086,8,125
"Duke",1246.73870956819,9,90
"Texas",1424.0620778993,9,64
"Utah",1731.6116263461,9,25
"Florida",1815.8027772883,8,18
"Iowa",1659.76136800342,8,34
"Nebraska",1924.63472532834,9,10
"Oklahoma State",1567.49948807721,8,43
"Syracuse",1204.04659382713,9,96
"TCU",1431.0450954453,8,63
"Wisconsin",1877.81796191857,9,15
"Louisiana-Lafayette",1121.87872891506,7,102
"Stanford",1883.71024827141,9,14
"Air Force",1463.8246428083,8,60
"Washington",2069.59420505161,9,5
"Illinois",1223.12136717265,9,92
"Marshall",1005.85871769854,9,115
"Memphis",1385.37547406957,8,72
"Minnesota",1683.92162172832,9,30
"Northwestern",1543.99756314181,9,46
"Purdue",1071.87237467437,8,108
"Tennessee",1983.92243597194,8,8
"Arizona",1302.79114607946,8,85
"Auburn",1896.3353636181,9,13
"Michigan",2268.26392775198,9,1
"West Virginia",1914.83597847355,7,11
