"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",66,60,58,113,71
"Akron",78,113,69.5,79,98
"Alabama",5,1,8,1,1
"Appalachian State",86,29,36,89,53
"Arizona",73,97,125.5,27,93
"Arizona State",27,77,69.5,43,49
"Arkansas",42,50,58,7,31
"Arkansas State",97,59,98.5,86,80.5
"Army",99,72,58,123,86
"Auburn",18,7,36,10,5
"Ball State",104,104,84,122,110
"Baylor",41,61,23.5,120,46
"Boise State",29,32,18.5,60,17
"Boston College",115,56,84,64,83
"Bowling Green",108,125,136,30,118
"Buffalo",128,118,125.5,106,126
"BYU",62,27,84,31,43
"California",11,106,84,16,60
"Central Michigan",87,96,69.5,85,92
"Charlotte",116,119,105,102,120.5
"Cincinnati",111,55,84,95,88
"Clemson",12,8,8,45,4
"Colorado",25,6,36,38,10
"Colorado State",79,46,84,80,74
"Connecticut",120,44,113.5,57,89.5
"Duke",83,37,105,24,69
"East Carolina",68,94,105,82,89.5
"Eastern Michigan",94,95,69.5,90,99
"Florida",72,10,23.5,52,25
"Florida Atlantic",127,124,136,111,128
"Florida International",114,108,113.5,83,114
"Florida State",21,36,58,14,19
"Fresno State",122,112,139,67,122
"Georgia",70,42,84,33,59
"Georgia Southern",106,86,84,99,103
"Georgia State",112,75,125.5,73,106
"Georgia Tech",59,66,58,50,63.5
"Hawaii",91,109,97,93,108
"Houston",28,45,27,101,26
"Idaho",92,101,84,75,101
"Illinois",89,64,125.5,48,82
"Indiana",55,49,84,47,56
"Iowa",56,25,58,59,33
"Iowa State",81,69,136,17,78
"Kansas",123,117,136,20,120.5
"Kansas State",63,47,58,49,51
"Kent State",113,65,113.5,103,105
"Kentucky",65,78,58,21,68
"Louisiana-Lafayette",117,99,98.5,121,113
"Louisiana-Monroe",107,127,125.5,104,123
"Louisiana Tech",26,79,47,124,57
"Louisville",2,28,18.5,63,8
"LSU",52,3,44.5,12,16
"Marshall",119,121,125.5,110,124
"Maryland",71,48,58,55,58
"Massachusetts",93,111,133,81,112
"Memphis",30,39,58,108,34.5
"Miami (FL)",50,17,84,46,29.5
"Miami (OH)",105,71,113.5,100,102
"Michigan",1,2,8,26,2
"Michigan State",57,74,125.5,22,75
"Middle Tennessee",35,105,36,107,73
"Minnesota",49,33,36,96,32
"Mississippi State",39,63,117.5,23,63.5
"Missouri",60,91,125.5,37,79
"Navy",40,68,44.5,58,47
"Nebraska",51,23,18.5,34,20
"Nevada",126,98,105,126,117
"New Mexico",61,122,58,127,97
"New Mexico State",101,126,125.5,68,116
"North Carolina",36,31,36,54,23
"North Carolina State",74,26,84,36,50
"North Texas",109,102,84,74,107
"Northern Illinois",64,85,125.5,70,84
"Northwestern",38,13,84,3,21
"Notre Dame",44,57,105,44,61
"Ohio",96,76,47,125,80.5
"Ohio State",3,4,18.5,19,3
"Oklahoma",7,54,36,28,18
"Oklahoma State",22,70,36,88,38
"Old Dominion",80,93,58,116,87
"Ole Miss",8,58,105,5,28
"Oregon",9,92,105,15,55
"Oregon State",67,51,125.5,11,72
"Penn State",14,15,36,4,7
"Pittsburgh",15,100,58,32,52
"Purdue",77,123,105,84,109
"Rice",125,120,136,77,125
"Rutgers",98,83,125.5,13,100
"San Diego State",54,30,18.5,128,36
"San Jose State",118,107,113.5,76,115
"SMU",84,82,84,25,77
"South Alabama",110,67,84,97,95.5
"South Carolina",102,19,84,39,67
"South Florida",17,87,27,98,44
"Southern Miss",76,110,58,112,94
"Stanford",85,9,58,8,34.5
"Syracuse",75,103,84,42,85
"TCU",43,41,84,66,45
"Temple",45,40,47,91,37
"Tennessee",23,52,58,9,24
"Texas",34,53,84,29,42
"Texas A&M",20,16,18.5,40,9
"Texas State",124,128,117.5,105,127
"Texas Tech",10,116,84,51,70
"Toledo",32,88,36,119,65
"Troy",37,43,23.5,115,29.5
"Tulane",103,81,105,94,104
"Tulsa",19,80,36,71,40
"UCF",46,38,84,87,48
"UCLA",58,24,105,6,41
"UNLV",90,114,113.5,118,111
"USC",33,12,58,18,15
"Utah",47,35,27,78,27
"Utah State",88,84,105,53,91
"UTEP",121,115,125.5,56,119
"UTSA",82,90,84,117,95.5
"Vanderbilt",95,22,84,41,66
"Virginia",69,62,125.5,35,76
"Virginia Tech",24,18,36,61,13
"Wake Forest",100,20,58,69,62
"Washington",4,11,8,114,6
"Washington State",6,21,36,92,11
"West Virginia",53,14,23.5,62,22
"Western Kentucky",16,73,58,65,39
"Western Michigan",13,34,8,109,14
"Wisconsin",48,5,36,2,12
"Wyoming",31,89,36,72,54
