Team,Previous.Score,Score,Rank
Alabama,2261.902118,2261.902118,1
Michigan,2235.260657,2235.260657,2
Washington,2108.784193,2108.784193,3
Ohio State,2023.791969,2023.791969,4
Louisville,1999.586112,1999.586112,5
Clemson,1982.484497,1982.484497,6
Western Michigan,1939.393158,1939.393158,7
Texas A&M,1925.59445,1925.59445,8
Penn State,1908.483763,1908.483763,9
Wisconsin,1907.387521,1907.387521,10
Auburn,1878.164564,1878.164564,11
Washington State,1872.19898,1872.19898,12
Colorado,1854.630253,1854.630253,13
LSU,1837.726289,1837.726289,14
Tennessee,1836.144154,1836.144154,15
Boise State,1834.324247,1834.324247,16
Nebraska,1827.335091,1827.335091,17
Troy,1826.170561,1826.170561,18
Florida State,1818.996335,1818.996335,19
USC,1810.357605,1810.357605,20
Toledo,1802.30053,1802.30053,21
Stanford,1788.562854,1788.562854,22
West Virginia,1783.422265,1783.422265,23
Oklahoma State,1783.108998,1783.108998,24
Virginia Tech,1782.362255,1782.362255,25
Tulsa,1778.749671,1778.749671,26
Appalachian State,1777.802211,1777.802211,27
Wyoming,1770.497676,1770.497676,28
Houston,1770.302819,1770.302819,29
San Diego State,1766.990945,1766.990945,30
Miami (FL),1766.026246,1766.026246,31
Minnesota,1761.248256,1761.248256,32
Oklahoma,1759.175791,1759.175791,33
Florida,1752.996998,1752.996998,34
Utah,1752.328831,1752.328831,35
South Florida,1747.56013,1747.56013,36
Temple,1745.96006,1745.96006,37
North Carolina,1742.763962,1742.763962,38
BYU,1739.796882,1739.796882,39
Northwestern,1732.809463,1732.809463,40
Western Kentucky,1729.9858,1729.9858,41
Iowa,1719.451038,1719.451038,42
Arkansas,1716.100042,1716.100042,43
North Carolina State,1712.046079,1712.046079,44
Baylor,1707.323485,1707.323485,45
Ole Miss,1706.741754,1706.741754,46
TCU,1700.308148,1700.308148,47
Air Force,1699.385334,1699.385334,48
UCF,1692.113056,1692.113056,49
Pittsburgh,1687.281396,1687.281396,50
Louisiana Tech,1675.347731,1675.347731,51
Navy,1670.829433,1670.829433,52
Mississippi State,1663.804779,1663.804779,53
Oregon,1660.669343,1660.669343,54
Ohio,1647.691575,1647.691575,55
Texas,1645.925318,1645.925318,56
UCLA,1641.383188,1641.383188,57
Colorado State,1640.542074,1640.542074,58
Memphis,1636.454047,1636.454047,59
Kansas State,1636.404596,1636.404596,60
Maryland,1635.111759,1635.111759,61
Old Dominion,1633.54725,1633.54725,62
California,1631.471195,1631.471195,63
Arizona State,1628.288095,1628.288095,64
Indiana,1626.582334,1626.582334,65
Wake Forest,1622.89268,1622.89268,66
Georgia Tech,1621.096818,1621.096818,67
Georgia,1620.04652,1620.04652,68
Notre Dame,1619.388924,1619.388924,69
UTSA,1610.023776,1610.023776,70
Kentucky,1609.248229,1609.248229,71
Middle Tennessee,1597.272594,1597.272594,72
Akron,1591.651641,1591.651641,73
Vanderbilt,1587.241011,1587.241011,74
Boston College,1585.32318,1585.32318,75
New Mexico,1585.270335,1585.270335,76
Arkansas State,1575.295628,1575.295628,77
Texas Tech,1572.416173,1572.416173,78
Oregon State,1568.970965,1568.970965,79
Northern Illinois,1553.737862,1553.737862,80
Miami (OH),1551.153907,1551.153907,81
SMU,1548.156524,1548.156524,82
South Carolina,1547.636617,1547.636617,83
Utah State,1544.321189,1544.321189,84
Kent State,1540.765294,1540.765294,85
Southern Miss,1539.345049,1539.345049,86
Idaho,1534.748733,1534.748733,87
Army,1529.864707,1529.864707,88
Syracuse,1527.166209,1527.166209,89
Eastern Michigan,1522.780744,1522.780744,90
Cincinnati,1520.395408,1520.395408,91
Duke,1519.408798,1519.408798,92
Virginia,1513.996132,1513.996132,93
Central Michigan,1510.862052,1510.862052,94
Rutgers,1508.394909,1508.394909,95
Georgia Southern,1508.085526,1508.085526,96
Arizona,1501.184961,1501.184961,97
Ball State,1500.851336,1500.851336,98
Illinois,1494.243365,1494.243365,99
Michigan State,1486.123481,1486.123481,100
Missouri,1481.979226,1481.979226,101
South Alabama,1476.504961,1476.504961,102
East Carolina,1469.189179,1469.189179,103
Tulane,1468.750804,1468.750804,104
North Texas,1467.094976,1467.094976,105
Iowa State,1466.277725,1466.277725,106
Hawaii,1464.791881,1464.791881,107
Connecticut,1453.323304,1453.323304,108
Charlotte,1440.196424,1440.196424,109
Louisiana-Lafayette,1438.283128,1438.283128,110
Louisiana-Monroe,1420.576749,1420.576749,111
Purdue,1414.813808,1414.813808,112
Georgia State,1409.599638,1409.599638,113
Florida International,1389.583018,1389.583018,114
Florida Atlantic,1378.309796,1378.309796,115
UNLV,1368.768576,1368.768576,116
Nevada,1362.91012,1362.91012,117
Massachusetts,1352.138383,1352.138383,118
San Jose State,1350.675851,1350.675851,119
New Mexico State,1349.542544,1349.542544,120
UTEP,1337.037964,1337.037964,121
Marshall,1332.573636,1332.573636,122
Bowling Green,1308.278298,1308.278298,123
Buffalo,1305.257004,1305.257004,124
Texas State,1216.979864,1216.979864,125
Kansas,1206.722895,1206.722895,126
Rice,1179.300913,1179.300913,127
Fresno State,1146.216421,1146.216421,128
