"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",61,72,32,112,64
"Akron",87,115,94.5,94,106
"Alabama",6,1,6,3,1
"Appalachian State",92,28,32,96,56
"Arizona",54,96,124.5,25,80
"Arizona State",34,91,94.5,44,68
"Arkansas",42,62,65.5,10,43
"Arkansas State",94,56,65.5,111,76
"Army",103,58,69,128,86
"Auburn",33,6,49.5,14,11
"Ball State",100,102,108.5,120,111
"Baylor",46,70,78.5,75,63
"Boise State",43,36,18,67,27
"Boston College",113,45,78.5,80,79
"Bowling Green",96,119,108.5,70,112
"Buffalo",126,116,134.5,105,127
"BYU",62,21,49.5,79,39
"California",13,108,94.5,12,62
"Central Michigan",91,88,78.5,89,96
"Charlotte",122,117,108.5,107,122
"Cincinnati",112,52,108.5,65,90
"Clemson",8,13,12.5,46,6
"Colorado",24,9,22.5,22,8
"Colorado State",50,63,65.5,71,60
"Connecticut",125,61,124.5,87,105
"Duke",85,49,108.5,24,73
"East Carolina",77,112,124.5,73,104
"Eastern Michigan",90,92,65.5,90,93.5
"Florida",79,12,49.5,20,35
"Florida Atlantic",107,127,124.5,108,123
"Florida International",119,107,108.5,93,119
"Florida State",20,32,32,38,14
"Fresno State",127,93,138,98,121
"Georgia",76,35,65.5,33,47
"Georgia Southern",98,84,94.5,86,98
"Georgia State",123,89,124.5,91,116
"Georgia Tech",56,41,49.5,52,41
"Hawaii",97,110,88,109,108
"Houston",26,37,32,77,23
"Idaho",83,94,49.5,104,87
"Illinois",88,69,124.5,28,84.5
"Indiana",63,44,78.5,41,52.5
"Iowa",47,10,49.5,45,19
"Iowa State",65,65,124.5,27,75
"Kansas",111,101,134.5,31,113
"Kansas State",51,27,49.5,56,33
"Kent State",117,75,124.5,95,107
"Kentucky",49,73,65.5,34,59
"Louisiana-Lafayette",108,77,78.5,117,99
"Louisiana-Monroe",106,126,108.5,84,120
"Louisiana Tech",29,97,61,119,70
"Louisville",5,42,32,69,15
"LSU",40,4,59,4,13
"Marshall",124,113,124.5,101,124
"Maryland",73,53,78.5,50,65
"Massachusetts",93,120,134.5,92,117.5
"Memphis",19,50,49.5,85,31.5
"Miami (FL)",41,14,49.5,48,18
"Miami (OH)",101,68,78.5,116,93.5
"Michigan",2,3,18,21,3
"Michigan State",53,38,124.5,18,54
"Middle Tennessee",44,123,49.5,122,82
"Minnesota",48,24,49.5,63,30
"Mississippi State",36,67,94.5,11,48
"Missouri",60,90,108.5,43,78
"Navy",22,66,32,62,34
"Nebraska",64,18,32,32,28
"Nevada",114,87,94.5,124,109
"New Mexico",55,109,49.5,126,81
"New Mexico State",99,125,124.5,68,117.5
"North Carolina",38,39,49.5,100,38
"North Carolina State",82,26,78.5,37,52.5
"North Texas",120,104,94.5,88,115
"Northern Illinois",78,82,94.5,76,84.5
"Northwestern",37,19,78.5,13,24
"Notre Dame",31,55,108.5,15,45
"Ohio",109,54,61,121,83
"Ohio State",1,2,14,7,2
"Oklahoma",7,51,18,16,12
"Oklahoma State",27,48,32,64,29
"Old Dominion",72,95,32,125,77
"Ole Miss",18,76,94.5,1,44
"Oregon",16,103,108.5,23,66
"Oregon State",58,43,108.5,26,57
"Penn State",10,15,15,6,5
"Pittsburgh",4,99,49.5,35,42
"Purdue",68,114,124.5,60,102
"Rice",121,118,124.5,102,125
"Rutgers",105,86,134.5,9,103
"San Diego State",66,47,22.5,127,51
"San Jose State",116,100,108.5,83,114
"SMU",74,98,94.5,42,88.5
"South Alabama",110,74,78.5,123,100
"South Carolina",115,30,78.5,55,74
"South Florida",12,81,18,81,37
"Southern Miss",80,111,78.5,110,101
"Stanford",67,8,32,17,22
"Syracuse",69,105,108.5,40,95
"TCU",70,33,78.5,53,50
"Temple",52,16,22.5,99,26
"Tennessee",14,78,49.5,19,36
"Texas",59,57,94.5,29,61
"Texas A&M",25,34,49.5,39,20.5
"Texas State",128,128,134.5,97,128
"Texas Tech",11,121,94.5,54,72
"Toledo",30,83,32,103,49
"Troy",75,60,32,114,67
"Tulane",102,59,108.5,78,91
"Tulsa",15,85,32,74,40
"UCF",57,46,78.5,82,58
"UCLA",71,31,108.5,8,55
"UNLV",81,122,108.5,115,110
"USC",23,11,32,5,9
"Utah",39,25,49.5,57,25
"Utah State",95,80,124.5,51,97
"UTEP",118,124,117,106,126
"UTSA",89,79,78.5,113,92
"Vanderbilt",86,17,78.5,36,46
"Virginia",84,71,134.5,30,88.5
"Virginia Tech",28,22,40,59,16
"Wake Forest",104,29,78.5,61,71
"Washington",3,7,12.5,66,4
"Washington State",9,20,49.5,47,10
"West Virginia",45,23,18,49,17
"Western Kentucky",17,64,32,72,31.5
"Western Michigan",21,40,6,118,20.5
"Wisconsin",32,5,22.5,2,7
"Wyoming",35,106,61,58,69
