"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Air Force",412,320,268,259,0.5202281127199,0.4797718872801,0.645405650950605,0.354594349049395,0.982557525002033,0.450864795071825,0.459079300785496,0.321105898556656,112,0.573122726533388,51
"Akron",329,403,169,242,0.299239387006068,0.700760612993932,0.382057855956754,0.617942144043246,0.984925005858917,0.46701714268275,0.487871094582598,0.398818148384171,94,0.411037704241155,98
"Alabama",527,153,358,134,0.911249110138962,0.0887508898610379,0.949363900269973,0.0506360997300271,1.025,0.579614586581051,0.579319524452709,0.940547493302832,3,0.846666169372491,1
"Appalachian State",349,204,250,94,0.910377565045906,0.0896224349540944,0.781183409715154,0.218816590284846,0.975,0.46559568826818,0.460165708066836,0.391979240304412,96,0.657323071436572,24
"Arizona",297,460,203,393,0.172840175251165,0.827159824748836,0.261756001937459,0.738243998062541,1.02160816194681,0.552684610872076,0.584254448122189,0.810981869125119,25,0.377234416297033,104
"Arizona State",400,478,256,382,0.27917122986615,0.72082877013385,0.395988884532591,0.604011115467409,1.02160816194681,0.525403500748453,0.537384389978997,0.679726865421194,44,0.452695743954254,90
"Arkansas",370,369,214,298,0.313297398979987,0.686702601020013,0.501603513749236,0.498396486250764,1.025,0.564866260127298,0.577068364909096,0.86959027658613,10,0.539927425739252,59
"Arkansas State",324,266,257,122,0.853932143013051,0.146067856986949,0.614786157455517,0.385213842544483,0.975,0.452319628830721,0.459958767570487,0.328105401492834,111,0.549097601806494,57
"Army",330,210,6,44,0.00881838102237209,0.991181618977628,0.744825957164193,0.255174042835807,1.00931274900398,0.384123527061736,0.354471312867212,0,128,0.620432361314296,37
"Auburn",387,187,210,147,0.699584404622778,0.300415595377222,0.84860982943469,0.15139017056531,1.025,0.561658217464958,0.561585883113812,0.85415572683285,14,0.771758560177591,5
"Ball State",324,361,201,269,0.33389219896768,0.666107801032321,0.436278722697923,0.563721277302077,0.984925005858917,0.435048512241401,0.436162711979669,0.245010525161564,120,0.429663736223588,93
"Baylor",419,365,286,335,0.407384394985006,0.592615605014994,0.581028607533605,0.418971392466395,1.0199203187251,0.483793804873939,0.478256389785044,0.479534103419202,75,0.557663058223343,55
"Boise State",427,272,285,183,0.740758994192095,0.259241005807905,0.74437382043153,0.25562617956847,0.982557525002033,0.497966473645914,0.50668710660805,0.547721713224319,67,0.653543142259423,25
"Boston College",229,295,96,275,0.0762628040620253,0.923737195937975,0.354295548498607,0.645704451501393,1.00947282299374,0.477476422937178,0.470837149923241,0.449139886110916,80,0.396866920645783,100
"Bowling Green",298,460,237,239,0.495021143674164,0.504978856325836,0.263298345437787,0.736701654562213,0.984925005858917,0.494086990674216,0.518722548080115,0.529056726736889,70,0.34318701918429,116
"Buffalo",198,388,142,273,0.175210798558094,0.824789201441906,0.16876717999273,0.83123282000727,0.984925005858917,0.458862601306212,0.485523959772163,0.359584981048562,105,0.270216906803169,127
"BYU",360,233,51,9,0.983873040676166,0.0161269593238337,0.737130148344649,0.262869851655351,1.00931274900398,0.477500244950341,0.448910102898876,0.44925449869126,79,0.647026800937143,28
"California",445,511,304,392,0.35376396114192,0.64623603885808,0.418785778467434,0.581214221532565,1.02160816194681,0.564333832311509,0.581567428015762,0.867028657406532,12,0.483267989987491,77
"Central Michigan",332,339,174,239,0.320329589143019,0.679670410856981,0.487639924073026,0.512360075926974,0.984925005858917,0.471448572108006,0.479761728453022,0.420138662211872,89,0.477702277785604,80
"Charlotte",302,415,202,246,0.385316767491758,0.614683232508242,0.320100918378498,0.679899081621502,0.982247931351517,0.45774318089604,0.469859935881744,0.354199220373223,107,0.363451959948933,109
"Cincinnati",232,323,136,256,0.182563007823909,0.817436992176091,0.313400670483948,0.686599329516052,0.995521759117377,0.498927172961254,0.531168421333834,0.552343834231198,65,0.384261364923783,102
"Clemson",522,239,358,195,0.808432076170772,0.191567923829228,0.86429767788103,0.13570232211897,1.00947282299374,0.522233381136816,0.543300882282162,0.664474771225548,46,0.764472502989119,6
"Colorado",427,266,299,207,0.705059328142163,0.294940671857838,0.754302404150736,0.245697595849264,1.02160816194681,0.553403599790452,0.557374429048272,0.814441071947762,22,0.70354041709638,13
"Colorado State",409,334,308,224,0.680209630011626,0.319790369988374,0.617771669020648,0.382228330979352,0.982557525002033,0.492873868417001,0.52351039550539,0.523220147299963,71,0.576123827593073,49
"Connecticut",178,337,93,217,0.118355518490957,0.881644481509043,0.180528711475538,0.819471288524462,0.995521759117377,0.472977657145405,0.465641002370347,0.427495403243959,87,0.274332090211849,126
"Duke",280,338,167,267,0.247473261885879,0.752526738114121,0.390272383442473,0.609727616557527,1.00947282299374,0.552849291310409,0.573827379195163,0.811774180414703,24,0.455733957895859,89
"East Carolina",324,433,176,256,0.29151788111619,0.70848211888381,0.334637024762253,0.665362975237747,0.995521759117377,0.488060043989794,0.501685247956353,0.500059852863267,73,0.38857181989433,101
"Eastern Michigan",365,364,219,246,0.431548586844931,0.568451413155069,0.501625509696082,0.498374490303918,0.984925005858917,0.469483210814197,0.473824677652448,0.410682906829135,90,0.484936263188576,76
"Florida",281,215,212,177,0.605308692667562,0.394691307332438,0.653506504446432,0.346493495553568,1.025,0.555106574746089,0.555970011316718,0.822634432961922,20,0.636519198571607,30
"Florida Atlantic",317,477,235,315,0.333059544058816,0.666940455941184,0.275196164176421,0.724803835823579,0.982247931351517,0.457584601534353,0.476370773967622,0.353436262611928,108,0.336178644414114,118
"Florida International",288,418,234,269,0.418154266638902,0.581845733361098,0.292582433683818,0.707417566316182,0.982247931351517,0.467499863363567,0.469420206847191,0.401140616365184,93,0.345288002527233,115
"Florida State",423,293,240,203,0.597922448842787,0.402077551157213,0.704800415921001,0.295199584078999,1.00947282299374,0.531404996289645,0.556541824429385,0.708601288636332,38,0.661589192544895,23
"Fresno State",212,371,113,225,0.163522527883512,0.836477472116488,0.209773801468486,0.790226198531514,0.982557525002033,0.463464784264635,0.481726690804835,0.381727025067913,98,0.295184613135635,124
"Georgia",288,289,167,192,0.418090092442393,0.581909907557607,0.497946283323473,0.502053716676527,1.025,0.534399309626872,0.552918587985487,0.723007542868194,33,0.529177144499414,61
"Georgia Southern",319,318,183,197,0.456433098940067,0.543566901059933,0.501860275519073,0.498139724480927,0.975,0.474753455744688,0.478823278416746,0.436039133710578,86,0.48182674457284,79
"Georgia State",239,319,156,211,0.32833064155444,0.67166935844556,0.335305764001413,0.664694235998587,0.975,0.46864032293415,0.490036738335091,0.406627600746787,91,0.377210686559823,105
"Georgia Tech",334,300,198,232,0.407194665487686,0.592805334512314,0.563268956162118,0.436731043837882,1.00947282299374,0.511519845817426,0.52580097143492,0.612929760349649,52,0.55599706584356,56
"Hawaii",344,487,195,250,0.356897975869215,0.643102024130785,0.304943792484176,0.695056207515824,0.982557525002033,0.45745726878307,0.466933575341943,0.352823638687698,109,0.3526795780481,113
"Houston",456,271,241,189,0.640153008640864,0.359846991359136,0.774393245274928,0.225606754725072,0.995521759117377,0.480818494562406,0.466250804095996,0.465219276632794,77,0.668671157417652,21
"Idaho",339,357,266,195,0.676093677782776,0.323906322217224,0.469384959064776,0.530615040935224,0.975,0.460085919958991,0.477336552791781,0.365470617431174,104,0.460234603049433,87
"Illinois",236,383,151,298,0.166427854050127,0.833572145949872,0.240934758355739,0.759065241644261,1.02003770631759,0.543795974881338,0.561186141568856,0.768216822372975,28,0.354652033744618,112
"Indiana",311,328,219,262,0.395350443546141,0.604649556453859,0.468508477751323,0.531491522248677,1.02003770631759,0.528733074438392,0.521589392851811,0.695746125818775,41,0.495944491331917,75
"Iowa",321,215,213,168,0.63702334943844,0.36297665056156,0.721095737526279,0.278904262473721,1.02003770631759,0.523813344196811,0.531017839577885,0.672076296836198,45,0.670915967793378,19
