"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Wins.Over","Rank"
"Air Force",7.03775684238334,12,0.586479736865278,164,412,320,7.75168674935382,4.24831325064619,0.713929906970476,52
"Akron",6.43765467461766,12,0.536471222884805,135,329,403,4.84307065871566,7.15692934128434,-1.594584015902,101
"Alabama",4.78895530515461,13,0.368381177319586,28,527,153,11.9650638797741,1.03493612022588,7.1761085746195,1
"Appalachian State",6.75991018293337,12,0.563325848577781,154,349,204,8.86047032197887,3.13952967802113,2.10056013904551,25
"Arizona",4.75175192257063,12,0.395979326880886,39,297,460,3.85245550247691,8.14754449752309,-0.899296420093717,90
"Arizona State",5.20611504790335,12,0.433842920658612,60,400,478,4.82907051950569,7.17092948049431,-0.377044528397656,77
"Arkansas",5.30229426099649,12,0.441857855083041,67,370,369,6.11743265893783,5.88256734106217,0.815138397941336,51
"Arkansas State",6.81657610862011,12,0.568048009051676,158,324,266,7.0155409610487,4.9844590389513,0.198964852428591,69
"Army",7.37393838904347,11,0.670358035367588,195,330,210,6.28576510504069,4.71423489495931,-1.08817328400278,95
"Auburn",4.93604515133403,12,0.411337095944502,48,387,187,7.70552326147766,4.29447673852234,2.76947811014364,14
"Ball State",7.04019465854688,12,0.58668288821224,165,324,361,5.44519487176114,6.55480512823886,-1.59499978678575,102
"Baylor",6.43879033575008,12,0.536565861312507,137,419,365,6.72048377877228,5.27951622122772,0.281693443022203,64
"Boise State",6.04896298850585,12,0.504080249042154,110,427,272,8.36345672578797,3.63654327421203,2.31449373728212,22
"Boston College",6.29501351831561,12,0.524584459859634,126,229,295,5.99311596638576,6.00688403361424,-0.301897551929853,75
"Bowling Green",6.07300248405885,12,0.506083540338237,112,298,460,4.64708678839571,7.35291321160429,-1.42591569566314,98
"Buffalo",6.77481979981632,12,0.56456831665136,155,198,388,2.91239679441931,9.08760320558069,-3.86242300539701,127
"BYU",6.41534408725493,12,0.534612007271244,133,360,233,8.27936701772992,3.72063298227008,1.86402293047499,32
"California",4.73034595901293,12,0.39419549658441,36,445,511,5.39519845294773,6.60480154705227,0.6648524939348,53
"Central Michigan",6.51671670980137,12,0.543059725816781,141,332,339,5.74597208729392,6.25402791270608,-0.770744622507451,87
"Charlotte",7.08286895765769,12,0.590239079804807,169,302,415,4.63992278900578,7.36007721099422,-2.4429461686519,113
"Cincinnati",5.92795694732432,12,0.493996412277027,103,232,323,4.16578104430203,7.83421895569797,-1.76217590302229,106
"Clemson",5.75166826884933,13,0.442436020680718,69,522,239,10.1126468922623,2.88735310773766,4.36097862341301,5
"Colorado",5.24505431538133,13,0.403465716567795,46,427,266,8.95928323110503,4.04071676889497,3.7142289157237,8
"Colorado State",6.02052020502484,12,0.501710017085403,108,409,334,7.02237489840391,4.97762510159609,1.00185469337908,48
"Connecticut",6.37304312146175,12,0.531086926788479,131,178,337,3.5409879905444,8.4590120094556,-2.83205513091735,122
"Duke",5.53305774363714,12,0.461088145303095,83,280,338,4.85966437070456,7.14033562929544,-0.673393372932583,83
"East Carolina",5.86531384497584,12,0.488776153747987,101,324,433,4.21172493467867,7.78827506532133,-1.65358891029717,104
"Eastern Michigan",6.46345170052248,12,0.53862097504354,139,365,364,5.93711947898695,6.06288052101305,-0.526332221535529,78
"Florida",5.0833917839543,12,0.423615981996191,56,281,215,7.84351335175309,4.15648664824691,2.7601215677988,16
"Florida Atlantic",7.12190864552988,12,0.59349238712749,170,317,477,4.18112997082157,7.81887002917843,-2.94077867470831,123
"Florida International",6.91642530268999,12,0.576368775224166,160,288,418,4.1279659238084,7.87203407619161,-2.78845937888159,121
"Florida State",5.02411318458784,12,0.418676098715654,53,423,293,8.24678350339512,3.75321649660487,3.22267031880728,10
"Fresno State",6.43862665512361,12,0.536552221260301,136,212,371,3.36644280729474,8.63355719270526,-3.07218384782887,124
"Georgia",5.23800091296287,12,0.436500076080239,62,288,289,6.29808830966085,5.70191169033915,1.06008739669799,46
"Georgia Southern",6.53425983273614,12,0.544521652728012,142,319,318,5.76820062460451,6.23179937539549,-0.766059208131631,86
"Georgia State",6.62368372913082,12,0.551973644094235,151,239,319,4.23493298981569,7.76506701018431,-2.38875073931513,110
"Georgia Tech",5.71549640277139,12,0.476291366897616,92,334,300,6.68941167834146,5.31058832165854,0.973915275570071,49
"Hawaii",7.50284931717382,13,0.577142255167217,161,344,487,5.35517775749799,7.64482224250201,-2.14767155967582,109
"Houston",6.44636141053191,12,0.537196784210993,138,456,271,8.50050210760255,3.49949789239745,2.05414069707064,27
"Idaho",6.7873418264696,12,0.565611818872467,157,339,357,6.18856877884379,5.81143122115621,-0.598773047625816,80
"Illinois",5.13284051796281,12,0.427736709830234,57,236,383,3.64801992101666,8.35198007898334,-1.48482059694615,100
"Indiana",5.65792830264432,12,0.47149402522036,89,311,328,5.55000657651516,6.44999342348483,-0.107921726129156,73
"Iowa",5.0825752272716,12,0.423547935605967,55,321,215,7.81192173507699,4.18807826492301,2.72934650780539,18
"Iowa State",5.4113134671618,12,0.45094278893015,75,332,376,4.79989581165285,7.20010418834715,-0.61141765550895,81
"Kansas",5.58699937320297,12,0.465583281100248,85,243,448,3.16511085597463,8.83488914402537,-2.42188851722834,112
"Kansas State",6.18619944674493,12,0.515516620562077,118,386,262,7.54444665734518,4.45555334265482,1.35824721060026,39
"Kent State",6.14114211327219,12,0.511761842772682,116,247,344,4.53858269136808,7.46141730863192,-1.60255942190411,103
"Kentucky",5.59477717537728,12,0.46623143128144,86,372,374,6.18528339735105,5.81471660264895,0.590506221973774,55
"Louisiana-Lafayette",7.04753826565653,12,0.587294855471377,167,286,301,5.88301599649998,6.11698400350002,-1.16452226915655,96
"Louisiana-Monroe",6.64373943764002,12,0.553644953136668,152,280,469,3.88756196904337,8.11243803095663,-2.75617746859665,120
"Louisiana Tech",7.87420236262998,13,0.60570787404846,178,572,425,8.41986037810391,4.58013962189608,0.545658015473935,56
"Louisville",6.01569486202194,12,0.501307905168495,107,544,280,8.88789633412682,3.11210366587318,2.87220147210488,11
"LSU",4.42633550698227,11,0.402394136998389,43,311,180,6.87870369764924,4.12129630235076,2.45236819066697,20
"Marshall",6.77527968100179,12,0.564606640083483,156,317,423,4.22130590125238,7.77869409874762,-2.55397377974941,115
"Maryland",5.83291113365715,12,0.486075927804763,100,305,348,5.76064144086329,6.23935855913671,-0.0722696927938618,72
"Massachusetts",6.43682013296119,12,0.536401677746766,134,280,426,3.82138938660144,8.17861061339856,-2.61543074635975,118
"Memphis",6.15341822402404,12,0.512784852002003,117,474,324,7.83976965036365,4.16023034963635,1.68635142633961,33
"Miami (FL)",5.77077973990586,12,0.480898311658821,95,415,227,8.36272186571989,3.63727813428011,2.59194212581403,19
"Miami (OH)",6.62153140689764,12,0.551794283908137,150,281,292,5.69292915020011,6.30707084979989,-0.928602256697538,92
"Michigan",5.25128113855632,12,0.43760676154636,63,492,150,9.92179177522061,2.07820822477939,4.67051063666429,3
"Michigan State",5.17561532478779,12,0.43130127706565,59,289,333,4.88251574284529,7.11748425715471,-0.293099581942502,74
"Middle Tennessee",7.6161351168516,12,0.6346779264043,189,481,413,6.71217841184055,5.28782158815945,-0.90395670501105,91
"Minnesota",5.91440129404514,12,0.492866774503761,102,364,275,7.18850424686904,4.81149575313096,1.2741029528239,41
