"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"UCLA",0.44181521803008,0.72090760901504,0.970523000250788,18496,13254,0.582551181102362,0.40758625382766,53,51,0.48004494767346,65
"UNLV",0.411183367923138,0.705591683961569,0.82463118450613,7979,23771,0.251307086614173,0.146223758675737,107,109,0.309818780697843,98
"USC",0.71850804029538,0.85925402014769,0.973990904485581,24770,6980,0.780157480314961,0.652918164365408,11,12,0.72659935746996,14
"Utah",0.63418754307866,0.81709377153933,0.899183710360782,19632,12118,0.618330708661417,0.454298336299868,39,41,0.586277641587177,40
"Utah State",0.381347419305513,0.690673709652757,0.905232630008083,11530,20220,0.363149606299213,0.227048534362949,87,87,0.351188620316221,92
"UTEP",0.279007251393521,0.639503625696761,0.838995397908633,6832,24918,0.215181102362205,0.115453397534556,116,114,0.227784234055602,118
"UTSA",0.532173720003728,0.766086860001864,0.826460087838137,13861,17889,0.436566929133858,0.276408078766341,77,75,0.438735869297572,75
"Vanderbilt",0.523557084668399,0.761778542334199,0.927533878257868,16272,15478,0.512503937007874,0.36212267723718,62,66,0.494579267823867,58
"Virginia",0.276687567824497,0.638343783912249,0.934628264471566,10034,21716,0.316031496062992,0.188548860151168,97,98,0.27774384623211,105
"Virginia Tech",0.736328684028184,0.868164342014092,0.898354100990212,23685,8065,0.745984251968504,0.581807289559515,19,20,0.689650679305131,20
"Wake Forest",0.425937293028414,0.712968646514207,0.896588924413834,11656,20094,0.36711811023622,0.234676504397084,86,86,0.376966476361464,88
"Washington",0.904355896455015,0.952177948227508,0.887369826540426,28345,3405,0.892755905511811,0.754319801085971,4,4,0.832584058482669,4
"Washington State",0.718411236166185,0.859205618083092,0.91461601004698,24462,7288,0.770456692913386,0.60545816397722,17,17,0.694865843234618,19
"West Virginia",0.686312619463442,0.843156309731721,0.911631994436518,23285,8465,0.733385826771654,0.563715745716266,22,22,0.661571636982823,26
"Western Kentucky",0.785451285152066,0.892725642576033,0.876157723348353,25334,6416,0.79792125984252,0.624108848257908,15,11,0.724759893147422,15
"Western Michigan",0.870831964365933,0.935415982182967,0.815371070989672,23728,8022,0.747338582677165,0.570003455793106,21,19,0.722480321850449,16
"Wisconsin",0.810543630240525,0.905271815120263,0.985515571697978,25428,6322,0.800881889763779,0.714514362640872,8,10,0.79949620934969,7
"Wyoming",0.536699683251966,0.768349841625983,0.898921386607214,15228,16522,0.479622047244094,0.33126828369939,71,72,0.481507898055038,63
