"Team","Score","Rank"
"Hawaii",-143.694085787846,94
"Tulane",-91.8593117243599,75
"South Carolina",-75.5021824675896,65
"Indiana",-67.4180126398855,63
"Charlotte",-148.532091618636,95
"Appalachian State",-31.5375095804565,42
"Rice",-251.452812858479,122
"Oregon State",-89.9584811006336,74
"Kansas State",-25.618969861418,38
"Colorado State",-29.2304969078654,40
"Toledo",-27.7186612896717,39
"Army",-235.123674842308,119
"Ball State",-162.509886373436,103
"UCLA",-98.0541863251454,78
"Oklahoma",41.9301401466454,11
"Massachusetts",-159.243620781497,101
"Fresno State",-234.548953227657,118
"Clemson",67.6453563913024,8
"Northern Illinois",-118.349293698699,86
"New Mexico State",-251.106666110086,121
"USC",73.0222411134027,7
"Miami (OH)",-196.26734483212,113
"Georgia",-40.984183305002,47
"SMU",-56.3780687040256,59
"Georgia Tech",-11.6968687233445,30
"Rutgers",-165.344142930622,105
"Western Michigan",115.383338006461,6
"BYU",-37.4103927105761,44
"Boise State",-1.3342477280865,24
"Louisiana Tech",-76.7372789146243,67
"San Jose State",-167.745438341438,108
"LSU",-3.51709650606194,25
"Southern Miss",-134.33142436973,91
"Bowling Green",-163.916798745734,104
"South Alabama",-110.713686828311,84
"Kent State",-235.417333539722,120
"Missouri",-96.5714270010282,77
"Texas State",-369.398274046781,127
"Notre Dame",-76.8865839708128,68
"Ole Miss",-58.7250933065677,60
"Louisville",24.3096605107959,14
"Maryland",-70.1910391563542,64
"Troy",-54.163417455605,56
"Iowa State",-149.171919954348,96
"Louisiana-Monroe",-150.938950653255,98
"Connecticut",-189.765401769046,111
"Wyoming",-39.5737380735578,46
"Old Dominion",-45.9687630508376,50
"Middle Tennessee",-154.452372267951,100
"UTEP",-355.073645987357,125
"Cincinnati",-162.197511590979,102
"Central Michigan",-199.579339253968,115
"Virginia",-196.869511797471,114
"Texas Tech",-142.972265873061,93
"Florida Atlantic",-194.94600989907,112
"Western Kentucky",-21.5583488283969,37
"UTSA",-114.553640915055,85
"Virginia Tech",41.1773612836177,12
"Arkansas State",-107.657238834746,81
"Utah State",-104.202140607251,80
"Georgia State",-175.559615433306,109
"Idaho",-54.3126561044315,57
"California",-86.0544687719643,72
"Kentucky",-52.3731285362084,54
"UNLV",-230.842840667597,117
"Ohio",-131.145122011324,90
"UCF",-55.8555033571698,58
"Arkansas",-44.94329687886,49
"New Mexico",-80.5618412781552,69
"Georgia Southern",-109.834691373277,83
"Eastern Michigan",-107.684414409068,82
"Wake Forest",-76.2200023716069,66
"Nevada",-204.302064936946,116
"Akron",-356.106663713854,126
"Penn State",307.533806587567,2
"North Carolina",0.557736349611247,23
"Washington State",-44.6008922016815,48
"North Carolina State",-39.3373754298253,45
"Tulsa",-15.3039704881327,33
"Boston College",-84.7883808834819,70
"Houston",23.0573782351489,15
"Temple",-8.62785085355061,28
"Pittsburgh",128.17846098596,5
"Michigan State",-94.4438384322496,76
"Baylor",-60.9017812945361,61
"Navy",1.21555382016349,22
"North Texas",-256.307714920606,123
"East Carolina",-149.748333469981,97
"Florida International",-167.278265269072,107
"Texas A&M",-14.4124246795052,32
"Colorado",9.961961468885,19
"Vanderbilt",-52.1260186932657,53
"Arizona State",-128.238971091048,88
"Mississippi State",-50.040543774924,52
"Miami (FL)",56.6218982091394,10
"South Florida",-5.36523035746507,26
"Kansas",-178.216014033817,110
"San Diego State",-54.1474871837397,55
"Florida State",20.4373942411744,17
"Oregon",-86.0230146559969,71
"Ohio State",249.759506803188,4
"Alabama",540.533553941114,1
"Duke",-166.001972144702,106
"Utah",-32.2115871841964,43
"Buffalo",-407.41617004237,128
"Texas",-102.580059721699,79
"TCU",-49.6832633739469,51
"Iowa",32.311607045504,13
"Syracuse",-87.8152664212848,73
"Florida",-16.2390904909172,34
"Oklahoma State",13.3431044853606,18
"Nebraska",-17.8413627081215,35
"Wisconsin",21.9438519568961,16
"Louisiana-Lafayette",-124.642874052816,87
"Washington",59.5544222546974,9
"Air Force",-10.9567478922961,29
"Stanford",6.15661089546712,21
"Purdue",-152.57344444642,99
"Northwestern",-61.350057428611,62
"Memphis",-18.4089752084188,36
"Marshall",-290.001409619175,124
"Illinois",-128.677839918692,89
"Minnesota",-29.2821876965379,41
"Tennessee",6.4159645589765,20
"Arizona",-134.753839756463,92
"Auburn",-8.51914319505156,27
"Michigan",257.362355056897,3
"West Virginia",-13.379037644104,31
