Visitor.Team,Visitor.Score,Home.Team,Home.Score,Winner
NC State,54.6,Notre Dame,45.4,Notre Dame
San Jose State,9,BYU,91,BYU
Buffalo,38.2,Akron,61.8,Akron
Air Force,26.6,Colorado State,73.4,Colorado State
New Mexico,7.5,Wyoming,92.5,Wyoming
UNLV,76,Fresno State,24,Fresno State
San Diego State,67.9,Hawaii,32.1,San Diego State
Boise State,89.8,Utah State,10.2,Boise State
California,14.2,Colorado,85.8,Colorado
Washington State,74.7,Arizona,25.3,Washington State
UCLA,22.8,Washington,77.2,Washington
Utah,42.3,Oregon,57.7,Utah
USC,76.7,Arizona State,23.3,USC
Arkansas,76.7,Ole Miss,23.3,Ole Miss
Georgia,50.2,Florida,49.8,Florida 
Vanderbilt,51.1,South Carolina,48.9,South Carolina
Tennessee,42.1,Kentucky,57.9,Kentucky
Mississippi State,26.3,Texas A&M,73.7,Texas A&M
Texas State,22.1,Coastal Carolina,77.9,Coastal Carolina
Georgia Southern,35.7,Troy,64.3,Troy
UL-Monroe,25.9,Idaho,74.1,UL-Monroe
Arkansas State,77,New Mexico State,23,Arkansas State
Bowling Green,22.5,Kent State,77.5,Bowling Green
Miami (OH),25.3,Ohio,74.7,Ohio
Central Michigan,42.7,Western Michigan,57.3,Central Michigan
Northern Illinois,58.4,Toledo,41.6,Northern Illinois
Ball State,27.6,Eastern Michigan,72.4,Eastern Michigan
Navy,71.5,Temple,28.5,Temple
Idaho,15.6,Troy,84.4,Troy
Marshall,71,FAU,29,FAU
Memphis,48.9,Tulsa,51.1,Tulsa
UCLA,35.2,Utah,64.8,Utah
Georgia Tech,76.5,Virginia,23.5,Georgia Tech
Syracuse,16.9,Florida State,83.1,Florida State
Virginia Tech,57,Miami (FL),43,Virginia Tech
Clemson,52.2,NC State,47.8,NC State
Houston,40.2,USF,59.8,USF
UCF,50.8,SMU,49.2,UCF
Cincinnati,79.4,Tulane,20.6,Cincinnati
East Carolina,59.3,Connecticut,40.7,East Carolina
Baylor,38.3,Kansas,61.7,Baylor
Iowa State,15.7,West Virginia,84.3,West Virginia
Kansas State,79.2,Texas Tech,20.8,Texas Tech
Texas,45.7,TCU,54.3,Texas
Oklahoma,39.7,Oklahoma State,60.3,Oklahoma State
Minnesota,23,Michigan,77,Michigan
Wisconsin,77.6,Indiana,22.4,Wisconsin
Illinois,55.8,Purdue,44.2,Purdue
Northwestern,36.6,Nebraska,63.4,Northwestern
Penn State,66.9,Michigan State,33.1,Michigan State
Maryland,54.3,Rutgers,45.7,Maryland
Ohio State,61.5,Iowa,38.5,Ohio State
Rice,21.7,UAB,78.3,UAB
North Texas,18.7,Louisiana Tech,81.3,Louisiana Tech
Charlotte,17.3,Old Dominion,82.7,Old Dominion
UTSA,80.1,FIU,19.9,UTSA
UTEP,16.1,Middle Tennessee,83.9,Middle Tennessee
Wake Forest,25.2,Notre Dame,74.8,Notre Dame
Army,62.9,Air Force,37.1,Air Force
Utah State,34.8,New Mexico,65.2,New Mexico
Hawaii,27.1,UNLV,72.9,UNLV
San Diego State,84.9,San Jose State,15.1,San Diego State
Colorado State,36.8,Wyoming,63.2,Colorado State
Nevada,11.4,Boise State,88.6,Boise State
BYU,83.9,Fresno State,16.1,BYU
Oregon State,57.2,California,42.8,Oregon State
Oregon,33,Washington,67,Washington
Colorado,79.8,Arizona State,20.2,Arizona State
Arizona,23.6,USC,76.4,USC
Stanford,43.7,Washington State,56.3,Stanford
Western Kentucky,51.9,Vanderbilt,48.1,Vanderbilt
Coastal Carolina,12.4,Arkansas,87.6,Arkansas
Auburn,69.6,Texas A&M,30.4,Auburn
South Carolina,20.6,Georgia,79.4,Georgia
Massachusetts,10.3,Mississippi State,89.7,Mississippi State
Ole Miss,25.5,Kentucky,74.5,Kentucky
Southern Miss,23.3,Tennessee,76.7,Tennessee
Florida,71.9,Missouri,28.1,Missouri
LSU,44.2,Alabama,55.8,Alabama
UL-Lafayette,16,South Alabama,84,UL-Lafayette
New Mexico State,34.8,Texas State,65.2,New Mexico State
Appalachian State,86.9,UL-Monroe,13.1,Appalacahian State
Georgia State,24.6,Georgia Southern,75.4,Georgia Southern
Akron,26.5,Miami (OH),73.5,Miami (OH)
Bowling Green,41.4,Buffalo,58.6,Buffalo
Eastern Michigan,15.9,Central Michigan,84.1,Central Michigan
Kent State,12.9,Western Michigan,87.1,Western Michigan
Toledo,29.2,Ohio,70.8,Toledo
Ball State,10.3,Northern Illinois,89.7,Northern Illinois
Georgia Southern,17.6,Appalachian State,82.4,Appalachian State
North Carolina,37.8,Pittsburgh,62.2,North Carolina
Temple,43.5,Cincinnati,56.5,Temple
BYU,80,UNLV,20,BYU
Washington,51.7,Stanford,48.3,Washington
Notre Dame,31.9,Miami (FL),68.1,Miami (FL)
NC State,75.4,Boston College,24.6,NC State
Wake Forest,28.4,Syracuse,71.6,Syracuse
Virginia,11.2,Louisville,88.8,Louisville
Virginia Tech,70.4,Georgia Tech,29.6,Georgia Tech
Florida State,51.5,Clemson,48.5,Florida State
Connecticut,12.6,UCF,87.4,UCF
Tulane,25.8,East Carolina,74.2,East Carolina
SMU,39.5,Navy,60.5,SMU
Oklahoma State,77.5,Iowa State,22.5,Oklahoma State
Texas Tech,61.9,Baylor,38.1,Baylor
TCU,16.5,Oklahoma,83.5,TCU
Kansas,41.5,Texas,58.5,Texas
West Virginia,52.6,Kansas State,47.4,West Virginia
Rutgers,15.5,Penn State,84.5,Penn State
Nebraska,54,Minnesota,46,Minnesota
Michigan,83.5,Maryland,16.5,Michigan
Purdue,12.1,Northwestern,87.9,Northwestern
Michigan State,26.9,Ohio State,73.1,Ohio State
Iowa,37,Wisconsin,63,Wisconsin
Indiana,59.3,Illinois,40.7,Indiana
UAB,46.1,UTSA,53.9,UTSA
Middle Tennessee,83.8,Charlotte,16.2,Middle Tennessee
FAU,22.5,Louisiana Tech,77.5,FAU
Southern Miss,73.4,Rice,26.6,Southern Miss
UTEP,59.9,North Texas,40.1,UTEP
Western Kentucky,71.1,Marshall,28.9,Marshall
Old Dominion,73.3,FIU,26.7,Old Dominion
Duke,40.4,Army,59.6,Duke
Maine,33.6,Massachusetts,66.4,Massachusetts
Wyoming,65.1,Air Force,34.9,Wyoming
Fresno State,29.1,Hawaii,70.9,Fresno State
San Jose State,18.1,Nevada,81.9,Nevada
Boise State,51.3,Colorado State,48.7,Colorado State
Oregon State,21.3,Arizona,78.7,Arizona
USC,47.2,Colorado,52.8,Colorado
Washington State,33.8,Utah,66.2,Utah
Arizona State,20.2,UCLA,79.8,UCLA
Alabama,74.9,Mississippi State,25.1,Alabama
Florida,78.3,South Carolina,21.7,Florida
UL-Lafayette,23.6,Ole Miss,76.4,UL-Lafayette
Georgia,40.1,Auburn,59.9,Auburn
New Mexico,13.8,Texas A&M,86.2,Texas A&M
Arkansas,28.7,LSU,71.3,LSU
Kentucky,68.5,Vanderbilt,31.5,Kentucky
Tennessee,57.9,Missouri,42.1,Tennessee
Arkansas State,34.8,South Alabama,65.2,South Alabama
Georgia State,65.4,Texas State,34.6,Georgia State
Troy,76.9,Coastal Carolina,23.1,Troy
Central Michigan,78.6,Kent State,21.4,Central Michigan
Ohio,68.5,Akron,31.5,Ohio
Western Michigan,42.8,Northern Illinois,57.2,Western Michigan
Toledo,71.7,Bowling Green,28.3,Toledo
Eastern Michigan,24.2,Miami (OH),75.8,Miami (OH)
Buffalo,69.1,Ball State,30.9,Ball State
Tulsa,39.3,USF,60.7,Tulsa
Middle Tennessee,28.8,Western Kentucky,71.2,Middle Tennessee
UNLV,73,New Mexico,27,UNLV
Pittsburgh,22,Virginia Tech,78,Virginia Tech
Syracuse,18,Louisville,82,Louisville
The Citadel,10.1,Clemson,89.9,Clemson
Delaware State,8.4,Florida State,91.6,Florida State
Western Carolina,8.1,North Carolina,91.9,North Carolina
Georgia Tech,66.1,Duke,33.9,Georgia Tech
NC State,79,Wake Forest,21,NC State
Virginia,18.6,Miami (FL),81.4,Virginia
Connecticut,27.6,Boston College,72.4,Boston College
UCF,64.5,Temple,35.5,Temple
Cincinnati,58.7,East Carolina,41.3,Cincinnati
SMU,43.9,Memphis,56.1,Memphis
Houston,83,Tulane,17,Houston
Iowa State,39.2,Baylor,60.8,Baylor
TCU,70.4,Texas Tech,29.6,TCU
Oklahoma,78,Kansas,22,Oklahoma
Kansas State,24.8,Oklahoma State,75.2,Oklahoma State
Texas,34.1,West Virginia,65.9,West Virginia
Minnesota,28.4,Northwestern,71.6,Northwestern
Purdue,18.5,Iowa,81.5,Iowa
Rutgers,24.3,Indiana,75.7,Indiana
Michigan,49.3,Wisconsin,50.7,Wisconsin
Maryland,25.3,Michigan State,74.7,Michigan State
Nebraska,29.3,Penn State,70.7,Nebraska
Illinois,24,Ohio State,76,Ohio State
Marshall,47.8,UTSA,52.2,UTSA
Charlotte,15.7,Southern Miss,84.3,Southern Miss
Rice,21.7,Old Dominion,78.3,Old Dominion
Army,79.3,North Texas,20.7,Army
FIU,18.5,FAU,81.5,FAU
Louisiana Tech,65.7,UTEP,34.3,UTEP
Massachusetts,13.3,BYU,86.7,BYU
Navy,42.2,Notre Dame,57.8,Navy
Fresno State,13,Wyoming,87,Wyoming
Hawaii,57.4,Utah State,42.6,Utah State
San Jose State,12.7,Colorado State,87.3,Colorado State
Air Force,24.1,Boise State,75.9,Boise State
Nevada,20.3,San Diego State,79.7,San Diego State
Arizona State,50,Oregon State,50,Oregon State
Utah,43.4,Washington,56.6,Washington
UCLA,34.9,USC,65.1,USC
California,14.1,Stanford,85.9,Stanford
Arizona,28,Oregon,72,Oregon
UL-Monroe,14.5,Auburn,85.5,Auburn
Wofford,13.7,South Carolina,86.3,South Carolina
Kentucky,38.3,Georgia,61.7,Georgia
LSU,75.5,Tennessee,24.5,Tennessee
Mercer,14,Alabama,86,Alabama
Texas A&M,70.4,Ole Miss,29.6,Ole Miss
Missouri,40.1,Vanderbilt,59.9,Missouri
Mississippi State,28.9,Arkansas,71.1,Mississippi State
UAB,17.9,Florida,82.1,Florida
Texas State,16.4,Arkansas State,83.6,Arkansas State
New Mexico State,16,UL-Lafayette,84,UL-Lafayette
South Alabama,44,Georgia Southern,56,South Alabama
Coastal Carolina,55.8,Idaho,44.2,Idaho
Bowling Green,26.9,Eastern Michigan,73.1,Eastern Michigan
Kent State,31.9,Akron,68.1,Akron
Miami (OH),86.3,Ball State,13.7,Miami (OH)
Ole Miss,26.2,Mississippi State,73.8,Mississippi State
Miami (FL),58.1,Pittsburgh,41.9,Pittsburgh
Virginia Tech,87.8,Virginia,12.2,Virginia Tech
Navy,33.1,Houston,66.9,Houston
USF,64.5,UCF,35.5,USF
Baylor,13.5,TCU,86.5,TCU
Texas Tech,29.7,Texas,70.3,Texas
Iowa,34.1,Nebraska,65.9,Iowa
Western Kentucky,90.7,FIU,9.3,FIU
Ohio,81.6,Buffalo,18.4,Ohio
Western Michigan,62.8,Toledo,37.2,Western Michigan
Northern Illinois,27.3,Central Michigan,72.7,Central Michigan
New Mexico,11.8,San Diego State,88.2,New Mexico
California,13.2,UCLA,86.8,UCLA
Missouri,27.7,Arkansas,72.3,Arkansas
Texas State,10.6,Troy,89.4,Troy
Georgia,53.9,Georgia Tech,46.1,Georgia
Duke,77.3,Wake Forest,22.7,Duke
Boston College,21.6,Syracuse,78.4,Syracuse
North Carolina,21,NC State,79,NC State
Connecticut,12.2,Cincinnati,87.8,Cincinnati
Tulane,9.3,SMU,90.7,SMU
Temple,38.4,Tulsa,61.6,Tulsa
East Carolina,17.3,Memphis,82.7,Memphis
Iowa State,11.3,Kansas State,88.7,Kansas State
Kansas,17.1,Oklahoma State,82.9,Oklahoma State
West Virginia,41.2,Oklahoma,58.8,Oklahoma
Ohio State,39.6,Michigan,60.4,Ohio State
Penn State,83.3,Maryland,16.7,Penn State
Northwestern,87.2,Illinois,12.8,Northwestern
Indiana,56.4,Purdue,43.6,Purdue
Wisconsin,63.3,Minnesota,36.7,Wisconsin
Michigan State,78.4,Rutgers,21.6,Michigan State
North Texas,29.8,Rice,70.2,Rice
FAU,81.5,Charlotte,18.5,Charlotte
UTEP,27,UAB,73,UAB
Southern Miss,32,Marshall,68,Marshall
Old Dominion,21.9,Middle Tennessee,78.1,Middle Tennessee
UTSA,60.4,Louisiana Tech,39.6,UTSA
Wyoming,89,San Jose State,11,Wyoming
Utah State,13.4,Air Force,86.6,Air Force
Boise State,87.7,Fresno State,12.3,Boise State
UNLV,67.3,Nevada,32.7,UNLV
BYU,82.4,Hawaii,17.6,BYU
Colorado,42.2,Utah,57.8,Utah
Notre Dame,18.5,Stanford,81.5,Stanford
Arizona,60,Arizona State,40,Arizona
Washington State,31.1,Washington,68.9,Washington
Oregon State,15.6,Oregon,84.4,Oregon
Louisville,53.9,Kentucky,46.1,Louisville
Clemson,82.9,South Carolina,17.1,Clemson
Alabama,38,Auburn,62,Auburn
Vanderbilt,26.9,Tennessee,73.1,Tennessee
Florida State,61.5,Florida,38.5,Florida State
Texas A&M,17.6,LSU,82.4,LSU
Appalachian State,86.5,Georgia State,13.5,Appalachian State
Georgia Southern,35.8,UL-Lafayette,64.2,UL-Lafayette
Arkansas State,84.7,UL-Monroe,15.3,Arkansas State
Idaho,76.6,New Mexico State,23.4,New Mexico State
Central Michigan,73.4,Ohio,26.6,Central Michign
USC,56.3,Washington,43.7,Washington
Troy,81,Arkansas State,19,Troy
Georgia Southern,66.6,Coastal Carolina,33.4,Coastal Carolina
Idaho,33.8,Georgia State,66.2,Idaho
South Alabama,86,New Mexico State,14,South Alabama
UL-Lafayette,15.3,Appalachian State,84.7,Appalachian State
Houston,30.1,USF,69.9,USF
UTSA,38.1,Middle Tennessee,61.9,UTSA
Oklahoma State,68,West Virginia,32,Oklahoma State
Auburn,58.8,Florida,41.2,Auburn
UNLV,13.8,Colorado State,86.2,Colorado State
Florida State,61.7,Virginia Tech,38.3,Florida State
Ohio State,40.3,Wisconsin,59.7,Ohio State
Army,40.2,Navy,59.8,Navy
