Team,Opponent,Score
Georgia Tech Yellow Jackets,Mercer Bears,0.76078608
Oregon Ducks,UC Davis Aggies,0.760654592
Baylor Bears,Rice Owls,0.759375757
Akron Zips,Virginia Military Institute Keydets,0.75892935
Vanderbilt Commodores,Middle Tennessee Blue Raiders,0.758561143
Arizona State Sun Devils,Northern Arizona Lumberjacks,0.75545181
Georgia Southern Eagles,South Alabama Jaguars,0.754204966
UTSA Roadrunners,Alabama State Hornets,0.751018501
Fresno State Bulldogs,Sacramento State Hornets,0.749679418
Mississippi State Bulldogs,South Alabama Jaguars,0.746950819
Pittsburgh Panthers,Villanova Wildcats,0.746517219
Virginia Tech Hokies,Liberty Flames,0.744839834
Miami (FL) Hurricanes,Florida Atlantic Owls,0.744524933
Akron Zips,Marshall Thundering Herd,0.743855644
Alabama Crimson Tide,USC Trojans,0.737738276
Georgia Bulldogs,Nicholls State Colonels,0.73225177
Utah Utes,San Jose State Spartans,0.729678448
Charlotte 49ers,Elon Phoenix,0.725716361
North Carolina Tar Heels,Illinois Fighting Illini,0.720972294
Louisiana-Monroe Warhawks,Southern University Jaguars,0.712528884
Arkansas Razorbacks,TCU Horned Frogs,0.70403506
UTSA Roadrunners,Arizona State Sun Devils,0.701222978
San Diego State Aztecs,California Golden Bears,0.700334465
Navy Midshipmen,Connecticut Huskies,0.698262096
Idaho Vandals,Montana State Bobcats,0.69629676
Penn State Nittany Lions,Kent State Golden Flashes,0.69532437
Central Michigan Chippewas,UNLV Rebels,0.694739651
Vanderbilt Commodores,South Carolina Gamecocks,0.693188321
Louisiana Ragin' Cajuns,McNeese State Cowboys,0.692799097
New Mexico Lobos,New Mexico State Aggies,0.689658368
SMU Mustangs,Liberty Flames,0.685906218
Clemson Tigers,Auburn Tigers,0.672008508
Tennessee Volunteers,Virginia Tech Hokies,0.670204445
Grambling State Tigers,Arizona Wildcats,0.669302055
Miami (OH) RedHawks,Eastern Illinois Panthers,0.669046496
Appalachian State Mountaineers,Tennessee Volunteers,0.667107167
Tennessee Volunteers,Ohio Bobcats,0.65884643
North Dakota State Bison,Eastern Washington Eagles,0.658559297
Kentucky Wildcats,Southern Miss Golden Eagles,0.658230755
Virginia Cavaliers,Connecticut Huskies,0.654832132
Middle Tennessee Blue Raiders,Bowling Green Falcons,0.65442872
Arizona State Sun Devils,Texas Tech Red Raiders,0.651395178
Rutgers Scarlet Knights,Howard Bison,0.64747592
Louisiana Ragin' Cajuns,South Alabama Jaguars,0.644276418
Colorado State Rams,UTSA Roadrunners,0.643321958
Oklahoma State Cowboys,Central Michigan Chippewas,0.642699863
Baylor Bears,SMU Mustangs,0.641462825
BYU Cougars,Arizona Wildcats,0.638217367
Florida Atlantic Owls,Southern Illinois Salukis,0.638120363
West Virginia Mountaineers,Youngstown State Penguins,0.638013795
Clemson Tigers,Troy Trojans,0.633196935
Indiana Hoosiers,Florida International Golden Panthers,0.628290048
Albany Great Danes,Buffalo Bulls,0.627431572
Massachusetts Minutemen,Florida International Golden Panthers,0.62497809
Florida Gators,Massachusetts Minutemen,0.620919594
TCU Horned Frogs,South Dakota State Jackrabbits,0.620765693
Boston College Eagles,Massachusetts Minutemen,0.618789095
Houston Cougars,Oklahoma Sooners,0.602920284
USF Bulls,Syracuse Orange,0.599943845
Iowa Hawkeyes,North Dakota State Bison,0.597453033
Mississippi Rebels,Florida State Seminoles,0.596721031
Texas A&M Aggies,UCLA Bruins,0.592402432
Utah Utes,BYU Cougars,0.590910865
Wake Forest Demon Deacons,Tulane Green Wave,0.590815342
Kent State Golden Flashes,North Carolina A&T Aggies,0.590365808
Louisiana-Monroe Warhawks,Georgia Southern Eagles,0.585654875
Northwestern Wildcats,Western Michigan Broncos,0.580061973
Houston Cougars,Cincinnati Bearcats,0.571496309
East Carolina Pirates,North Carolina State Wolfpack,0.570818025
Wisconsin Badgers,LSU Tigers,0.56596116
Illinois State Redbirds,Northwestern Wildcats,0.564388658
Eastern Washington Eagles,Washington State Cougars,0.559571636
Texas Longhorns,Notre Dame Fighting Irish,0.557318555
Georgia Bulldogs,North Carolina Tar Heels,0.554782242
Colorado Buffaloes,Michigan Wolverines,0.552327556
Georgia Tech Yellow Jackets,Boston College Eagles,0.550445959
Army Black Knights,Temple Owls,0.546499875
Louisiana Tech Bulldogs,Arkansas Razorbacks,0.543300978
Wisconsin Badgers,Georgia State Panthers,0.54200685
Navy Midshipmen,Tulane Green Wave,0.537574392
Tennessee-Martin Skyhawks,Hawaii Warriors,0.537025952
Wake Forest Demon Deacons,Duke Blue Devils,0.53665111
Ohio Bobcats,Texas State Bobcats,0.53468357
Rutgers Scarlet Knights,New Mexico Lobos,0.530260386
