TEAM,CONF W,CONF L,OVERALL W,OVERALL L
Florida State,5,3,9,4
Boston College,5,3,9,5
Maryland,4,4,8,5
Wake Forest,4,4,8,5
Clemson,4,4,7,6
NC State,4,4,6,7
Virginia Tech,5,3,10,4
Georgia Tech,5,3,9,4
North Carolina,4,4,8,5
Miami (FL),4,4,7,6
Virginia,3,5,5,7
Duke,1,7,4,8
Missouri,5,3,10,4
Nebraska,5,3,9,4
Kansas,4,4,8,5
Kansas State,2,6,5,7
Colorado,2,6,5,7
Iowa State,0,8,2,10
Texas,7,1,12,1
Oklahoma,7,1,12,2
Texas Tech,7,1,11,2
Oklahoma State,5,3,9,4
Baylor,2,6,4,8
Texas A&M,2,6,4,8
Cincinnati,6,1,11,3
Pittsburgh,5,2,9,4
West Virginia,5,2,9,4
Rutgers,5,2,8,5
Connecticut,3,4,8,5
South Florida,2,5,8,5
Louisville,1,6,5,7
Syracuse,1,6,3,9
Penn State,7,1,11,2
Ohio State,7,1,10,3
Michigan State,6,2,9,4
Northwestern,5,3,9,4
Iowa,5,3,9,4
Minnesota,3,5,7,6
Wisconsin,3,5,7,6
Illinois,3,5,5,7
Purdue,2,6,4,8
Michigan,2,6,3,9
Indiana,1,7,3,9
Navy,0,0,8,5
Notre Dame,0,0,7,6
Army,0,0,3,9
Western Kentucky,0,0,2,10
East Carolina,6,2,9,5
Southern Mississippi,4,4,7,6
Memphis,4,4,6,7
Marshall,3,5,4,8
UCF,3,5,4,8
UAB,3,5,4,8
Tulsa,7,1,11,3
Rice,7,1,10,3
Houston,6,2,8,5
UTEP,4,4,5,7
Tulane,1,7,2,10
SMU,0,8,1,11
Utah,8,0,13,0
TCU,7,1,11,2
BYU,6,2,10,3
Air Force,5,3,8,5
Colorado State,4,4,7,6
UNLV,2,6,5,7
New Mexico,2,6,4,8
Wyoming,1,7,4,8
San Diego State,1,7,2,10
Buffalo,5,3,8,6
Bowling Green,4,4,6,6
Temple,4,4,5,7
Akron,3,5,5,7
Kent State,3,5,4,8
Ohio,3,5,4,8
Miami (OH),1,7,2,10
Ball State,8,0,12,2
Western Michigan,6,2,9,4
Central Michigan,6,2,8,5
