Visitor,Visitor Score,Home,Home Score
 Navy,31, Duke,41
 Utah,58, Utah State,10
 Virginia,10, Connecticut,45
 Western Kentucky,7, Alabama,41
 Western Michigan,51, Idaho,28
 Wisconsin,13, Fresno State,10
 Kansas State,29, Louisville,38
 West Virginia,14, Colorado,17
 Baylor,28, Connecticut,31
 Akron,22, Army,3
 Alabama St.,10, UAB,45
 Alabama,49, Arkansas,14
 Arizona,31, UCLA,10
 Ball State,42, Indiana,20
 Boise State,37, Oregon,32
 Buffalo,21, Missouri,42
 Fresno State,55, Toledo,54
 UCF,7, Boston College,34
 Central Michigan,25, Purdue,32
 East Carolina,24, North Carolina State,30
 Eastern Michigan,24, Maryland,51
 Florida Atlantic,3, Minnesota,37
 Florida,30, Tennessee,6
 Georgia,27, Arizona State,10
 Houston,25, Colorado State,28
 Idaho,17, Utah State,42
 Indiana State,3, Northern Illinois,48
 Iowa State,31, UNLV,34
 Iowa,20, Pittsburgh,21
 Kent State,27, Louisiana-Lafayette,44
 LSU,26, Auburn,21
 Marshall,34, Southern Mississippi,27
 Massachusetts,14, Texas Tech,56
 Miami (Ohio),20, Cincinnati,45
 Miami (Florida),41, Texas A&M,23
 Middle Tennessee,14, Arkansas State,31
 Mississippi State,7, Georgia Tech,38
 Murray State,9, Western Kentucky,50
 New Mexico State,34, UTEP,33
 New Mexico,14, Tulsa,56
 Nicholls State,10, Memphis,31
 Louisiana-Monroe,10, Tulane,24
 Northeastern,21, Syracuse,30
 Notre Dame,7, Michigan State,23
 Ohio,8, Northwestern,16
 Portland State,9, Washington State,48
 Rice,10, Texas,52
 Rutgers,21, Navy,23
 Sam Houston State,14, Kansas,38
 San Jose State,10, Stanford,23
 South Carolina State,0, Clemson,54
 South Florida,17, Florida International,9
 Southeastern Louisiana,26, Louisiana Tech,41
 Temple,3, Penn State,45
 Tennessee Tech,7, Western Michigan,41
 TCU,48, SMU,7
 Troy,10, Ohio State,28
 Utah,30, Air Force,23
 Vanderbilt,23, Mississippi,17
 Virginia Tech,20, North Carolina,17
 Wake Forest,12, Florida State,3
 Wyoming,0, BYU,44
 Wofford,13, South Carolina,23
 USC,21, Oregon State,27
 SMU,27, Tulane,34
 Connecticut,26, Louisville,21
 Alabama,41, Georgia,30
 UAB,13, South Carolina,26
 Arkansas State,17, Memphis,29
 Arkansas,10, Texas,52
 Bowling Green,45, Wyoming,16
 Buffalo,25, Central Michigan,27
 Fresno State,36, UCLA,31
 UCF,13, UTEP,58
 Cincinnati,17, Akron,15
 Colorado State,7, California,42
 Colorado,21, Florida State,39
 Florida International,35, Toledo,16
 Houston,41, East Carolina,24
 Idaho,17, San Diego State,45
 Illinois,24, Penn State,38
 Kent State,20, Ball State,41
 Marshall,3, West Virginia,27
 Maryland,20, Clemson,17
 Michigan State,42, Indiana,29
 Minnesota,21, Ohio State,34
 Mississippi State,24, LSU,34
 Mississippi,31, Florida,30
 Morgan State,0, Rutgers,38
 North Carolina,28, Miami (Florida),24
 Nevada,49, UNLV,27
 New Mexico,35, New Mexico State,24
 North Texas,20, Rice,77
 Northern Illinois,37, Eastern Michigan,0
 Northwestern,22, Iowa,17
 Oregon,63, Washington State,14
 Pittsburgh,34, Syracuse,24
 Purdue,21, Notre Dame,38
 Rhode Island,0, Boston College,42
 San Jose State,20, Hawai'i,17
 South Florida,41, North Carolina State,10
 Louisiana-Lafayette,37, Kansas State,45
 Stanford,35, Washington,28
 Tennessee,12, Auburn,14
 TCU,10, Oklahoma,35
 Troy,24, Oklahoma State,55
 Army,17, Texas A&M,21
 Navy,24, Wake Forest,17
 Virginia Military,31, Ohio,51
 Virginia Tech,35, Nebraska,30
 Virginia,3, Duke,31
 Weber State,21, Utah,37
 Western Kentucky,3, Kentucky,41
 Western Michigan,7, Temple,3
 Wisconsin,25, Michigan,27
 Central Arkansas,34, Tulsa,62
 Florida Atlantic,13, Middle Tennessee,14
 Louisiana Tech,3, Boise State,38
 Memphis,33, UAB,30
 Oregon State,28, Utah,31
 Pittsburgh,26, South Florida,21
 BYU,34, Utah State,14
 Cincinnati,33, Marshall,10
 Akron,30, Kent State,27
 Alcorn St.,10, New Mexico State,45
 Arizona State,14, California,24
 Auburn,13, Vanderbilt,14
 Ball State,31, Toledo,0
 Boston College,38, North Carolina State,31
 Connecticut,12, North Carolina,38
 Duke,0, Georgia Tech,27
 Eastern Michigan,24, Bowling Green,21
 Florida International,42, North Texas,10
 Florida State,41, Miami (Florida),39
 Florida,38, Arkansas,7
 Hawai'i,32, Fresno State,29
 Illinois,45, Michigan,20
 Indiana,7, Minnesota,16
 Iowa,13, Michigan State,16
 Kansas,35, Iowa State,33
 Kentucky,14, Alabama,17
 Maryland,0, Virginia,31
 Missouri,52, Nebraska,17
 UNLV,28, Colorado State,41
 Nevada,49, Idaho,14
 Northern Illinois,9, Tennessee,13
 Ohio State,20, Wisconsin,17
 Ohio,20, Western Michigan,41
 Oklahoma,49, Baylor,17
 Oregon,10, USC,44
 Penn State,20, Purdue,6
 Rice,28, Tulsa,63
 Rutgers,17, West Virginia,24
 San Diego State,7, TCU,41
 South Carolina,31, Mississippi,24
 SMU,17, UCF,31
 Louisiana-Lafayette,44, Louisiana-Monroe,35
 Stanford,21, Notre Dame,28
 Temple,28, Miami (Ohio),10
 Texas A&M,28, Oklahoma State,56
 Texas Tech,58, Kansas State,28
 Texas,38, Colorado,14
 UTEP,40, Southern Mississippi,37
 Army,44, Tulane,13
 Navy,33, Air Force,27
 Washington State,3, UCLA,28
 Washington,14, Arizona,48
 Western Kentucky,13, Virginia Tech,27
 Wyoming,0, New Mexico,24
 Troy,30, Florida Atlantic,17
 UAB,20, Houston,45
 Clemson,7, Wake Forest,12
 Louisville,35, Memphis,28
 Arizona State,0, USC,28
 Arizona,23, Stanford,24
 Arkansas,25, Auburn,22
 Ball State,24, Western Kentucky,7
 Boise State,24, Southern Mississippi,7
 Bowling Green,37, Akron,33
 UCLA,24, Oregon,31
 UCF,14, Miami (Florida),20
 Colorado,14, Kansas,30
 East Carolina,20, Virginia,35
 Eastern Michigan,13, Army,17
 Idaho,32, Fresno State,45
 Iowa State,10, Baylor,38
 Iowa,45, Indiana,9
 Kansas State,44, Texas A&M,30
 LSU,21, Florida,51
 Louisiana Tech,14, Hawai'i,24
 Miami (Ohio),13, Northern Illinois,17
 Michigan State,37, Northwestern,20
 Middle Tennessee,21, Florida International,31
 Minnesota,27, Illinois,20
 Nebraska,31, Texas Tech,37
 New Mexico State,48, Nevada,45
 New Mexico,3, BYU,21
 Louisiana-Monroe,29, Arkansas State,37
 Notre Dame,24, North Carolina,29
 Ohio,26, Kent State,19
 Oklahoma State,28, Missouri,23
 Penn State,48, Wisconsin,7
 Purdue,3, Ohio State,16
 Rutgers,10, Cincinnati,13
 South Carolina,24, Kentucky,17
 Louisiana-Lafayette,59, North Texas,30
 Syracuse,6, West Virginia,17
 Temple,14, Central Michigan,24
 Tennessee,14, Georgia,26
 TCU,13, Colorado State,7
 Texas,45, Oklahoma,35
 Toledo,13, Michigan,10
 Tulane,21, UTEP,24
 Tulsa,37, SMU,31
 Air Force,35, San Diego State,10
 Utah State,7, San Jose State,30
 Utah,40, Wyoming,7
 Vanderbilt,14, Mississippi State,17
 Washington State,13, Oregon State,66
 Western Michigan,34, Buffalo,28
 Gardner-Webb,7, Georgia Tech,10
 BYU,7, TCU,32
 Florida State,26, North Carolina State,17
 Hawai'i,7, Boise State,27
 Akron,42, Eastern Michigan,35
 Arkansas State,23, Louisiana-Lafayette,28
