Team,CONF.W,CONF.L,OVERALL.W,OVERALL.L,Score,Rank,Games
SE Missouri St,0,0,0,1,1160.19649,156,1
Georgia State,0,0,0,2,1140.837078,157,2
Mercer,0,0,0,1,1140.590291,158,1
Florida International,0,0,0,2,1139.921903,159,2
Morgan State,0,0,0,1,1136.353869,160,1
New Mexico State,0,0,1,1,1135.889086,161,2
W Carolina,0,0,0,1,1131.564359,162,1
Savannah State,0,0,0,2,1131.550305,163,2
SF Austin,0,0,0,1,1131.318815,164,1
Abil Christian,0,0,0,1,1130.610512,165,1
UNH,0,0,0,1,1127.196389,166,1
UT Martin,0,0,0,2,1126.332044,167,2
Fordham,0,0,0,1,1124.902506,168,1
William & Mary,0,0,0,1,1121.774156,169,1
Towson,0,0,0,1,1111.848596,170,1
S Illinois,0,0,0,1,1110.558241,171,1
Presbyterian,0,0,0,1,1105.581249,172,1
Weber State,0,0,0,1,1066.518046,173,1
Liberty,0,0,0,1,1063.25946,174,1
Virginia,0,0,0,2,1058.662207,175,2
Colgate,0,0,0,1,1057.571161,176,1
NC Central,0,0,0,2,1042.949741,177,2
Howard,0,0,0,2,1028.309284,178,2
Murray State,0,0,0,1,1027.704929,179,1
S Carolina St,0,0,0,2,1022.264267,180,2
Austin Peay,0,0,0,1,1013.627864,181,1
VMI,0,0,0,1,1009.00784,182,1
Sacramento St,0,0,0,1,998.6473424,183,1
Alabama A&M,0,0,0,1,982.022798,184,1
E Kentucky,0,0,0,1,981.0688746,185,1
Alabama St.,0,0,0,1,931.4186094,186,1
Elon,0,0,0,1,931.2118673,187,1
Jackson State,0,0,0,1,908.8814463,188,1
South Dakota,0,0,0,1,875.8019337,189,1
Southern,0,0,0,2,857.5221155,190,2
Hampton,0,0,0,1,850.3210529,191,1
Portland State,0,0,0,1,812.8943003,192,1
Stony Brook,0,0,0,1,812.3995229,193,1
Bethune-Cookman,0,0,0,1,805.629508,194,1
URI,0,0,0,1,794.4562402,195,1
Mississippi Valley State,0,0,0,1,773.9367736,196,1
