"Team","Score","Previous.Score","Rank"
"Air Force",1888.76408662966,1888.76408662966,31
"Akron",1199.12270932696,1199.12270932696,106
"Alabama",2668.09700515285,2668.09700515285,1
"Appalachian State",1951.0986184833,1951.0986184833,23
"Arizona",1731.37541068897,1731.37541068897,61
"Arizona State",1828.81529613014,1828.81529613014,39
"Arkansas",1818.00174014659,1818.00174014659,41
"Arkansas State",1145.61584589872,1145.61584589872,108
"Army",1820.9258336375,1820.9258336375,40
"Auburn",1805.06115556662,1805.06115556662,44
"Ball State",1425.15560410027,1425.15560410027,90
"Baylor",2395.51680490405,2395.51680490405,4
"Boise State",1722.77556379566,1722.77556379566,62
"Boston College",1564.82951521673,1564.82951521673,79
"Bowling Green",1595.66681043004,1595.66681043004,74
"Buffalo",2018.60625663628,2018.60625663628,17
"BYU",1771.13496226084,1771.13496226084,51
"California",1608.50126002704,1608.50126002704,73
"Central Michigan",1674.50619994638,1674.50619994638,68
"Charlotte",1276.31888063654,1276.31888063654,103
"Cincinnati",1761.13968699097,1761.13968699097,53
"Clemson",2004.66036382046,2004.66036382046,19
"Colorado",2083.09945430008,2083.09945430008,9
"Colorado State",1442.16545122674,1442.16545122674,89
"Connecticut",1414.55074302215,1414.55074302215,92
"Duke",1473.1962957036,1473.1962957036,88
"East Carolina",1618.20620669659,1618.20620669659,71
"Eastern Michigan",704.055569706417,704.055569706417,128
"Florida",2006.50587098279,2006.50587098279,18
"Florida Atlantic",1238.57310719372,1238.57310719372,104
"Florida International",994.579804603663,994.579804603663,116
"Florida State",2051.29265339535,2051.29265339535,14
"Fresno State",1291.72643100875,1291.72643100875,101
"Georgia",2046.07503263364,2046.07503263364,15
"Georgia Southern",1926.29615843302,1926.29615843302,26
"Georgia State",1147.27026964617,1147.27026964617,107
"Georgia Tech",1755.79356617598,1755.79356617598,55
"Hawaii",770.756234332499,770.756234332499,127
"Houston",1984.02407267515,1984.02407267515,21
"Idaho",1291.7826644836,1291.7826644836,99
"Illinois",1009.89307200362,1009.89307200362,115
"Indiana",1690.9385265311,1690.9385265311,66
"Iowa",2082.94252785855,2082.94252785855,10
"Iowa State",1339.86816227494,1339.86816227494,97
"Kansas",934.321398455979,934.321398455979,122
"Kansas State",1803.67752889926,1803.67752889926,46
"Kent State",932.001163810856,932.001163810856,123
