"Team","CONF.W","CONF.L","OVERALL.W","OVERALL.L","Score","Rank","Games"
"Ohio State",0,0,2,0,2255.01275698959,7,2
"Oklahoma",0,0,1,1,1781.019996862,54,2
"Oklahoma State",0,0,1,1,1539.61131110834,81,2
"Old Dominion",0,0,1,1,1259.11503789719,115,2
"Ole Miss",0,0,1,1,1724.96465489331,62,2
"Oregon",0,0,2,0,2080.55089771501,19,2
"Oregon State",0,0,0,1,1327.7815204671,110,1
"Penn State",0,0,1,1,1511.82585880937,90,2
"Pittsburgh",0,0,2,0,2099.27711551963,17,2
"Portland State",0,0,0,1,795.89308551777,188,1
"Prairie View",0,0,0,1,1195.21611228852,125,1
"Presbyterian",0,0,0,1,1106.03114592276,150,1
"Purdue",0,0,1,1,1444.65507620314,99,2
"Rice",0,1,0,2,1214.11229056791,121,2
"Richmond",0,0,1,0,1782.74532954005,53,1
"Rutgers",0,0,1,1,1527.22252214248,87,2
"S Carolina St",0,0,0,2,949.414977235981,176,2
"S Illinois",0,0,0,1,934.207339850513,177,1
"Sacramento St",0,0,0,1,983.879802323251,169,1
"San Diego State",0,0,2,0,1980.88687113697,30,2
"San Jose State",0,0,1,1,1339.68467106288,108,2
"Savannah State",0,0,0,2,1132.37956446466,147,2
"SE Louisiana",0,0,0,1,1064.55895118085,156,1
"SE Missouri St",0,0,0,1,1135.14308474521,145,1
"SF Austin",0,0,0,1,1093.40772281985,154,1
"SMU",0,0,1,1,1731.63397402238,61,2
"South Alabama",0,1,1,1,1977.40512403034,31,2
"South Carolina",1,1,1,1,1845.9997254928,47,2
"South Dakota",0,0,0,1,660.772382847888,196,1
"South Dakota St",0,0,0,1,1149.01725061793,141,1
"South Florida",0,0,2,0,1688.3095237017,67,2
"Southern",0,0,0,2,719.937922318359,194,2
"Southern Miss",0,0,2,0,1889.50211504682,44,2
"Southern Utah",0,0,0,1,1179.23983915839,133,1
"Stanford",0,0,1,0,2186.68245029596,13,1
"Stony Brook",0,0,0,1,768.2281135958,190,1
"Syracuse",0,1,1,1,1527.32043964284,86,2
"TCU",0,0,1,1,1687.1934029758,68,2
"Temple",0,0,1,1,1415.2434491238,103,2
"Tennessee",0,0,2,0,2156.26289366672,16,2
"Texas",0,0,2,0,2299.28061083092,3,2
"Texas A&M",0,0,2,0,2238.56099183191,11,2
"Texas State",0,0,1,0,1904.21828001606,43,1
"Texas Tech",0,0,1,1,1581.05261027663,77,2
"Toledo",0,0,2,0,1936.99916682636,36,2
"Towson",0,0,0,1,1093.6941320893,153,1
"Troy",0,0,1,1,1542.22096189903,80,2
"Tulane",0,0,1,1,1292.7754176334,113,2
"Tulsa",0,0,1,1,1795.26117371817,50,2
"UC Davis",0,0,0,1,1191.78506941661,128,1
"UCF",0,0,1,1,1479.52122556677,94,2
"UCLA",0,0,1,1,1766.59419172349,57,2
"UNH",0,0,0,1,1133.15468843936,146,1
"UNLV",0,0,1,1,1334.10109567957,109,2
"URI",0,0,0,1,666.317802513543,195,1
"USC",0,0,1,1,1932.82715592656,37,2
"UT Martin",0,0,0,2,877.84113338115,184,2
"Utah",0,0,2,0,2265.09155427041,5,2
"Utah State",0,0,1,1,1527.20449774693,88,2
"UTEP",0,0,1,1,1768.38405432242,56,2
"UTSA",0,0,1,1,1294.11818374057,112,2
"Vanderbilt",0,1,1,1,1318.06238687148,111,2
"Villanova",0,0,0,1,1169.83351380478,136,1
"Virginia",0,0,0,2,995.841367880981,168,2
"Virginia Tech",0,0,1,1,1592.67134853153,76,2
"VMI",0,0,0,1,1008.43489010607,167,1
"W Carolina",0,0,0,1,1141.35728636774,143,1
"Wake Forest",1,0,2,0,1986.84993736962,29,2
"Washington",0,0,2,0,2057.12355852627,22,2
"Washington State",0,0,0,2,1041.00235982274,159,2
"Weber State",0,0,0,1,1051.27808742239,157,1
"West Virginia",0,0,2,0,2187.31431968465,12,2
"Western Kentucky",1,0,1,1,1768.53247297334,55,2
"Western Michigan",0,0,2,0,2017.55371413515,25,2
"William & Mary",0,0,0,1,1010.61973838347,164,1
"Wisconsin",0,0,2,0,2295.27257353879,4,2
"Wofford",0,0,0,1,1143.64446876468,142,1
"Wyoming",0,0,1,1,1594.83245563716,75,2
"Youngstown St",0,0,0,1,1193.57454908824,126,1
