"TEAM","ELO","GAMES","RANK"
"Hawaii",1011.62026095841,4,107
"Appalachian State",1669.42318160437,5,33
"Indiana",1401.13577699457,4,72
"Oregon State",1181.13997839092,4,94
"Rice",757.902730802922,5,126
"South Carolina",1420.3735642754,5,69
"Tulane",1239.07490158032,4,90
"Charlotte",886.221336167356,5,120
"Ball State",1271.78927765311,4,86
"Colorado State",1129.58600039625,4,98
"Kansas State",1497.71351087033,4,58
"Toledo",1482.33798025271,4,61
"Army",1480.50562159877,4,62
"Boise State",1981.45873710476,4,12
"Bowling Green",970.994273420277,5,111
"BYU",1577.0460693809,5,44
"Fresno State",857.031883270542,4,123
"UCLA",1672.84073610083,5,32
"Clemson",2158.65894908475,4,1
"Georgia Tech",1749.1046784,5,26
"Georgia",1765.04669658137,4,25
"Kent State",891.543858009374,5,118
"LSU",1664.17647502181,4,35
"Louisiana Tech",1310.40975822469,4,84
"Massachusetts",1099.22327780391,5,102
"Miami (OH)",973.222258625296,4,110
"Missouri",1552.73107761219,5,47
"New Mexico State",705.465498650757,4,128
"Northern Illinois",959.706486974088,4,114
"Oklahoma",1647.19927292101,4,37
"Rutgers",1270.18734762134,5,87
"San Jose State",876.946601667219,5,121
"South Alabama",1398.6203494688,4,73
"USC",1566.91652515938,5,45
"SMU",1233.86162106086,5,91
"Southern Miss",1637.97866010227,5,38
"Texas State",1521.16383901911,4,53
"Western Michigan",1885.97833128678,5,17
"Notre Dame",1175.6616963994,5,95
"Ole Miss",1612.9141406613,5,40
"Louisville",2149.6087228467,5,2
"Maryland",1807.66248905621,4,23
"Akron",1354.33058824944,4,77
"Arkansas State",754.91130028049,3,127
"Arkansas",1714.63047432791,5,28
"Boston College",1490.58765525033,5,60
"California",1433.64728424671,5,67
"UCF",1505.24490785193,4,54
"Central Michigan",1602.25933927389,5,41
"Cincinnati",1498.58428044665,4,56
"Connecticut",1161.4948056316,5,96
"Eastern Michigan",1319.00692518145,5,82
"Florida Atlantic",802.546404762644,4,125
"Georgia Southern",1529.63500575414,4,51
"Georgia State",928.553211106396,4,115
"Idaho",1313.94086323063,5,83
"Iowa State",1066.88437134772,5,103
"Kentucky",1354.87605272868,5,76
"Middle Tennessee",1258.97316184777,5,89
"North Carolina",1493.49079893953,4,59
"UNLV",969.426732072268,5,112
"Nevada",994.824444667068,5,108
"New Mexico",961.632854851689,4,113
"North Carolina State",1589.67237985123,4,42
"Louisiana-Monroe",1046.73118817321,3,104
"Ohio",1346.2218379782,5,78
"Old Dominion",1227.43739471178,5,92
"Penn State",1444.81293502849,5,66
"Texas Tech",1523.33183254667,3,52
"UTEP",984.087917317985,5,109
"UTSA",817.298098827014,3,124
"Troy",1838.52649605873,5,21
"Tulsa",1502.66486900541,4,55
"Utah State",1204.08157972809,5,93
"Virginia Tech",1694.58710888401,4,30
"Virginia",1036.34616611336,5,105
"Wake Forest",1707.49606794306,5,29
"Washington State",1617.63708372549,3,39
"Western Kentucky",1320.22672019706,5,81
"Wyoming",1274.91072844438,5,85
"Houston",2040.71618669863,5,11
"Alabama",2126.86303470749,5,5
"Arizona State",1884.23730326873,4,18
"Baylor",2064.74384688432,4,8
"Colorado",1648.71426463763,5,36
"East Carolina",1340.59004319795,4,79
"Florida International",871.144429546525,5,122
"Florida State",1937.70500686776,4,14
"Kansas",888.189340286374,3,119
"Miami (FL)",2042.16763048477,4,10
"Michigan State",1413.49821986396,4,70
"Mississippi State",1263.74456894399,4,88
"North Texas",921.747466132694,5,116
"Ohio State",2111.73762297428,4,6
"Oregon",1498.49082750506,5,57
"Pittsburgh",1667.46554682499,5,34
"San Diego State",1678.70733470394,3,31
"South Florida",1538.08883442794,5,50
"Temple",1127.12773478065,5,99
"Texas A&M",2129.17262802766,4,4
"Navy",1544.15483119093,4,49
"Vanderbilt",1365.42600907088,5,74
"Buffalo",903.168295625439,3,117
"Duke",1329.38908003564,5,80
"Texas",1406.35037062556,4,71
"Utah",1816.63505520906,5,22
"Florida",1857.93803798857,5,20
"Iowa",1582.1845662226,4,43
"Nebraska",1864.37010120583,5,19
"Oklahoma State",1458.46638844982,4,64
"Syracuse",1136.83376814128,5,97
"TCU",1545.43058731498,4,48
"Wisconsin",1896.02010674904,4,16
"Louisiana-Lafayette",1553.38047734088,3,46
"Stanford",1974.13393842524,4,13
"Air Force",1737.84887072251,3,27
"Washington",2056.09702688193,5,9
"Tennessee",2076.04103991378,5,7
"Illinois",1112.73434639644,4,100
"Memphis",1428.00542112434,3,68
"Northwestern",1451.67514345174,5,65
"Purdue",1100.60492664286,3,101
"Minnesota",1476.89052136299,4,63
"Marshall",1012.93519739535,4,106
"Arizona",1356.23078417937,4,75
"Auburn",1804.94657988713,5,24
"Michigan",2130.34557455991,4,3
"West Virginia",1931.59753781995,3,15
