"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",33,32,14,125,25
"Akron",15,115,68,73,61
"Alabama",14,7,14,63,3
"Appalachian State",92,14,68,11,41
"Arizona",55,39,105.5,93,53
"Arizona State",39,97,34.5,108,59
"Arkansas",69,95,34.5,16,64
"Arkansas State",110,86,175.5,27,116
"Army",108,1,48,112,49
"Auburn",26,22,68,5,16
"Ball State",96,76,68,123,94
"Baylor",127,67,14,124,92
"Boise State",47,10,14,22,8
"Boston College",107,16,68,64,55
"Bowling Green",118,122,132,12,124
"Buffalo",70,117,122.5,58,107
"BYU",43,49,105.5,9,43
"California",41,98,68,31,60
"Central Michigan",66,89,68,89,79
"Charlotte",122,48,132,48,99
"Cincinnati",74,77,68,87,78
"Clemson",40,3,14,38,5
"Colorado",10,12,34.5,33,4
"Colorado State",104,66,105.5,81,95
"Connecticut",86,55,105.5,85,82
"Duke",81,57,105.5,46,75
"East Carolina",50,78,105.5,77,74
"Eastern Michigan",101,105,34.5,96,98
"Florida",80,34,34.5,56,42
"Florida Atlantic",91,107,132,20,112
"Florida International",109,88,132,14,110
"Florida State",19,38,68,44,24
"Fresno State",105,116,132,49,119
"Georgia",58,29,68,18,36
"Georgia Southern",57,82,48,98,65
"Georgia State",85,71,175.5,2,96
"Georgia Tech",49,26,68,75,37
"Hawaii",56,110,105.5,37,89.5
"Houston",36,13,14,90,12
"Idaho",106,84,105.5,39,102
"Illinois",75,69,122.5,66,86
"Indiana",54,68,48,55,48
"Iowa",67,46,68,102,54
"Iowa State",89,125,132,34,115
"Kansas",124,90,122.5,104,121
"Kansas State",24,23,87,79,27
"Kent State",99,52,132,111,97
"Kentucky",62,111,105.5,24,91
"Louisiana-Lafayette",32,114,105.5,61,81
"Louisiana-Monroe",115,101,122.5,91,120
"Louisiana Tech",116,74,105.5,83,109
"Louisville",2,59,34.5,69,21
"LSU",64,4,68,40,28.5
"Marshall",79,92,122.5,76,101
"Maryland",30,20,14,121,17
"Massachusetts",95,83,132,35,103
"Memphis",16,40,48,128,28.5
"Miami (FL)",13,18,14,119,7
"Miami (OH)",111,85,175.5,28,117
"Michigan",3,2,14,26,1
"Michigan State",87,35,87,42,57
"Middle Tennessee",82,121,34.5,118,100
"Minnesota",35,56,48,95,38
"Mississippi State",23,80,87,78,52
"Missouri",37,73,105.5,59,58
"Navy",72,43,48,94,50.5
"Nebraska",44,17,14,43,13
"Nevada",123,63,105.5,84,105
"New Mexico",93,126,87,122,118
"New Mexico State",121,120,122.5,57,126
"North Carolina",27,50,34.5,105,33
"North Carolina State",31,37,48,110,32
"North Texas",128,112,105.5,100,127
"Northern Illinois",97,91,132,52,111
"Northwestern",53,31,105.5,10,39
"Notre Dame",25,109,105.5,32,68
"Ohio",77,94,68,86,88
"Ohio State",9,11,14,51,2
"Oklahoma",12,106,87,4,50.5
"Oklahoma State",52,102,68,68,77
"Old Dominion",42,96,68,106,72.5
"Ole Miss",5,42,68,30,18
"Oregon",11,54,105.5,25,35
"Oregon State",65,62,122.5,41,72.5
"Penn State",51,5,68,15,19
"Pittsburgh",17,87,68,62,45
"Purdue",103,108,87,120,114
"Rice",90,127,175.5,13,123
"Rutgers",114,64,105.5,23,93
"San Diego State",34,113,48,126,76
"San Jose State",125,119,132,82,128
"SMU",119,128,105.5,53,125
"South Alabama",112,19,68,74,63
"South Carolina",120,15,105.5,36,69
"South Florida",18,60,34.5,103,34
"Southern Miss",83,72,34.5,99,70.5
"Stanford",68,6,48,8,23
"Syracuse",71,81,105.5,60,85
"TCU",126,75,68,113,108
"Temple",1,93,68,117,47
"Tennessee",21,36,14,6,6
"Texas",61,100,87,70,87
"Texas A&M",28,30,14,67,14
"Texas State",102,123,87,7,113
"Texas Tech",6,124,48,116,62
"Toledo",22,79,48,127,46
"Troy",38,51,34.5,47,31
"Tulane",98,45,68,80,70.5
"Tulsa",78,103,48,92,89.5
"UCF",20,41,68,88,30
"UCLA",46,28,68,3,26
"UNLV",76,104,105.5,101,104
"USC",48,47,105.5,1,44
"Utah",100,44,34.5,115,67
"Utah State",84,53,105.5,114,84
"UTEP",117,118,132,17,122
"UTSA",113,61,122.5,107,106
"Vanderbilt",94,65,105.5,19,83
"Virginia",59,58,105.5,21,56
"Virginia Tech",8,25,48,54,9
"Wake Forest",88,27,34.5,29,40
"Washington",4,33,14,109,10
"Washington State",7,24,87,97,22
"West Virginia",60,9,14,72,20
"Western Kentucky",73,70,68,45,66
"Western Michigan",29,21,14,65,11
"Wisconsin",45,8,34.5,50,15
"Wyoming",63,99,68,71,80
