Team,Score,Rank
Clemson,419.8724691,1
Tennessee,321.1736403,2
Alabama,237.9458273,3
Michigan,224.9944919,4
Washington,206.6981823,5
Texas A&M,205.2396448,6
Western Michigan,182.9182345,7
Louisville,167.8369739,8
Ohio State,113.0346493,9
Virginia Tech,112.4744101,10
Miami (FL),108.3110214,11
North Carolina State,102.4530793,12
Houston,100.6881885,13
Stanford,99.48838237,14
Arizona State,96.67095737,15
Florida State,96.07290908,16
Nebraska,95.41155037,17
Baylor,92.05620851,18
Boise State,91.84207316,19
Air Force,90.33833158,20
West Virginia,80.74922649,21
Ole Miss,72.041321,22
Wisconsin,68.27495867,23
Maryland,63.02812595,24
Wake Forest,62.7380831,25
Georgia Southern,60.69282584,26
Troy,52.78202278,27
USC,51.31585527,28
North Carolina,45.42434612,29
Georgia,39.91753313,30
Utah,38.47289682,31
Arkansas,37.38328528,32
South Florida,37.11455172,33
Florida,36.45748486,34
Colorado,32.41045349,35
LSU,31.04159566,36
California,30.15015709,37
East Carolina,30.05085954,38
Auburn,27.86823189,39
Navy,26.492737,40
UCF,25.13315442,41
Oklahoma State,23.8935353,42
Penn State,23.84451372,43
San Diego State,23.36022504,44
South Alabama,22.92240409,45
Georgia Tech,22.77546174,46
Texas Tech,20.44091091,47
Memphis,20.37591139,48
Indiana,18.92746516,49
UCLA,17.30139518,50
Tulsa,15.99001537,51
Minnesota,13.47738386,52
Southern Miss,12.591796,53
Boston College,8.082802045,54
Pittsburgh,7.353301982,55
Appalachian State,6.861452056,56
Eastern Michigan,5.859261901,57
Oklahoma,5.404361416,58
Toledo,3.913119325,59
BYU,2.916793025,60
Kansas State,-0.867678055,61
TCU,-1.539473902,62
Cincinnati,-2.286866917,63
Wyoming,-2.630656033,64
Michigan State,-2.813535909,65
Ohio,-3.548960099,66
Mississippi State,-3.779262767,67
Missouri,-3.987370163,68
Tulane,-5.076129827,69
Washington State,-5.840003312,70
Texas State,-5.913927022,71
Western Kentucky,-8.305412269,72
Old Dominion,-8.784478487,73
Louisiana-Lafayette,-10.47194951,74
Purdue,-11.8612083,75
Oregon,-12.03519332,76
Kentucky,-12.17643907,77
Akron,-12.22062484,78
Rutgers,-12.83823455,79
Northwestern,-13.47167256,80
Middle Tennessee,-14.2205786,81
Texas,-15.32631078,82
Vanderbilt,-16.07618512,83
Central Michigan,-16.08844718,84
South Carolina,-16.56118591,85
Louisiana Tech,-19.03408112,86
Colorado State,-19.07949504,87
Illinois,-22.37275134,88
Oregon State,-22.39594136,89
Arizona,-22.85451927,90
Utah State,-26.9088931,91
Temple,-27.01656057,92
Connecticut,-28.29830231,93
Kansas,-28.42184569,94
Iowa,-29.70289469,95
UTSA,-30.19116428,96
Idaho,-30.94973178,97
Notre Dame,-31.37054652,98
Marshall,-32.58631964,99
Syracuse,-32.85913706,100
Louisiana-Monroe,-35.22381133,101
Bowling Green,-38.26926556,102
Massachusetts,-41.66860164,103
Charlotte,-43.37269662,104
Hawaii,-43.53271342,105
Virginia,-44.04909254,106
Northern Illinois,-48.31173851,107
Fresno State,-52.98894992,108
Kent State,-53.37561158,109
SMU,-54.10372586,110
North Texas,-54.25580162,111
UNLV,-54.64974929,112
Iowa State,-56.67423806,113
Duke,-59.58185935,114
Ball State,-67.51353981,115
Nevada,-75.44936819,116
Florida International,-81.98868508,117
Buffalo,-85.85845021,118
Army,-87.4664982,119
UTEP,-117.220493,120
Florida Atlantic,-127.6525073,121
San Jose State,-155.8603323,122
New Mexico State,-156.8545534,123
New Mexico,-176.66194,124
Georgia State,-236.9966566,125
Arkansas State,-253.9324829,126
Miami (OH),-269.0431841,127
Rice,-375.8089087,128
