"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Score","Rank"
"Air Force",5.08255243376272,8,0.635319054220339,182,264,204,5.09415388461753,2.90584611538247,1.37650979375862,53
"Akron",5.00841826912577,9,0.556490918791752,143,281,308,4.36889584179137,4.63110415820863,1.07063293656151,96
"Alabama",2.69567879299668,8,0.336959849124585,26,351,119,7.12554334928316,0.87445665071684,2.18271636502079,1
"Appalachian State",4.14247997019014,8,0.517809996273768,117,211,142,5.62354441664975,2.37645558335025,1.62636648471325,22
"Arizona",3.17749996645391,8,0.397187495806739,46,193,265,2.83470756897387,5.16529243102613,1.04977977326131,101
"Arizona State",3.92072474802146,9,0.435636083113496,61,321,329,4.29246284428171,4.70753715571829,1.17450266168207,83
"Arkansas",3.3983597805868,8,0.42479497257335,58,247,251,4.04886546877893,3.95113453122107,1.32571177144596,60
"Arkansas State",3.43005611625232,7,0.490008016607474,99,162,187,3.1085305223524,3.8914694776476,1.24190399186416,71
"Army",5.43244525697761,8,0.679055657122202,197,252,132,5.18236318553296,2.81763681446704,1.35482551608562,58
"Auburn",3.10642660570198,8,0.388303325712748,43,290,128,5.71313518977836,2.28686481022164,1.77827084855642,12
"Ball State",5.45429982118417,8,0.681787477648022,198,224,203,4.30143551918592,3.69856448081408,1.13186177897304,88
"Baylor",4.47915149335149,7,0.639878784764498,184,296,138,5.61034455553924,1.38965544446076,1.80683723318909,8
"Boise State",3.64529619067502,8,0.455662023834378,74,268,173,5.61058321816864,2.38941678183136,1.68527415753236,19
"Boston College",4.32036350183793,8,0.540045437729742,132,168,184,4.35950180009121,3.64049819990879,1.28812038911764,67
"Bowling Green",3.78159851806075,8,0.472699814757594,86,171,361,2.16316747628864,5.83683252371136,0.806382431139149,116
"Buffalo",4.68981166864039,8,0.586226458580048,156,145,254,2.26696334732585,5.73303665267415,0.718804755075997,123
"BYU",3.19294822709715,8,0.399118528387143,47,224,204,4.40564484682393,3.59435515317607,1.44058306014342,42
"California",3.32062132427038,8,0.415077665533798,53,330,334,3.95209063470475,4.04790936529525,1.31123536996697,65
"Central Michigan",4.76769298257333,9,0.52974366473037,126,267,256,4.56252558533877,4.43747441466123,1.14040902252232,86
"Charlotte",4.96030471285886,8,0.620038089107358,175,198,295,2.97783729291357,5.02216270708643,0.862711610945618,113
"Cincinnati",4.47884782281123,8,0.559855977851403,145,182,205,3.67055192005001,4.32944807994999,1.09607237898568,93
"Clemson",2.95874755365963,8,0.369843444207454,36,293,141,6.11468153635284,1.88531846364716,1.89711731670534,6
"Colorado",3.36224390394826,8,0.420280487993532,55,283,145,5.87562036298739,2.12437963701261,1.7869149795779,10
"Colorado State",3.91709732665277,8,0.489637165831597,98,214,223,3.96929292793203,4.03070707206797,1.24097644297599,72
"Connecticut",4.5911953547266,9,0.510132817191844,110,165,248,3.46803230921143,5.53196769078857,0.916799142032547,112
"Duke",3.77567845107724,8,0.471959806384655,85,196,191,3.70210751762815,4.29789248237185,1.19185744984696,79
"East Carolina",4.16817278012562,8,0.521021597515703,120,228,230,3.63730817057009,4.36269182942991,1.1265958219514,89
"Eastern Michigan",5.0078252406545,9,0.556425026739389,142,267,271,4.3680434079097,4.6319565920903,1.07050939886239,97
"Florida",3.55943547304808,7,0.508490781864011,109,206,82,5.9371844459691,1.0628155540309,2.03160806192668,3
"Florida Atlantic",5.03762996016308,8,0.629703745020385,181,160,302,2.30641286904766,5.69358713095234,0.685189849066111,127
"Florida International",5.35943370154545,9,0.59549263350505,163,208,313,2.86485479292277,6.13514520707723,0.697399877655193,125
"Florida State",2.98326025142332,8,0.372907531427915,37,278,239,4.8246225893768,3.1753774106232,1.57153849274087,26
"Fresno State",4.61633453575663,9,0.512926059528514,115,185,304,2.48870283054681,6.51129716945319,0.696377126659294,126
"Georgia",3.38130036855879,8,0.422662546069848,57,186,209,3.66725119763503,4.33274880236497,1.23244063016349,73
"Georgia Southern",4.5994884024344,8,0.574936050304301,151,214,194,4.12316868510688,3.87683131489312,1.194146497797,78
"Georgia State",4.09655088964566,8,0.512068861205707,113,158,190,3.12353746850643,4.87646253149357,1.00710588274548,104
"Georgia Tech",3.88979775523449,8,0.486224719404311,97,225,188,4.527061650117,3.472938349883,1.38383106994952,51
"Hawaii",5.32834309049228,9,0.592038121165809,160,268,327,4.17164007524491,4.82835992475509,0.991251119399355,106
"Houston",5.01938838754248,9,0.557709820838054,144,346,195,6.32729322039564,2.67270677960436,1.50461345198283,32
"Idaho",3.79746928871216,8,0.474683661089021,91,194,287,2.89422734708508,5.10577265291492,0.987163552506832,107
"Illinois",3.28438329762152,8,0.410547912202691,51,181,238,2.90340092218845,5.09659907781155,1.053592695169,100
"Indiana",3.42683818248574,8,0.428354772810717,60,211,212,3.93142036110127,4.06857963889873,1.29279069428918,66
"Iowa",3.67550337938538,8,0.459437922423172,78,225,151,5.23154142708122,2.76845857291878,1.58673781117172,24
"Iowa State",3.225486946151,8,0.403185868268875,49,192,259,2.76367469007898,5.23632530992102,1.02602318107545,102
"Kansas",3.60739387184756,8,0.450924233980945,69,155,314,1.90910795803461,6.09089204196539,0.76464313235229,120
"Kansas State",4.34027956045993,8,0.542534945057491,136,243,173,4.51737013679721,3.48262986320279,1.32509796596639,61
"Kent State",4.74569702298755,9,0.527299669220839,123,198,234,4.03300675159019,4.96699324840981,1.02518216608772,103
"Kentucky",3.66693417332608,8,0.45836677166576,76,222,247,3.92597427989417,4.07402572010583,1.26141717513236,69
