"Team","Score","Rank"
"Hawaii",-75.0917778734699,110
"Appalachian State",1.29808786398587,41
"Indiana",-23.8647953394599,73
"Oregon State",-24.1648597903713,74
"Rice",-70.1846470792287,107
"South Carolina",-33.4328367832053,81
"Tulane",-32.2787539507966,80
"Charlotte",-64.250958368133,104
"Ball State",-71.4469006155842,108
"Colorado State",-16.5488828801237,63
"Kansas State",3.6726465630952,39
"Toledo",12.1542396322457,35
"Army",-72.6979395387013,109
"Boise State",72.8827623947837,15
"Bowling Green",-99.3690569838036,115
"BYU",-4.33685188631375,48
"Fresno State",-123.470761799409,121
"UCLA",-20.0255455466478,72
"Clemson",339.358302353947,3
"Georgia Tech",2.58970423255664,40
"Georgia",-11.7025137438531,57
"Kent State",-82.0400002948821,112
"LSU",17.0496609235364,30
"Louisiana Tech",-13.720020344431,58
"Massachusetts",-84.6006633872607,113
"Miami (OH)",-101.688929724352,118
"Missouri",-27.2130177213772,75
"New Mexico State",-143.85588084093,125
"Northern Illinois",-51.9227996135024,94
"Oklahoma",39.8017749515011,22
"Rutgers",-40.1222017023976,87
"San Jose State",-141.83531759332,124
"South Alabama",-44.2271109740873,92
"USC",21.1287439591768,29
"SMU",0.663287843692459,42
"Southern Miss",-35.8232333736085,83
"Texas State",-158.381701454329,126
"Western Michigan",104.423156133422,13
"Notre Dame",-44.0580604365186,90
"Ole Miss",-4.40059631128855,49
"Louisville",115.891541652889,10
"Maryland",-19.1576511880503,70
"Akron",-170.274785575564,127
"Arkansas State",-39.6802802323351,86
"Arkansas",-3.96181042025222,46
"Boston College",-28.9143637618877,77
"California",0.460191215107855,44
"UCF",-16.2683650263938,62
"Central Michigan",-29.6849052141556,79
"Cincinnati",-55.9798221424828,97
"Connecticut",-62.8942918203358,103
"Eastern Michigan",-48.4999798801561,93
"Florida Atlantic",-109.880884314948,119
"Georgia Southern",-18.6586621536092,68
"Georgia State",-67.6185418995193,105
"Idaho",-27.6141942658232,76
"Iowa State",-68.6037566935784,106
"Kentucky",-7.32382107043337,50
"Middle Tennessee",-9.37224399573657,55
"North Carolina",12.6728436959144,34
"UNLV",-101.08131862366,116
"Nevada",-121.548540576826,120
"New Mexico",-58.6233711065294,100
"North Carolina State",-7.87973169181899,51
"Louisiana-Monroe",-89.3348852312465,114
"Ohio",-35.8909867415687,84
"Old Dominion",-19.6868537387871,71
"Penn State",163.865228617594,5
"Texas Tech",-17.0785476482699,66
"UTEP",-128.909518547321,123
"UTSA",-57.0892474942852,98
"Troy",24.1866353227548,26
"Tulsa",12.8784292703368,32
"Utah State",-36.981193524489,85
"Virginia Tech",50.3573237134034,20
"Virginia",-58.9480338530911,101
"Wake Forest",-14.6724626869804,59
"Washington State",9.74213644291792,36
"Western Kentucky",-4.2225988346507,47
"Wyoming",61.5430982260386,16
"Houston",24.9023135184043,25
"Alabama",469.091807952587,2
"Arizona State",-11.0017078553905,56
"Baylor",149.905656581423,6
"Colorado",21.6012804002198,28
"East Carolina",-53.241624290227,96
"Florida International",-81.5880702588786,111
"Florida State",26.1283685592217,24
"Kansas",-62.8760407400508,102
"Miami (FL)",-2.84369866274674,45
"Michigan State",-41.6912393859024,89
"Mississippi State",-29.3405938478119,78
"North Texas",-33.5367015602582,82
"Ohio State",200.240468270838,4
"Oregon",-18.3304724706061,67
"Pittsburgh",27.9885351569054,23
"San Diego State",-8.16583704584707,52
"South Florida",24.1268049420263,27
"Temple",7.04025668552208,38
"Texas A&M",126.766552682905,7
"Navy",12.7186932074791,33
"Vanderbilt",-16.6699551725936,64
"Buffalo",-207.308455733967,128
"Duke",-57.9994738360632,99
"Texas",57.2741966665142,17
"Utah",7.05810764598527,37
"Florida",54.7939374343253,18
"Iowa",-19.0785319938573,69
"Nebraska",120.904235426165,8
"Oklahoma State",108.374768222781,12
"Syracuse",-17.0177742285279,65
"TCU",-8.16806415651785,53
"Wisconsin",113.461189239982,11
"Louisiana-Lafayette",-123.508745454157,122
"Stanford",14.8884574014283,31
"Air Force",-15.5334907436372,60
"Washington",116.797412890019,9
"Illinois",-40.6452876264779,88
"Marshall",-101.280986165335,117
"Memphis",-9.10725369324035,54
"Minnesota",0.619243863603195,43
"Northwestern",-15.6417214008743,61
"Purdue",-53.2310019495161,95
"Tennessee",81.2403403186572,14
"Arizona",-44.1701464584905,91
"Auburn",40.6493198005782,21
"Michigan",489.336807395284,1
"West Virginia",51.4535215971581,19
