TEAM,WIN.PERC,WIN.MULT,SoS.MULT,SIM.WINS,SIM.LOSSES,SIM.PERC,RANK.SCORE,RANK,SIMURANK,ALT.RANK.SCORE,ALT.RANK
Georgia Tech,0.604868032,0.802434016,0.877807498,3107,3243,0.489291339,0.344648303,63,68,0.517068909,59
TCU,0.577563382,0.788781691,0.845962041,3607,2743,0.568031496,0.379035698,59,52,0.515074964,60
California,0.492861844,0.746430922,0.911913818,4023,2327,0.633543307,0.431240684,43,38,0.510812786,61
Stanford,0.503885182,0.751942591,0.976228827,3439,2911,0.541574803,0.397552751,51,58,0.508463094,62
Missouri,0.55117123,0.775585615,0.914530442,3180,3170,0.500787402,0.355206829,62,63,0.502971046,63
Wyoming,0.571483742,0.785741871,0.858911046,3139,3211,0.494330709,0.333615081,65,65,0.492012702,64
Wake Forest,0.571982198,0.785991099,0.88175034,2851,3499,0.448976378,0.311162144,69,74,0.485889124,65
Air Force,0.648181422,0.824090711,0.790852817,2665,3685,0.419685039,0.273523202,78,78,0.481639082,66
Mississippi State,0.463215328,0.731607664,0.921966797,3632,2718,0.571968504,0.385803037,57,50,0.475368936,67
Arkansas,0.490482873,0.745241436,0.929751156,3022,3328,0.475905512,0.329749736,66,72,0.462653182,68
Southern Miss,0.62670382,0.81335191,0.822683448,2187,4163,0.344409449,0.230455092,87,95,0.458522389,69
Arizona State,0.485418784,0.742709392,0.89063832,3204,3146,0.504566929,0.33376368,64,62,0.45641069,70
Duke,0.515306146,0.757653073,0.909927144,2600,3750,0.409448819,0.28227774,77,80,0.449076973,71
Ohio,0.595508568,0.797754284,0.775978009,2503,3847,0.394173228,0.244008909,86,85,0.439458778,72
Old Dominion,0.562354047,0.781177023,0.790209724,2575,3775,0.405511811,0.250319878,83,84,0.431422361,73
Vanderbilt,0.482424352,0.741212176,0.874026792,2780,3570,0.437795276,0.283620985,76,77,0.427032964,74
Central Michigan,0.524906563,0.762453281,0.853392029,2423,3927,0.381574803,0.24827987,84,86,0.425825652,75
UTSA,0.554993929,0.777496965,0.780159712,2588,3762,0.407559055,0.247213833,85,82,0.424508955,76
Kentucky,0.437108618,0.718554309,0.925508692,2844,3506,0.447874016,0.297848877,73,75,0.418989889,77
Georgia,0.431358032,0.715679016,0.902821044,3025,3325,0.476377953,0.307802123,70,70,0.418418723,78
SMU,0.419836125,0.709918063,0.910113114,3071,3279,0.483622047,0.31247098,67,69,0.415939591,79
Northern Illinois,0.422767811,0.711383905,0.882379273,3156,3194,0.497007874,0.311977018,68,64,0.41436366,80
East Carolina,0.494825479,0.74741274,0.835090549,2590,3760,0.407874016,0.254577551,82,81,0.411440726,81
