"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",80,65,58,116,77
"Akron",61,121,69.5,94,94
"Alabama",4,1,8,12,1
"Appalachian State",93,22,36,70,51
"Arizona",59,73,125.5,38,79
"Arizona State",29,71,69.5,41,47
"Arkansas",54,56,58,16,44
"Arkansas State",94,72,98.5,73,88
"Army",87,46,58,124,74
"Auburn",17,7,36,9,5
"Ball State",109,85,84,127,108
"Baylor",26,45,23.5,123,28
"Boise State",49,26,18.5,54,20
"Boston College",108,42,84,83,81
"Bowling Green",104,127,136,34,116
"Buffalo",121,117,125.5,99,125
"BYU",50,32,84,20,34
"California",10,108,84,28,61
"Central Michigan",82,87,69.5,81,84
"Charlotte",120,124,105,112,124
"Cincinnati",100,64,84,101,87
"Clemson",15,10,8,24,4
"Colorado",21,9,36,42,8
"Colorado State",86,61,84,60,78
"Connecticut",117,50,113.5,65,93
"Duke",83,33,105,30,68
"East Carolina",67,92,105,92,90
"Eastern Michigan",105,97,69.5,98,104
"Florida",71,8,23.5,61,24
"Florida Atlantic",126,123,136,97,128
"Florida International",116,111,113.5,91,115
"Florida State",22,43,58,13,19
"Fresno State",114,114,139,72,121
"Georgia",75,39,84,33,58.5
"Georgia Southern",99,90,84,109,103
"Georgia State",107,79,125.5,77,109
"Georgia Tech",51,48,58,53,41
"Hawaii",84,104,97,105,105
"Houston",32,40,27,93,26.5
"Idaho",90,113,84,78,106
"Illinois",89,66,125.5,36,85
"Indiana",46,52,84,14,45
"Iowa",53,19,58,85,31
"Iowa State",78,84,136,17,89
"Kansas",128,110,136,37,120
"Kansas State",66,31,58,67,42.5
"Kent State",111,58,113.5,106,101
"Kentucky",60,77,58,19,63
"Louisiana-Lafayette",110,103,98.5,114,111
"Louisiana-Monroe",123,126,125.5,107,127
"Louisiana Tech",30,83,47,121,60
"Louisville",2,37,18.5,49,9
"LSU",42,2,44.5,27,14
"Marshall",115,115,125.5,111,122
"Maryland",63,36,58,95,52
"Massachusetts",95,109,133,89,113
"Memphis",40,59,58,104,53
"Miami (FL)",65,20,84,46,39
"Miami (OH)",118,70,113.5,96,110
"Michigan",1,4,8,31,2
"Michigan State",56,49,125.5,11,62
"Middle Tennessee",37,105,36,108,73
"Minnesota",55,29,36,82,32
"Mississippi State",39,69,117.5,22,64
"Missouri",48,98,125.5,25,82
"Navy",34,76,44.5,62,49.5
"Nebraska",52,12,18.5,50,17
"Nevada",127,89,105,125,114
"New Mexico",58,119,58,126,92
"New Mexico State",106,125,125.5,64,117
"North Carolina",41,35,36,59,26.5
"North Carolina State",77,30,84,35,55
"North Texas",97,94,84,69,99
"Northern Illinois",72,96,125.5,47,95.5
"Northwestern",28,18,84,5,18
"Notre Dame",31,67,105,40,57
"Ohio",103,80,47,122,91
"Ohio State",9,5,18.5,21,3
"Oklahoma",8,75,36,26,25
"Oklahoma State",24,62,36,87,33
"Old Dominion",85,102,58,117,97
"Ole Miss",5,63,105,6,30
"Oregon",7,101,105,15,58.5
"Oregon State",62,55,125.5,8,69
"Penn State",20,27,36,4,10
"Pittsburgh",11,93,58,39,42.5
"Purdue",76,118,105,76,107
"Rice",119,112,136,45,118
"Rutgers",98,88,125.5,7,100
"San Diego State",74,41,18.5,128,54
"San Jose State",125,107,113.5,90,119
"SMU",79,74,84,29,76
"South Alabama",113,47,84,84,83
"South Carolina",112,21,84,43,71
"South Florida",13,81,27,88,35
"Southern Miss",69,106,58,103,86
"Stanford",81,6,58,3,29
"Syracuse",64,86,84,51,80
"TCU",70,51,84,86,70
"Temple",44,44,47,79,36
"Tennessee",18,57,58,1,22.5
"Texas",33,60,84,23,40
"Texas A&M",16,17,18.5,52,7
"Texas State",122,128,117.5,118,126
"Texas Tech",6,122,84,66,72
"Toledo",36,91,36,119,66
"Troy",57,38,23.5,110,38
"Tulane",101,68,105,100,98
"Tulsa",14,100,36,63,49.5
"UCF",35,53,84,68,48
"UCLA",43,34,105,18,37
"UNLV",91,116,113.5,115,112
"USC",27,16,58,10,15
"Utah",47,25,27,75,22.5
"Utah State",92,78,105,80,95.5
"UTEP",124,120,125.5,58,123
"UTSA",88,95,84,120,102
"Vanderbilt",96,23,84,56,67
"Virginia",73,54,125.5,32,75
"Virginia Tech",23,14,36,57,12
"Wake Forest",102,15,58,48,56
"Washington",3,13,8,113,6
"Washington State",12,24,36,74,13
"West Virginia",68,11,23.5,44,21
"Western Kentucky",19,82,58,55,46
"Western Michigan",25,28,8,102,16
"Wisconsin",45,3,36,2,11
"Wyoming",38,99,36,71,65
