"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",72,70,58,116,78
"Akron",73,115,69.5,94,97.5
"Alabama",4,1,8,12,1
"Appalachian State",88,25,36,70,48
"Arizona",71,84,125.5,38,83
"Arizona State",33,80,69.5,41,54
"Arkansas",58,71,58,16,60
"Arkansas State",101,69,98.5,73,88.5
"Army",89,64,58,124,80
"Auburn",15,6,36,9,5
"Ball State",104,102,84,127,110
"Baylor",29,36,23.5,123,25
"Boise State",32,21,18.5,54,16
"Boston College",109,48,84,83,81
"Bowling Green",111,126,136,34,119
"Buffalo",123,117,125.5,99,125
"BYU",50,29,84,20,34
"California",10,105,84,28,61.5
"Central Michigan",83,90,69.5,81,84
"Charlotte",122,124,105,112,123.5
"Cincinnati",107,66,84,101,92
"Clemson",13,10,8,24,4
"Colorado",21,7,36,42,9
"Colorado State",80,59,84,60,75
"Connecticut",116,50,113.5,65,90.5
"Duke",85,42,105,30,71
"East Carolina",74,95,105,92,96
"Eastern Michigan",95,101,69.5,98,101
"Florida",53,8,23.5,61,20
"Florida Atlantic",128,125,136,97,128
"Florida International",114,111,113.5,91,115
"Florida State",23,47,58,13,24
"Fresno State",118,112,139,72,121
"Georgia",68,43,84,33,58
"Georgia Southern",103,97,84,109,107
"Georgia State",110,67,125.5,77,102
"Georgia Tech",56,55,58,53,52
"Hawaii",82,107,97,105,106
"Houston",31,41,27,93,26
"Idaho",91,110,84,78,104
"Illinois",92,78,125.5,36,94
"Indiana",47,40,84,14,37
"Iowa",52,19,58,85,32
"Iowa State",79,82,136,17,87
"Kansas",127,118,136,37,122
"Kansas State",67,38,58,67,50
"Kent State",115,63,113.5,106,103
"Kentucky",61,77,58,19,65
"Louisiana-Lafayette",108,104,98.5,114,111
"Louisiana-Monroe",120,127,125.5,107,126
"Louisiana Tech",28,79,47,121,57
"Louisville",1,31,18.5,49,8
"LSU",36,3,44.5,27,12
"Marshall",117,119,125.5,111,123.5
"Maryland",63,37,58,95,51
"Massachusetts",98,108,133,89,113
"Memphis",40,49,58,104,44
"Miami (FL)",65,23,84,46,42
"Miami (OH)",113,81,113.5,96,108
"Michigan",2,2,8,31,2
"Michigan State",55,57,125.5,11,68
"Middle Tennessee",25,98,36,108,63
"Minnesota",54,26,36,82,31
"Mississippi State",42,65,117.5,22,64
"Missouri",57,73,125.5,25,76
"Navy",38,74,44.5,62,49
"Nebraska",43,14,18.5,50,17
"Nevada",125,100,105,125,116
"New Mexico",59,121,58,126,93
"New Mexico State",97,123,125.5,64,114
"North Carolina",46,32,36,59,27
"North Carolina State",78,30,84,35,55
"North Texas",99,88,84,69,97.5
"Northern Illinois",66,89,125.5,47,85
"Northwestern",27,17,84,5,19
"Notre Dame",39,60,105,40,59
"Ohio",100,85,47,122,90.5
"Ohio State",6,4,18.5,21,3
"Oklahoma",7,62,36,26,21
"Oklahoma State",26,61,36,87,35
"Old Dominion",81,103,58,117,95
"Ole Miss",8,56,105,6,30
"Oregon",5,86,105,15,47
"Oregon State",70,52,125.5,8,70
"Penn State",19,24,36,4,10
"Pittsburgh",12,92,58,39,43
"Purdue",84,120,105,76,109
"Rice",121,113,136,45,118
"Rutgers",106,93,125.5,7,105
"San Diego State",64,39,18.5,128,45
"San Jose State",126,109,113.5,90,120
"SMU",77,68,84,29,74
"South Alabama",112,46,84,84,82
"South Carolina",102,20,84,43,67
"South Florida",18,83,27,88,40
"Southern Miss",69,106,58,103,86
"Stanford",87,9,58,3,33
"Syracuse",62,96,84,51,79
"TCU",76,53,84,86,73
"Temple",41,51,47,79,38
"Tennessee",24,45,58,1,23
"Texas",30,58,84,23,39
"Texas A&M",17,13,18.5,52,7
"Texas State",124,128,117.5,118,127
"Texas Tech",9,122,84,66,72
"Toledo",35,99,36,119,69
"Troy",45,33,23.5,110,29
"Tulane",94,76,105,100,99
"Tulsa",20,91,36,63,46
"UCF",51,44,84,68,53
"UCLA",49,35,105,18,41
"UNLV",93,114,113.5,115,112
"USC",34,16,58,10,18
"Utah",48,34,27,75,28
"Utah State",90,75,105,80,88.5
"UTEP",119,116,125.5,58,117
"UTSA",86,94,84,120,100
"Vanderbilt",96,22,84,56,66
"Virginia",75,54,125.5,32,77
"Virginia Tech",22,15,36,57,13
"Wake Forest",105,18,58,48,61.5
"Washington",3,11,8,113,6
"Washington State",11,27,36,74,15
"West Virginia",60,12,23.5,44,22
"Western Kentucky",14,72,58,55,36
"Western Michigan",16,28,8,102,14
"Wisconsin",44,5,36,2,11
"Wyoming",37,87,36,71,56
