"Team","Previous.Score","Score","Rank"
"Air Force",1658.94242835842,1658.94242835842,53
"Akron",1612.77571891311,1612.77571891311,70
"Alabama",2397.71089736858,2397.71089736858,1
"Appalachian State",1775.58856657827,1775.58856657827,27
"Arizona",1521.47076805808,1521.47076805808,93
"Arizona State",1627.17083565353,1627.17083565353,64
"Arkansas",1641.06586240436,1641.06586240436,57
"Arkansas State",1530.82358193111,1530.82358193111,90
"Army",1599.4331853847,1599.4331853847,76
"Auburn",1874.18679999231,1874.18679999231,13
"Ball State",1516.22737912122,1516.22737912122,98
"Baylor",1926.14862477189,1926.14862477189,9
"Boise State",1823.21331640938,1823.21331640938,20
"Boston College",1608.09883416862,1608.09883416862,73
"Bowling Green",1330.63743795248,1330.63743795248,122
"Buffalo",1327.68281781969,1327.68281781969,123
"BYU",1713.02245109758,1713.02245109758,44
"California",1640.46657711267,1640.46657711267,59
"Central Michigan",1563.78793551818,1563.78793551818,81
"Charlotte",1365.05094347024,1365.05094347024,115
"Cincinnati",1536.51099598507,1536.51099598507,87
"Clemson",1976.41846650424,1976.41846650424,7
"Colorado",1844.19676628054,1844.19676628054,18
"Colorado State",1618.95939725881,1618.95939725881,68
"Connecticut",1475.38161519054,1475.38161519054,107
"Duke",1531.40271847381,1531.40271847381,89
"East Carolina",1484.89728259438,1484.89728259438,103
"Eastern Michigan",1509.15858946175,1509.15858946175,101
"Florida",1859.93627775907,1859.93627775907,16
"Florida Atlantic",1317.19326662707,1317.19326662707,125
"Florida International",1382.26039879166,1382.26039879166,113
"Florida State",1807.1616936695,1807.1616936695,22
"Fresno State",1168.34875087883,1168.34875087883,128
"Georgia",1620.20253497489,1620.20253497489,67
"Georgia Southern",1518.77973854124,1518.77973854124,95
"Georgia State",1438.59524280239,1438.59524280239,110
"Georgia Tech",1665.45170453969,1665.45170453969,50
"Hawaii",1484.20172357403,1484.20172357403,105
"Houston",1766.49047917303,1766.49047917303,29
"Idaho",1481.87711994779,1481.87711994779,106
"Illinois",1484.59881352779,1484.59881352779,104
"Indiana",1637.90797382616,1637.90797382616,61
"Iowa",1764.13108108966,1764.13108108966,30
"Iowa State",1453.41497365393,1453.41497365393,109
"Kansas",1243.54652544718,1243.54652544718,126
