"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Wins.Over","Rank"
"Air Force",3.68615061354466,6,0.614358435590777,167,206,149,4.0117807689481,1.9882192310519,0.325630155403436,55
"Akron",3.84823102711156,7,0.549747289587366,133,226,242,3.52517128352754,3.47482871647246,-0.323059743584028,88
"Alabama",2.77287193909143,7,0.396124562727347,57,318,105,6.24141111480588,0.758588885194122,3.46853917571445,1
"Appalachian State",2.70690540899598,6,0.45115090149933,80,140,113,3.846539294606,2.153460705394,1.13963388561002,32
"Arizona",2.84207719865239,7,0.406011028378913,60,183,231,2.78257119487593,4.21742880512407,-0.0595060037764599,78
"Arizona State",3.36919253398282,7,0.481313219140403,95,254,238,3.61411754181761,3.38588245818239,0.244925007834791,59
"Arkansas",2.87901833418367,7,0.41128833345481,61,244,195,4.04789462374771,2.95210537625229,1.16887628956404,31
"Arkansas State",2.59642888408462,6,0.432738147347436,66,111,177,2.12913756451235,3.87086243548765,-0.467291319572271,94
"Army",4.66298079989939,6,0.777163466649898,201,213,84,4.25394690712128,1.74605309287872,-0.40903389277811,90
"Auburn",2.21112345282242,6,0.368520575470404,42,194,96,4.03228500299987,1.96771499700013,1.82116155017744,13
"Ball State",5.01348448914379,7,0.716212069877684,192,199,168,3.99086195421463,3.00913804578537,-1.02262253492917,109
"Baylor",4.33126581830085,6,0.721877636383474,194,262,103,5.1275129191307,0.872487080869303,0.79624710082985,40
"Boise State",3.23315096306822,6,0.538858493844703,125,212,116,4.62983615948172,1.37016384051828,1.3966851964135,22
"Boston College",3.5174013919033,6,0.586233565317216,155,127,142,3.32561580294441,2.67438419705559,-0.191785588958889,81
"Bowling Green",2.69473991483607,7,0.384962844976581,53,145,321,1.89832615594919,5.10167384405081,-0.796413758886874,101
"Buffalo",3.76816443274081,6,0.628027405456801,171,97,190,1.40860341209006,4.59139658790994,-2.35956102065074,126
"BYU",2.63797664994478,7,0.376853807134968,47,197,176,3.92717934609811,3.07282065390189,1.28920269615333,28
"California",2.68468196857478,6,0.447446994762463,77,254,240,3.23298896717647,2.76701103282353,0.548306998601695,49
"Central Michigan",3.79690817758851,7,0.542415453941216,129,226,198,3.93780114779885,3.06219885220115,0.140892970210343,62
"Charlotte",4.05857685855014,7,0.579796694078591,153,171,271,2.4085005012606,4.5914994987394,-1.65007635728954,120
"Cincinnati",3.27851438229184,6,0.546419063715307,130,138,152,2.81626198766232,3.18373801233768,-0.462252394629522,92
"Clemson",2.51873743162176,7,0.359819633088822,40,256,107,5.56474828449681,1.43525171550319,3.04601085287505,3
"Colorado",3.05022882968657,7,0.435746975669509,67,273,140,5.03771038223199,1.96228961776801,1.98748155254542,10
"Colorado State",3.09712035535366,7,0.442445765050523,71,172,200,3.16283517338496,3.83716482661504,0.0657148180312976,70
"Connecticut",3.16471295291465,7,0.452101850416379,82,146,183,3.18931426981148,3.81068573018852,0.0246013168968227,71
"Duke",3.07337815651056,7,0.439054022358651,69,161,153,3.25067992532681,3.74932007467319,0.177301768816251,60
"East Carolina",2.86430035771083,6,0.477383392951805,91,168,196,2.40071301840773,3.59928698159227,-0.463587339303097,93
"Eastern Michigan",4.11564068242662,7,0.587948668918089,156,221,198,3.88999529759653,3.11000470240348,-0.225645384830098,84
"Florida",3.29464736748502,6,0.549107894580837,131,182,72,5.04874877193676,0.951251228063242,1.75410140445174,14
"Florida Atlantic",4.48464418610805,7,0.640663455158293,176,157,250,2.30525583360063,4.69474416639937,-2.17938835250743,123
"Florida International",4.61027165213597,7,0.658610236019424,184,149,227,2.27914887556364,4.72085112443636,-2.33112277657232,125
"Florida State",2.3740382270513,7,0.339148318150186,31,244,202,4.37455584123283,2.62544415876717,2.00051761418153,8
"Fresno State",3.54178803284741,7,0.505969718978201,108,144,235,2.02507641505897,4.97492358494103,-1.51671161778844,119
"Georgia",3.15252374491403,7,0.450360534987718,79,176,185,3.55568687166737,3.44431312833263,0.403163126753344,51
"Georgia Southern",3.4690795693234,6,0.578179928220566,151,182,141,3.48503317999659,2.51496682000341,0.0159536106731974,72
"Georgia State",2.35303838320568,6,0.392173063867613,55,117,171,1.79416095559108,4.20583904440892,-0.5588774276146,96
"Georgia Tech",3.12509522097369,7,0.446442174424813,75,187,153,3.97848924241835,3.02151075758165,0.853394021444661,37
"Hawaii",4.26659580017845,7,0.609513685739779,165,213,272,3.20249557240241,3.79750442759759,-1.06410022777604,111
"Houston",3.9670735246738,7,0.566724789239115,141,299,133,5.56608910603699,1.43391089396301,1.59901558136319,20
"Idaho",3.18478131708659,7,0.454968759583799,83,175,250,2.72336884322676,4.27663115677324,-0.461412473859826,91
"Illinois",2.98392195346599,6,0.497320325577665,101,156,157,2.76672485027916,3.23327514972084,-0.217197103186834,82
"Indiana",2.34227796214903,6,0.390379660358172,54,155,152,3.1230991539292,2.8769008460708,0.78082119178017,41
"Iowa",3.7163195900069,7,0.530902798572415,122,216,134,5.05020116611077,1.94979883388923,1.33388157610386,26
"Iowa State",2.67914583767135,7,0.382735119667336,51,166,228,2.36640653250852,4.63359346749148,-0.312739305162831,87
"Kansas",2.77210366088413,6,0.462017276814022,86,132,214,1.77443840551345,4.22556159448655,-0.997665255370687,108
"Kansas State",3.05023449888549,6,0.508372416480915,109,188,126,3.3361747165155,2.6638252834845,0.285940217630011,57
"Kent State",4.10089338537035,7,0.585841912195765,154,161,196,3.15309639496593,3.84690360503407,-0.947796990404426,106
"Kentucky",2.84875486204612,6,0.474792477007687,89,147,188,2.62520524586124,3.37479475413877,-0.223549616184886,83
"Louisiana-Lafayette",3.38604142555843,6,0.564340237593071,139,138,192,2.18500987391479,3.81499012608521,-1.20103155164364,114
"Louisiana-Monroe",3.43574547890173,6,0.572624246483622,145,154,229,2.34637639865647,3.65362360134353,-1.08936908024527,112
"Louisiana Tech",4.49776808060908,7,0.642538297229869,177,291,229,4.45276078073626,2.54723921926374,-0.0450072998728261,77
