"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",70,53,51.5,114,61
"Akron",30,119,68,83,78
"Alabama",7,4,10.5,28,2
"Appalachian State",104,15,51.5,41,49
"Arizona",51,72,123.5,42,75
"Arizona State",24,75,35,53,36
"Arkansas",46,30,35,25,26
"Arkansas State",111,74,112.5,39,102
"Army",82,49,51.5,128,67
"Auburn",22,9,51.5,10,7.5
"Ball State",109,76,68,126,101
"Baylor",23,60,10.5,127,34
"Boise State",53,22,10.5,74,25
"Boston College",110,56,83.5,76,89
"Bowling Green",107,125,134,13,119
"Buffalo",120,122,128.5,90,127
"BYU",45,36,68,21,35
"California",12,111,83.5,36,56
"Central Michigan",73,85,35,71,72
"Charlotte",121,123,123.5,89,125
"Cincinnati",96,70,83.5,101,91
"Clemson",13,10,10.5,18,4
"Colorado",18,8,35,47,6
"Colorado State",80,71,99,51,84.5
"Connecticut",99,38,99,60,77
"Duke",95,24,99,26,58
"East Carolina",54,100,99,59,86
"Eastern Michigan",114,88,35,102,97
"Florida",74,11,26.5,68,33
"Florida Atlantic",118,121,134,94,128
"Florida International",119,112,99,107,120
"Florida State",21,34,35,15,14
"Fresno State",116,116,134,75,122
"Georgia",72,39,68,57,53
"Georgia Southern",75,87,83.5,103,90
"Georgia State",90,82,128.5,17,96
"Georgia Tech",68,32,68,44,45
"Hawaii",81,110,99,93,105
"Houston",17,33,22,85,15
"Idaho",87,101,68,70,94
"Illinois",88,78,112.5,72,95
"Indiana",62,47,83.5,22,50
"Iowa",49,40,35,110,39
"Iowa State",93,80,134,23,98
"Kansas",126,95,128.5,52,117
"Kansas State",50,31,83.5,63,41
"Kent State",113,67,123.5,118,108
"Kentucky",77,84,83.5,30,81
"Louisiana-Lafayette",89,117,112.5,92,112
"Louisiana-Monroe",102,113,112.5,86,115
"Louisiana Tech",40,96,68,116,76
"Louisville",2,46,26.5,38,10
"LSU",52,3,51.5,29,17
"Marshall",100,115,112.5,98,116
"Maryland",76,42,51.5,91,54
"Massachusetts",108,103,134,37,113
"Memphis",19,35,26.5,109,21
"Miami (FL)",39,20,51.5,66,27
"Miami (OH)",124,65,134,84,111
"Michigan",1,2,10.5,16,1
"Michigan State",61,62,112.5,32,66
"Middle Tennessee",71,97,51.5,119,87
"Minnesota",78,23,51.5,50,42
"Mississippi State",43,68,112.5,27,57
"Missouri",33,90,112.5,14,62
"Navy",48,61,51.5,62,47
"Nebraska",41,14,10.5,58,12
"Nevada",127,83,99,124,114
"New Mexico",60,126,83.5,120,103
"New Mexico State",106,128,112.5,112,124
"North Carolina",44,45,35,34,32
"North Carolina State",58,13,51.5,35,28
"North Texas",105,106,83.5,95,110
"Northern Illinois",69,108,134,24,99.5
"Northwestern",20,44,83.5,6,29
"Notre Dame",35,73,123.5,56,63
"Ohio",97,99,68,122,104
"Ohio State",4,7,10.5,43,3
"Oklahoma",11,51,51.5,5,18
"Oklahoma State",38,64,51.5,81,46
"Old Dominion",56,93,51.5,117,79
"Ole Miss",5,48,83.5,11,24
"Oregon",10,91,112.5,7,52
"Oregon State",66,81,112.5,19,80
"Penn State",28,41,51.5,4,22
"Pittsburgh",15,92,35,61,43
"Purdue",85,120,83.5,96,106.5
"Rice",122,102,174,20,121
"Rutgers",117,69,123.5,9,99.5
"San Diego State",91,58,26.5,125,73
"San Jose State",125,114,123.5,111,126
"SMU",112,94,112.5,48,109
"South Alabama",115,50,83.5,108,92
"South Carolina",123,21,112.5,46,82
"South Florida",14,57,22,106,30
"Southern Miss",37,118,68,97,84.5
"Stanford",79,6,51.5,2,31
"Syracuse",57,79,99,33,74
"TCU",29,77,51.5,104,51
"Temple",63,59,68,77,59.5
"Tennessee",16,52,35,1,16
"Texas",34,86,83.5,54,59.5
"Texas A&M",9,29,10.5,64,7.5
"Texas State",94,127,112.5,99,118
"Texas Tech",6,124,83.5,78,69
"Toledo",25,98,26.5,123,55
"Troy",64,28,26.5,105,38
"Tulane",103,43,83.5,100,83
"Tulsa",42,105,51.5,79,71
"UCF",36,55,83.5,73,48
"UCLA",65,17,99,12,40
"UNLV",86,107,99,113,106.5
"USC",27,27,68,8,19
"Utah",83,26,22,88,44
"Utah State",92,66,112.5,80,93
"UTEP",128,109,128.5,67,123
"UTSA",101,54,83.5,115,88
"Vanderbilt",98,37,99,31,70
"Virginia",59,63,112.5,45,68
"Virginia Tech",31,18,51.5,87,23
"Wake Forest",84,19,35,40,37
"Washington",3,16,10.5,121,5
"Washington State",8,25,51.5,65,13
"West Virginia",67,5,10.5,55,20
"Western Kentucky",26,104,83.5,49,64
"Western Michigan",32,12,10.5,82,9
"Wisconsin",47,1,51.5,3,11
"Wyoming",55,89,51.5,69,65
