"Team","Previous.Score","Score","Rank"
"Air Force",1713.77052092789,1713.77052092789,46
"Akron",1634.89858413426,1634.89858413426,66
"Alabama",2234.28307869092,2234.28307869092,2
"Appalachian State",1763.71079622676,1763.71079622676,33
"Arizona",1546.84436406453,1546.84436406453,89
"Arizona State",1685.2000598872,1685.2000598872,54
"Arkansas",1713.00910579861,1713.00910579861,47
"Arkansas State",1472.82139168585,1472.82139168585,99
"Army",1688.86117165491,1688.86117165491,51
"Auburn",1847.59404550305,1847.59404550305,21
"Ball State",1550.92368237113,1550.92368237113,88
"Baylor",1998.0840313687,1998.0840313687,8
"Boise State",1888.31943196859,1888.31943196859,13
"Boston College",1573.03000136415,1573.03000136415,81
"Bowling Green",1387.28348523262,1387.28348523262,113
"Buffalo",1168.0755993736,1168.0755993736,128
"BYU",1717.61242137119,1717.61242137119,45
"California",1643.17574218279,1643.17574218279,62
"Central Michigan",1639.35768460329,1639.35768460329,64
"Charlotte",1355.59768349179,1355.59768349179,115
"Cincinnati",1551.19319811502,1551.19319811502,87
"Clemson",2026.83052232069,2026.83052232069,6
"Colorado",1842.79267549271,1842.79267549271,23
"Colorado State",1587.9239313912,1587.9239313912,74
"Connecticut",1561.54196228369,1561.54196228369,84
"Duke",1544.67066272511,1544.67066272511,90
"East Carolina",1340.0916275453,1340.0916275453,118
"Eastern Michigan",1596.68303039671,1596.68303039671,72
"Florida",1844.89444987465,1844.89444987465,22
"Florida Atlantic",1323.10061412128,1323.10061412128,120
"Florida International",1395.56873544839,1395.56873544839,112
"Florida State",1855.00326678377,1855.00326678377,20
"Fresno State",1225.19114210429,1225.19114210429,127
"Georgia",1671.08099090684,1671.08099090684,55
"Georgia Southern",1562.67257687288,1562.67257687288,83
"Georgia State",1416.22179650945,1416.22179650945,109
"Georgia Tech",1692.9969316117,1692.9969316117,50
"Hawaii",1461.07305908314,1461.07305908314,102
"Houston",1885.92424988634,1885.92424988634,15
"Idaho",1528.66824879665,1528.66824879665,94
"Illinois",1535.26380646817,1535.26380646817,91
"Indiana",1654.73703958386,1654.73703958386,58
"Iowa",1793.67453150281,1793.67453150281,30
"Iowa State",1415.93682938567,1415.93682938567,110
"Kansas",1270.44882951544,1270.44882951544,125
"Kansas State",1651.55240985463,1651.55240985463,59
"Kent State",1451.14397904944,1451.14397904944,105
"Kentucky",1553.07888178396,1553.07888178396,86
"Louisiana-Lafayette",1421.40773436944,1421.40773436944,108
"Louisiana-Monroe",1465.0529988727,1465.0529988727,100
"Louisiana Tech",1616.45542657941,1616.45542657941,68
"Louisville",2017.16300066856,2017.16300066856,7
"LSU",1823.81155541336,1823.81155541336,25
"Marshall",1313.69466886772,1313.69466886772,121
