"Visitor","Visitor.Score","Home.Team","Home.Score"
" South Alabama",38,"Georgia State",17
" Southern Mississippi",62,"UAB",27
" Temple",41,"Memphis",21
" Tennessee",27,"Kentucky",14
" Texas A&M",21,"Missouri",28
" UTEP",17,"Middle Tennessee",48
" Tulane",13,"Rice",17
" Air Force",13,"Colorado State",58
" Army",42,"Hawai'i",49
" Virginia Tech",16,"Virginia",6
" Wake Forest",21,"Vanderbilt",23
" Wyoming",7,"Utah State",35
" Louisville",31,"Cincinnati",24
" Bowling Green",47,"Northern Illinois",27
" UCF",17,"SMU",13
" Duke",7,"Florida State",45
" Marshall",24,"Rice",41
" Memphis",10,"Connecticut",45
" Missouri",42,"Auburn",59
" Ohio State",24,"Michigan State",34
" Oklahoma",33,"Oklahoma State",24
" South Florida",6,"Rutgers",31
" Louisiana-Lafayette",8,"South Alabama",30
" Stanford",38,"Arizona State",14
" Texas",10,"Baylor",30
" Utah State",17,"Fresno State",24
" Army",7,"Navy",34
"Washington State",45,"Colorado State",48
"Fresno State",20,"USC",45
"Buffalo",24,"San Diego State",49
"Florida State",34,"Auburn",31
