"Visitor","Visitor.Score","Home.Team","Home.Score"
" Maryland",32,"Connecticut",21
" Massachusetts",7,"Kansas State",37
" Memphis",15,"Middle Tennessee",17
" Mississippi State",20,"Auburn",24
" Mississippi",44,"Texas",23
" Nevada",7,"Florida State",62
" New Mexico",27,"Pittsburgh",49
" Nicholls State",7,"Louisiana-Lafayette",70
" Louisiana-Monroe",21,"Wake Forest",19
" Northern Colorado",7,"Wyoming",35
" Northern Illinois",45,"Idaho",35
" Northwestern State",9,"Cincinnati",66
" Notre Dame",31,"Purdue",24
" Ohio State",52,"California",34
" Oregon State",51,"Utah",48
" Southern Mississippi",3,"Arkansas",24
" Southern Utah",10,"Washington State",48
" Stanford",34,"Army",20
" Stony Brook",23,"Buffalo",26
" Tennessee",14,"Oregon",59
" UTEP",42,"New Mexico State",21
" UTSA",13,"Arizona",38
" Tulsa",20,"Oklahoma",51
" Vanderbilt",25,"South Carolina",35
" Virginia Tech",15,"East Carolina",10
" Wagner",0,"Syracuse",54
" Washington",34,"Illinois",24
" Weber State",6,"Utah State",70
" Western Illinois",12,"Minnesota",29
" Western Kentucky",24,"South Alabama",31
" Western Michigan",17,"Northwestern",38
" Wisconsin",30,"Arizona State",32
" Youngstown State",17,"Michigan State",55
" Clemson",26,"North Carolina State",14
" Boise State",40,"Fresno State",41
" Arizona State",28,"Stanford",42
" Arkansas State",7,"Memphis",31
" Arkansas",24,"Rutgers",28
" Auburn",21,"LSU",35
" Austin Peay",0,"Ohio",38
" Ball State",51,"Eastern Michigan",20
" Bethune-Cookman",6,"Florida State",54
" Cincinnati",14,"Miami (OH)",0
" Colorado State",6,"Alabama",31
" Eastern Illinois",39,"Northern Illinois",43
" Florida A&M",0,"Ohio State",76
" Florida International",0,"Louisville",72
" Hawai'i",9,"Nevada",31
" Houston",31,"Rice",26
" Idaho State",0,"Washington",56
" Idaho",0,"Washington State",42
" Jacksonville State",32,"Georgia State",26
" Kansas State",21,"Texas",31
" Kent State",0,"Penn State",34
" Louisiana Tech",10,"Kansas",13
" Maine",21,"Northwestern",35
" Marshall",21,"Virginia Tech",29
" Michigan State",13,"Notre Dame",17
" Michigan",24,"Connecticut",21
" Middle Tennessee",42,"Florida Atlantic",35
" Missouri",45,"Indiana",28
" Morgan State",17,"Western Kentucky",58
" Murray State",7,"Bowling Green",48
" North Carolina",20,"Georgia Tech",28
" New Mexico State",13,"UCLA",59
" North Texas",21,"Georgia",45
" Louisiana-Monroe",7,"Baylor",70
" Northwestern State",28,"UAB",52
" Oregon State",34,"San Diego State",30
" Pittsburgh",58,"Duke",55
" Purdue",10,"Wisconsin",41
" San Jose State",24,"Minnesota",43
" Savannah State",7,"Miami (FL)",77
" South Dakota State",20,"Nebraska",59
" SMU",13,"Texas A&M",42
" Texas State",7,"Texas Tech",33
" Louisiana-Lafayette",35,"Akron",30
" Tennessee",17,"Florida",31
" UTSA",32,"UTEP",13
" Toledo",38,"Central Michigan",17
" Troy",7,"Mississippi State",62
" Tulane",17,"Syracuse",52
" Utah State",14,"USC",17
" Utah",20,"BYU",13
" Vanderbilt",24,"Massachusetts",7
" Virginia Military",0,"Virginia",49
" Wake Forest",25,"Army",11
" West Virginia",0,"Maryland",37
" Western Illinois",7,"UNLV",38
" Western Michigan",3,"Iowa",59
" Wyoming",56,"Air Force",23
" Iowa State",38,"Tulsa",21
" Virginia Tech",17,"Georgia Tech",10
" Middle Tennessee",10,"BYU",37
" Utah State",40,"San Jose State",12
" Akron",14,"Bowling Green",31
" UAB",24,"Vanderbilt",52
" Arizona",13,"Washington",31
" Arkansas State",19,"Missouri",41
" Fresno State",42,"Hawai'i",37
" California",16,"Oregon",55
" Central Michigan",14,"North Carolina State",48
" Colorado",17,"Oregon State",44
" Connecticut",12,"Buffalo",41
" East Carolina",55,"North Carolina",31
" Florida Atlantic",14,"Rice",18
" Florida State",48,"Boston College",34
" Florida",24,"Kentucky",7
" Houston",59,"UTSA",28
" Iowa",23,"Minnesota",7
" Kent State",32,"Western Michigan",14
" LSU",41,"Georgia",44
" Miami (OH)",14,"Illinois",50
" Miami (FL)",49,"South Florida",21
" Mississippi",0,"Alabama",25
" UNLV",56,"New Mexico",42
" Northern Illinois",55,"Purdue",24
" Oklahoma State",21,"West Virginia",30
" Oklahoma",35,"Notre Dame",21
" San Diego State",26,"New Mexico State",16
" South Alabama",24,"Tennessee",31
" South Carolina",28,"UCF",25
" USC",41,"Arizona State",62
" SMU",17,"TCU",48
" Southern Mississippi",7,"Boise State",60
" Stanford",55,"Washington State",17
" Temple",24,"Idaho",26
" Texas A&M",45,"Arkansas",33
" UTEP",42,"Colorado State",59
" Toledo",24,"Ball State",31
" Troy",31,"Duke",38
" Tulane",31,"Louisiana-Monroe",14
" Air Force",42,"Nevada",45
" Army",35,"Louisiana Tech",16
" Navy",7,"Western Kentucky",19
" Virginia",3,"Pittsburgh",14
" Wake Forest",7,"Clemson",56
" Wisconsin",24,"Ohio State",31
" Wyoming",21,"Texas State",42
" UCLA",34,"Utah",27
" Texas",31,"Iowa State",30
" Western Kentucky",31,"Louisiana-Monroe",10
" BYU",31,"Utah State",14
" Nevada",44,"San Diego State",51
" Arizona State",34,"Notre Dame",37
" Arkansas",10,"Florida",30
" Ball State",48,"Virginia",27
" Fresno State",61,"Idaho",14
" UCF",24,"Memphis",17
" Central Michigan",21,"Miami (OH)",9
" Cincinnati",20,"South Florida",26
" Clemson",49,"Syracuse",14
" East Carolina",24,"Middle Tennessee",17
" Eastern Michigan",14,"Buffalo",42
" Florida Atlantic",37,"UAB",23
" Florida International",24,"Southern Mississippi",23
" Georgia State",3,"Alabama",45
" Georgia Tech",30,"Miami (FL)",45
" Georgia",34,"Tennessee",31
" Illinois",19,"Nebraska",39
" Kansas State",29,"Oklahoma State",33
" Kentucky",28,"South Carolina",35
" LSU",59,"Mississippi State",26
" Louisiana Tech",38,"UTEP",35
" Louisville",30,"Temple",7
" Maryland",0,"Florida State",63
" Massachusetts",7,"Bowling Green",28
" Michigan State",26,"Iowa",14
" Minnesota",13,"Michigan",42
" Mississippi",22,"Auburn",30
" Missouri",51,"Vanderbilt",28
" North Carolina",17,"Virginia Tech",27
" New Mexico State",17,"New Mexico",66
" North Carolina State",13,"Wake Forest",28
" North Texas",21,"Tulane",24
" Northern Illinois",38,"Kent State",24
" Ohio State",40,"Northwestern",30
" Ohio",43,"Akron",3
" Oregon",57,"Colorado",16
" Penn State",24,"Indiana",44
" Rice",30,"Tulsa",27
" Rutgers",55,"SMU",52
" San Jose State",37,"Hawai'i",27
" South Alabama",33,"Troy",34
" Texas State",24,"Louisiana-Lafayette",48
" TCU",17,"Oklahoma",20
" Texas Tech",54,"Kansas",16
" UTSA",10,"Marshall",34
" Air Force",10,"Navy",28
" Army",27,"Boston College",48
" Washington State",44,"California",22
" Washington",28,"Stanford",31
" West Virginia",42,"Baylor",73
" Western Michigan",20,"Toledo",47
" Arizona",31,"USC",38
" Rutgers",10,"Louisville",24
" San Diego State",27,"Air Force",20
" Temple",20,"Cincinnati",38
" Akron",20,"Northern Illinois",27
" Alabama",48,"Kentucky",7
" UAB",27,"Florida International",24
" Baylor",35,"Kansas State",25
" Boise State",34,"Utah State",23
" Boston College",14,"Clemson",24
" Bowling Green",20,"Mississippi State",21
" Buffalo",33,"Western Michigan",0
" California",10,"UCLA",37
" Central Michigan",26,"Ohio",23
" Colorado",13,"Arizona State",54
" East Carolina",33,"Tulane",36
" Eastern Michigan",25,"Army",50
" Florida",6,"LSU",17
" Georgia Tech",20,"BYU",38
" Hawai'i",37,"UNLV",39
" Idaho",24,"Arkansas State",48
" Indiana",28,"Michigan State",42
" Iowa State",35,"Texas Tech",42
" Kansas",17,"TCU",27
" Kent State",24,"Ball State",27
" Marshall",24,"Florida Atlantic",23
" Memphis",15,"Houston",25
" Miami (OH)",10,"Massachusetts",17
" Michigan",40,"Penn State",43
" Middle Tennessee",7,"North Texas",34
" Missouri",41,"Georgia",26
" Nebraska",44,"Purdue",7
" New Mexico",31,"Wyoming",38
" Louisiana-Monroe",21,"Texas State",14
" Northwestern",6,"Wisconsin",35
" Oklahoma",20,"Texas",36
" Oregon State",52,"Washington State",24
" Oregon",45,"Washington",24
" Pittsburgh",9,"Virginia Tech",19
" Rice",27,"UTSA",21
" San Jose State",34,"Colorado State",27
" South Carolina",52,"Arkansas",7
" South Florida",13,"Connecticut",10
" Stanford",21,"Utah",27
" Syracuse",24,"North Carolina State",10
" Texas A&M",41,"Mississippi",38
" Troy",35,"Georgia State",28
" Tulsa",34,"UTEP",20
" Navy",7,"Duke",35
" Virginia",26,"Maryland",27
" Western Carolina",3,"Auburn",62
" Louisiana-Lafayette",37,"Western Kentucky",20
" Miami (FL)",27,"North Carolina",23
" UCF",38,"Louisville",35
" Akron",24,"Miami (OH)",17
" Arkansas",0,"Alabama",52
" Auburn",45,"Texas A&M",41
" Ball State",38,"Western Michigan",17
" Charleston So.",10,"Colorado",43
" BYU",47,"Houston",46
" UCLA",10,"Stanford",24
" Colorado State",52,"Wyoming",22
" Connecticut",16,"Cincinnati",41
" Duke",35,"Virginia",22
" Florida State",51,"Clemson",14
" Florida",17,"Missouri",36
" Georgia State",17,"Texas State",24
" Georgia",27,"Vanderbilt",31
" Indiana",47,"Michigan",63
" Iowa State",7,"Baylor",71
" Iowa",24,"Ohio State",34
" Kent State",21,"South Alabama",38
" LSU",24,"Mississippi",27
" Maryland",10,"Wake Forest",34
" Massachusetts",3,"Buffalo",32
" Minnesota",20,"Northwestern",17
" UNLV",14,"Fresno State",38
" Nevada",17,"Boise State",34
" North Texas",28,"Louisiana Tech",13
" Northern Illinois",38,"Central Michigan",17
" Ohio",56,"Eastern Michigan",28
" Oklahoma",34,"Kansas",19
" Old Dominion",24,"Pittsburgh",35
" Oregon State",49,"California",17
" Purdue",0,"Michigan State",14
" Rice",45,"New Mexico State",19
" South Carolina",21,"Tennessee",23
" USC",10,"Notre Dame",14
" SMU",34,"Memphis",29
" Southern Mississippi",14,"East Carolina",55
" Syracuse",0,"Georgia Tech",56
" TCU",10,"Oklahoma State",24
" Texas Tech",37,"West Virginia",27
