TEAM,CONF W,CONF L,OVERALL W,OVERALL L
Memphis,7,1,10,3
Cincinnati,7,1,9,4
UCF,7,1,9,4
East Carolina,5,3,8,4
Houston,5,3,7,5
Temple,4,4,6,6
South Florida,3,5,4,8
Tulane,2,6,3,9
Tulsa,2,6,2,10
SMU,1,7,1,11
Connecticut,1,7,2,10
Florida State,8,0,13,1
Clemson,6,2,10,3
Louisville,5,3,9,4
Boston College,4,4,7,6
North Carolina State,3,5,8,5
Wake Forest,1,7,3,9
Syracuse,1,7,3,9
Georgia Tech,6,2,11,3
Duke,5,3,9,4
North Carolina,4,4,6,7
Pittsburgh,4,4,6,6
Virginia Tech,3,5,7,6
Miami (FL),3,5,6,7
Virginia,3,5,5,7
Baylor,8,1,11,2
TCU,8,1,12,1
Kansas State,7,2,9,3
Oklahoma,5,4,8,5
Texas,5,4,6,7
West Virginia,5,4,7,6
Oklahoma State,4,5,6,6
Texas Tech,2,7,4,8
Kansas,1,8,3,9
Iowa State,0,9,2,10
Ohio State,8,0,13,1
Michigan State,7,1,11,2
Maryland,4,4,7,6
Rutgers,3,5,8,5
Michigan,3,5,5,7
Penn State,2,6,7,6
Indiana,1,7,4,8
Wisconsin,7,1,11,3
Minnesota,5,3,8,5
Nebraska,5,3,9,4
Iowa,4,4,7,5
Illinois,3,5,6,7
Northwestern,3,5,5,7
Purdue,1,7,3,9
Marshall,7,1,13,1
Middle Tennessee,5,3,6,6
UAB,4,4,6,6
Western Kentucky,4,4,8,5
Old Dominion,4,4,6,6
Florida International,3,5,4,8
Florida Atlantic,2,6,3,9
Louisiana Tech,7,1,9,5
Rice,5,3,8,5
UTEP,5,3,7,6
UTSA,3,5,4,8
North Texas,2,6,4,8
Southern Miss,1,7,3,9
Notre Dame,0,0,8,5
Navy,0,0,8,5
BYU,0,0,8,5
Army,0,0,4,8
Bowling Green,5,3,8,6
Ohio,4,4,6,6
Buffalo,3,4,5,6
Akron,3,5,5,7
Massachusetts,3,5,3,9
Miami (OH),2,6,2,10
Kent State,1,6,2,9
Northern Illinois,7,1,11,3
Toledo,7,1,8,4
Western Michigan,6,2,8,5
Central Michigan,5,3,7,6
Ball State,4,4,5,7
Eastern Michigan,1,7,2,10
Fresno State,5,3,6,8
San Diego State,5,3,7,6
Nevada,4,4,7,6
Hawaii,3,5,4,9
San Jose St,2,6,3,9
UNLV,1,7,2,11
Boise State,7,1,12,2
Colorado State,6,2,10,3
Utah State,6,2,10,4
Air Force,5,3,10,3
New Mexico,2,6,4,8
Wyoming,2,6,4,8
Oregon,8,1,13,1
Stanford,5,4,8,5
Washington,4,5,8,5
California,3,6,5,7
Washington State,2,7,3,9
Oregon State,2,7,5,7
Arizona,7,2,10,4
Arizona State,6,3,10,3
UCLA,6,3,9,3
USC,6,3,9,4
Utah,5,4,9,4
Colorado,0,9,2,10
Missouri,7,1,11,3
Georgia,6,2,10,3
Florida,4,4,6,5
Tennessee,3,5,6,6
South Carolina,3,5,7,6
Kentucky,2,6,5,7
Vanderbilt,0,8,3,9
Alabama,7,1,12,2
Mississippi State,6,2,10,3
Ole Miss,5,3,9,4
Auburn,4,4,8,5
LSU,4,4,8,5
Texas A&M,3,5,8,5
Arkansas,2,6,7,6
Georgia Southern,8,0,9,3
Louisiana-Lafayette,7,1,9,4
Appalachian State,6,2,7,5
Arkansas State,5,3,7,5
Texas State,5,3,7,5
South Alabama,5,3,6,7
Louisiana-Monroe,3,5,4,8
Troy,3,5,3,9
New Mexico State,1,7,2,10
Idaho,1,7,1,10
Georgia State,0,8,1,11
Eastern Washington,7,1,11,3
Montana,6,2,9,5
Montana State,6,2,8,5
Idaho State,6,2,8,4
Northern Arizona,5,3,7,5
Cal Poly,5,3,7,5
Sacramento State,4,4,7,5
North Dakota,3,5,5,7
Southern Utah,3,5,3,9
Northern Colorado,2,6,3,8
Weber State,2,6,2,10
Portland State,2,6,3,9
UC Davis,1,7,2,9
Liberty,4,1,9,5
Coastal Carolina,4,1,12,2
Presbyterian,3,2,6,5
Charleston Southern,3,2,8,4
Monmouth,1,4,6,5
Gardner-Webb,0,5,4,8
New Hampshire,8,0,12,2
Villanova,7,1,11,3
James Madison,6,2,9,4
Richmond,5,3,9,5
William & Mary,4,4,7,5
Delaware,4,4,6,6
Maine,4,4,5,6
Stony Brook,4,4,5,7
Albany,3,5,7,5
Towson,2,6,4,8
Rhode Island,1,7,1,11
Elon,0,8,1,11
Charlotte,0,0,5,6
Harvard,7,0,10,0
Dartmouth,6,1,8,2
Yale,5,2,8,2
Princeton,4,3,5,5
Brown,3,4,5,5
Pennsylvania,2,5,2,8
Cornell,1,6,1,9
Columbia,0,7,0,10
Morgan State,6,2,7,6
NC Central,6,2,7,5
South Carolina State,6,2,8,4
Bethune-Cookman,6,2,9,3
North Carolina A&T,6,2,9,3
Norfolk State,4,4,4,8
Florida A&M,3,5,3,9
Howard,3,5,5,7
Hampton,2,6,3,9
Delaware State,2,6,2,10
Savannah State,0,8,0,12
North Dakota State,7,1,14,1
Illinois State,7,1,13,1
Northern Iowa,6,2,9,5
South Dakota State,5,3,9,5
Indiana State,4,4,8,6
Youngstown State,4,4,7,5
Southern Illinois,3,5,6,6
Western Illinois,3,5,5,7
Missouri State,1,7,4,8
South Dakota,0,8,2,10
Sacred Heart,5,1,9,3
Wagner,5,1,7,4
Bryant,4,2,8,3
St. Francis U,3,3,5,6
Duquesne,2,4,6,6
Robert Morris,1,5,1,10
Central Connecticut State,1,5,3,9
Jacksonville State,8,0,10,2
Eastern Kentucky,6,2,9,4
Tennessee-Martin,5,3,6,6
Eastern Illinois,5,3,5,7
Tennessee Tech,4,4,5,7
Southeast Missouri State,3,5,5,7
Tennessee State,3,5,6,6
Austin Peay,1,7,1,11
Murray State,1,7,3,9
Fordham,6,0,11,3
Bucknell,4,2,8,3
Lafayette,3,3,5,6
Colgate,3,3,5,7
Holy Cross,2,4,4,8
Lehigh,2,4,3,8
Georgetown,1,5,3,8
Jacksonville,7,1,9,2
San Diego,7,1,9,3
Dayton,6,2,8,3
Drake,6,2,7,4
Campbell,4,4,5,7
Marist,4,4,4,7
Stetson,3,5,5,7
Morehead State,3,5,4,8
Butler,2,6,4,7
Valparaiso,2,6,4,8
Davidson,0,8,1,11
Chattanooga,7,0,10,4
Samford,5,2,7,4
Western Carolina,5,2,7,5
Wofford,4,3,6,5
Citadel,3,4,5,7
Furman,2,5,3,9
Mercer,1,6,6,6
Virginia Military Institute,1,6,2,10
Sam Houston State,7,1,11,5
Southeastern Louisiana,7,1,9,4
Central Arkansas,5,3,6,6
Stephen F. Austin,5,3,8,5
Lamar,5,3,8,4
McNeese State,4,4,6,5
Northwestern State,4,4,6,6
Abilene Christian,4,4,6,6
Incarnate Word,2,6,2,9
Houston Baptist,1,7,2,9
Nicholls State,0,8,0,12
Alcorn State,7,2,10,3
Alabama State,5,4,7,5
Jackson State,3,6,5,7
Alabama A&M,3,6,4,8
Mississippi Valley State,1,8,2,9
Southern University,8,1,9,4
Grambling State,7,2,7,5
Prairie View A&M,5,4,5,5
Texas Southern,3,6,5,6
Arkansas-Pine Bluff,3,6,4,7
