Visitor,Visitor Score,Home Team,Home Score
Georgia Southern,,Georgia Tech,
Iowa State,,Iowa,
West Virginia,,Maryland,
Massachusetts,,Vanderbilt,
Louisville,,Virginia,
Wyoming,,Oregon,
Air Force,,Georgia State,
Western Kentucky,,Middle Tennessee,
Kansas,,Duke,
Georgia,,South Carolina,
Arkansas,,Texas Tech,
Arkansas State,,Miami (FL),
Mississippi State,,South Alabama,
Louisiana-Lafayette,,Ole Miss,
Illinois,,Washington,
Minnesota,,TCU,
Western Michigan,,Idaho,
Army,,Stanford,
Southern Miss,,Alabama,
Wake Forest,,Utah State,
Tulsa,,Florida Atlantic,
UTSA,,Oklahoma State,
Louisiana-Monroe,,LSU,
Purdue,,Notre Dame,
Kentucky,,Florida,
Navy,,Texas State,
Tennessee,,Oklahoma,
New Mexico State,,UTEP,
UCLA,,Texas,
Penn State,,Rutgers,
USC,,Boston College,
Rice,,Texas A&M,
Arizona State,,Colorado,
Nebraska,,Fresno State,
Nevada,,Arizona,
Alabama A+M,,UAB,
Indiana State,,Ball State,
Abilene Christian,,Troy,
Portland State,,Washington State,
S E Louisiana,,Tulane,
UC-Davis,,Colorado State,
Northern Iowa,,Hawaii,
Auburn,,Kansas State,
Connecticut,,South Florida,
Indiana,,Missouri,
Massachusetts,,Penn State,
Marshall,,Akron,
Iowa,,Pittsburgh,
Ball State,,Toledo,
Maryland,,Syracuse,
Idaho,,Ohio,
Central Michigan,,Kansas,
Troy,,Georgia,
Bowling Green,,Wisconsin,
Tulane,,Duke,
Army,,Wake Forest,
North Carolina,,East Carolina,
San Jose State,,Minnesota,
Utah,,Michigan,
Eastern Michigan,,Michigan State,
South Carolina,,Vanderbilt,
Florida Atlantic,,Wyoming,
Hawaii,,Colorado,
Middle Tennessee,,Memphis,
Georgia State,,Washington,
Appalachian State,,Southern Miss,
Georgia Southern,,South Alabama,
Texas A&M,,SMU,
Rutgers,,Navy,
Florida,,Alabama,
Georgia Tech,,Virginia Tech,
Oregon,,Washington State,
Clemson,,Florida State,
Virginia,,BYU,
Texas State,,Illinois,
Old Dominion,,Rice,
Louisville,,Florida International,
Miami (OH),,Cincinnati,
San Diego State,,Oregon State,
Mississippi State,,LSU,
Northern Illinois,,Arkansas,
Utah State,,Arkansas State,
New Mexico,,New Mexico State,
Miami (FL),,Nebraska,
Oklahoma,,West Virginia,
California,,Arizona,
Louisiana-Lafayette,,Boise State,
Western Illinois,,Northwestern,
Delaware State,,Temple,
Presbyterian,,North Carolina State,
Murray State,,Western Michigan,
Bethune-Cookman,,UCF,
Northwestern St(LA),,Louisiana Tech,
Southern Illinois,,Purdue,
Maine,,Boston College,
Nicholls State,,North Texas,
Norfolk State,,Buffalo,
Southern Utah,,Fresno State,
Appalachian State,,Georgia Southern,
Texas Tech,,Oklahoma State,
UCLA,,Arizona State,
Middle Tennessee,,Old Dominion,
Fresno State,,New Mexico,
Wyoming,,Michigan State,
Minnesota,,Michigan,
Maryland,,Indiana,
Baylor,,Iowa State,
South Florida,,Wisconsin,
Kent State,,Virginia,
Western Michigan,,Virginia Tech,
Temple,,Connecticut,
Akron,,Pittsburgh,
Iowa,,Purdue,
