Visitor,Visitor Score,Home,Home Score
 Buffalo,3, Rutgers,38
 Kent State,23, Iowa State,14
 LSU,45, Mississippi State,0
 Miami (Ohio),14, Ball State,13
 Murray State,10, Louisville,73
 UNLV,23, Utah State,16
 Southeast Missouri State,3, Cincinnati,59
 Southeastern Louisiana,14, New Mexico State,35
 Tulsa,35, Louisiana-Monroe,17
 Utah,7, Oregon State,24
 Weber State,7, Boise State,56
 Navy,30, Temple,19
 Washington,42, Syracuse,12
 UAB,18, Michigan State,55
 Appalachian State,34, Michigan,32
 Arizona,7, BYU,20
 Arkansas State,13, Texas,21
 Baylor,0, TCU,27
 Bowling Green,32, Minnesota,31
 Sacramento State,3, Fresno State,24
 UCLA,45, Stanford,17
 UCF,25, North Carolina State,23
 Central Michigan,7, Kansas,52
 Colorado State,28, Colorado,31
 Connecticut,45, Duke,14
 East Carolina,7, Virginia Tech,17
 Eastern Kentucky,10, Kentucky,50
 Eastern Michigan,3, Pittsburgh,27
 Florida International,0, Penn State,59
 Georgia Tech,33, Notre Dame,3
 Houston,27, Oregon,48
 Idaho,10, USC,38
 Indiana State,7, Indiana,55
 Iowa,16, Northern Illinois,3
 James Madison,14, North Carolina,37
 Kansas State,13, Auburn,23
 Marshall,3, Miami (Florida),31
 Middle Tennessee,14, Florida Atlantic,27
 Mississippi,23, Memphis,21
 Missouri,40, Illinois,34
 Montana State,7, Texas A&M,38
 Nevada,10, Nebraska,52
 New Mexico,6, UTEP,10
 Nicholls State,16, Rice,14
 North Texas,10, Oklahoma,79
 Northeastern,0, Northwestern,27
 Northern Colorado,6, Hawai'i,63
 Oklahoma State,14, Georgia,35
 Purdue,52, Toledo,24
 Richmond,17, Vanderbilt,41
 San Jose State,3, Arizona State,45
 South Carolina State,3, Air Force,34
 Louisiana-Lafayette,14, South Carolina,28
 Tennessee,31, California,45
 Tennessee-Martin,13, Southern Mississippi,35
 Troy,26, Arkansas,46
 Army,14, Akron,22
 Villanova,14, Maryland,31
 Virginia,3, Wyoming,23
 Wake Forest,28, Boston College,38
 Washington State,21, Wisconsin,42
 Western Carolina,6, Alabama,52
 Western Kentucky,3, Florida,49
 Western Michigan,24, West Virginia,62
 Youngstown State,6, Ohio State,38
 Central Arkansas,7, Louisiana Tech,28
 Elon,13, South Florida,28
 Gardner-Webb,14, Ohio,36
 Florida State,18, Clemson,24
 Texas Tech,49, SMU,9
 Middle Tennessee,42, Louisville,58
 Oregon State,3, Cincinnati,34
 Navy,24, Rutgers,41
 Akron,2, Ohio State,20
 Alabama,24, Vanderbilt,10
 UAB,24, Florida State,34
 Ball State,38, Eastern Michigan,16
 Boise State,10, Washington,24
 Bowling Green,17, Michigan State,28
 BYU,17, UCLA,27
 Buffalo,42, Temple,7
 Cal Poly,13, Idaho,20
 Fresno State,45, Texas A&M,47
 California,34, Colorado State,28
 Colorado,14, Arizona State,33
 Duke,13, Virginia,24
 Eastern Illinois,6, Purdue,52
 Florida Atlantic,6, Oklahoma State,42
 Grambling,10, Pittsburgh,34
 Hawai'i,45, Louisiana Tech,44
 Indiana,37, Western Michigan,27
