TEAM,CONF W,CONF L,OVERALL W,OVERALL L
Boston College,6,2,11,3
Wake Forest,5,3,9,4
Clemson,5,3,9,4
Florida State,4,4,7,6
Maryland,3,5,6,7
NC State,3,5,5,7
Virginia Tech,7,1,11,3
Virginia,6,2,9,4
Georgia Tech,4,4,7,6
North Carolina,3,5,4,8
Miami (FL),2,6,5,7
Duke,0,8,1,11
Kansas,7,1,12,1
Missouri,7,1,12,2
Colorado,4,4,6,7
Kansas State,3,5,5,7
Nebraska,2,6,5,7
Iowa State,2,6,3,9
Oklahoma,6,2,11,3
Texas,5,3,10,3
Texas Tech,4,4,9,4
Oklahoma State,4,4,7,6
Texas A&M,4,4,7,6
Baylor,0,8,3,9
West Virginia,5,2,11,2
Connecticut,5,2,9,4
Cincinnati,4,3,10,3
South Florida,4,3,9,4
Rutgers,3,4,8,5
Louisville,3,4,6,6
Pittsburgh,3,4,5,7
Syracuse,1,6,2,10
Ohio State,7,1,11,2
Illinois,6,2,9,4
Michigan,6,2,9,4
Wisconsin,5,3,9,4
Penn State,4,4,9,4
Iowa,4,4,6,6
Purdue,3,5,8,5
Indiana,3,5,7,6
Michigan State,3,5,7,6
Northwestern,3,5,6,6
Minnesota,0,8,1,11
UCF,7,1,10,4
East Carolina,6,2,8,5
Memphis,6,2,7,6
Southern Mississippi,5,3,7,6
Marshall,3,5,3,9
UAB,1,7,2,10
Tulsa,6,2,10,4
Houston,6,2,8,5
Tulane,3,5,4,8
Rice,3,5,3,9
UTEP,2,6,4,8
SMU,0,8,1,11
Navy,0,0,8,5
Western Kentucky,0,0,7,5
Army,0,0,3,9
Notre Dame,0,0,3,9
Bowling Green,6,2,8,5
Miami (OH),5,2,6,7
Buffalo,5,3,5,7
Ohio,4,4,6,6
Temple,4,4,4,8
Akron,3,5,4,8
Kent State,1,7,3,9
Central Michigan,6,1,8,6
Ball State,5,2,7,6
Western Michigan,3,4,5,7
Eastern Michigan,3,4,4,8
Toledo,3,5,5,7
Northern Illinois,1,6,2,10
BYU,8,0,11,2
Air Force,6,2,9,4
Utah,5,3,9,4
New Mexico,5,3,9,4
TCU,4,4,8,5
San Diego State,3,5,4,8
Wyoming,2,6,5,7
Colorado State,2,6,3,9
UNLV,1,7,2,10
USC,7,2,11,2
Arizona State,7,2,10,3
Oregon State,6,3,9,4
Oregon,5,4,9,4
UCLA,5,4,6,7
Arizona,4,5,5,7
California,3,6,7,6
Washington State,3,6,5,7
Stanford,3,6,4,8
Washington,2,7,4,9
Georgia,6,2,11,2
Tennessee,6,2,10,4
Florida,5,3,9,4
Kentucky,3,5,8,5
South Carolina,3,5,6,6
Vanderbilt,2,6,5,7
LSU,6,2,12,2
Auburn,5,3,9,4
Arkansas,4,4,8,5
Mississippi State,4,4,8,5
Alabama,4,4,7,6
Ole Miss,0,8,3,9
Troy,6,1,8,4
Florida Atlantic,6,1,8,5
Louisiana Monroe,4,3,6,6
Middle Tennessee,4,3,5,7
Arkansas State,3,4,5,7
Louisiana Lafayette,3,4,3,9
North Texas,1,6,2,10
Florida Intl,1,6,1,11
Montana,8,0,11,1
Eastern Washington,6,2,9,4
Northern Arizona,5,3,6,5
Montana State,4,4,6,5
Weber State,4,4,5,6
Sacramento State,3,5,3,8
Portland State,3,5,3,8
Idaho State,2,6,3,8
Northern Colorado,1,7,1,11
Liberty,4,0,8,3
Coastal Carolina,3,1,5,6
Gardner-Webb,2,2,5,6
Charleston Southern,1,3,5,6
VMI,0,4,2,9
Massachusetts,7,1,10,3
Hofstra,5,4,8,4
New Hampshire,4,4,7,5
Maine,3,5,4,7
Rhode Island,2,6,3,8
Northeastern,2,7,3,9
Richmond,7,1,11,3
James Madison,7,2,9,4
Delaware,5,3,11,4
Villanova,5,3,7,4
William & Mary,2,6,4,7
Towson,1,7,3,8
North Carolina Central,0,0,6,4
Presbyterian College,0,0,6,5
Stony Brook,0,0,6,5
Savannah State,0,0,1,9
South Dakota State,4,0,7,4
North Dakota State,3,1,10,1
Cal Poly,2,2,7,4
UC Davis,1,3,5,6
Southern Utah,0,4,0,11
Harvard,7,0,8,2
Yale,6,1,9,1
Brown,4,3,5,5
Penn,3,4,4,6
Princeton,3,4,4,6
Dartmouth,3,4,3,7
Cornell,2,5,5,5
Columbia,0,7,1,9
Iona,2,1,7,4
Duquesne,2,1,6,4
Marist,2,1,3,8
La Salle,0,3,0,10
Delaware State,9,0,10,2
Norfolk State,7,2,8,3
South Carolina State,7,2,7,4
Winston-Salem,5,4,6,5
Hampton,5,4,6,5
Morgan State,4,5,5,6
Bethune-Cookman,3,6,5,6
Howard,3,6,4,7
Florida A&M,2,7,3,8
North Carolina A&T,0,9,0,11
Northern Iowa,6,0,12,1
Southern Illinois,5,1,12,2
Youngstown State,3,3,7,4
Western Illinois,3,3,6,5
Missouri State,2,4,6,5
Illinois State,2,4,4,7
Indiana State,0,7,0,11
Albany,6,0,8,4
Wagner,3,2,7,4
Central Connecticut,4,3,6,5
Monmouth,3,3,4,6
